,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《风云2》,环球唱片,2005-04-01,军旅歌曲,主题,精忠报国,屠洪刚,,http://musicdata.baidu.com/data2/lrc/13762351/13762351.lrc,1
1,《花儿香》,环球唱片,2009-02-25,军旅歌曲,主题,天路,春雷,,http://musicdata.baidu.com/data2/lrc/816106/816106.lrc,1
1,《抗非典专辑》,百碟文化,2006-01-16,军旅歌曲,主题,战士,李殊,,http://musicdata.baidu.com/data2/lrc/12455607/12455607.lrc,1
1,《百年唱片名人名歌. 长城谣》,百碟文化,2004-01-01,军旅歌曲,主题,解放区的天,中国广播艺术团合唱,,http://musicdata.baidu.com/data2/lrc/115153806/115153806.lrc,1
1,《百年唱片名人名歌. 长城谣》,百碟文化,2004-01-01,军旅歌曲,主题,保卫黄河,中央乐团合唱团,,http://musicdata.baidu.com/data2/lrc/16272590/16272590.lrc,1
1,《真爱》,星文文化,2010-11-22,军旅歌曲,主题,说句心里话,吕薇,,http://musicdata.baidu.com/data2/lrc/64941653/64941653.lrc,1
1,《红色De呼唤-松竹梅影音》,龙乐文化,2009-07-01,军旅歌曲,主题,九九艳阳天,林琳,,http://musicdata.baidu.com/data2/lrc/12448233/12448233.lrc,1
1,《红色De呼唤-松竹梅影音》,龙乐文化,2009-07-01,军旅歌曲,主题,英雄赞歌,林琳,,http://musicdata.baidu.com/data2/lrc/20667363/20667363.lrc,1
1,《红色De呼唤-松竹梅影音》,龙乐文化,2009-07-01,军旅歌曲,主题,弹起我心爱的土琵琶,林琳,,http://musicdata.baidu.com/data2/lrc/20835738/20835738.lrc,1
1,《红色De呼唤-松竹梅影音》,龙乐文化,2009-07-01,军旅歌曲,主题,红星照我去战斗,林琳,,http://musicdata.baidu.com/data2/lrc/22429473/22429473.lrc,1
1,《中国著名作曲家孟庆云作品经典——第一辑为了谁·长城长》,中国音乐家音像出版社,2004-01-01,军旅歌曲,主题,兵之歌,郁钧剑,,http://musicdata.baidu.com/data2/lrc/14966060/14966060.lrc,1
1,《你怎么没看见》,滚石唱片,1996-11-01,军旅歌曲,主题,一路同行,巫奇,,http://musicdata.baidu.com/data2/lrc/12447789/12447789.lrc,1
1,《送战友》,老班长音乐工作室,2003-06-26,军旅歌曲,主题,中国队,小曾,,http://musicdata.baidu.com/data2/lrc/68242641/68242641.lrc,1
1,《我们的宿舍307》,未知,2009-07-28,军旅歌曲,主题,拉歌歌,庞龙,,http://musicdata.baidu.com/data2/lrc/390256/390256.lrc,1
1,《我的老班长》,龙乐文化,2003-06-25,军旅歌曲,主题,战士,小曾,,http://musicdata.baidu.com/data2/lrc/311268/311268.lrc,1
1,军旅歌曲,龙乐文化,2003-06-25,军旅歌曲,主题,整装待发,屈慧,,http://musicdata.baidu.com/data2/lrc/121369100/121369100.lrc,1
1,军旅歌曲,龙乐文化,2003-06-25,军旅歌曲,主题,一直向前走,屈慧,,http://musicdata.baidu.com/data2/lrc/121368984/121368984.lrc,1
1,军旅歌曲,龙乐文化,2003-06-25,军旅歌曲,主题,雪域哨卡,屈慧,,http://musicdata.baidu.com/data2/lrc/121368955/121368955.lrc,1
1,军旅歌曲,龙乐文化,2003-06-25,军旅歌曲,主题,亲情电话,柏文,,http://musicdata.baidu.com/data2/lrc/34125360/34125360.lrc,1
1,《我的老班长》,龙乐文化,2003-06-25,军旅歌曲,主题,一个退伍兵的爱情,小曾,,http://musicdata.baidu.com/data2/lrc/300389/300389.lrc,1
2,军旅歌曲,龙乐文化,2003-06-25,军旅歌曲,主题,国防生之歌,屈慧,,http://musicdata.baidu.com/data2/lrc/121364410/121364410.lrc,2
2,军旅歌曲,龙乐文化,2003-06-25,军旅歌曲,主题,当兵的,屈慧,,http://musicdata.baidu.com/data2/lrc/34125292/34125292.lrc,2
2,《新的起点》,广州新时代影音,1995-01-01,军旅歌曲,主题,母亲,李丹阳,,http://musicdata.baidu.com/data2/lrc/12441401/12441401.lrc,2
2,《军营民谣》,广州新时代影音,2009-04-01,军旅歌曲,主题,征婚启事,高歌,,http://musicdata.baidu.com/data2/lrc/12441401/12441401.lrc,2
2,成人抒情,广州新时代影音,2009-04-01,军旅歌曲,主题,新军中绿花,T榜,,http://musicdata.baidu.com/data2/lrc/12441401/12441401.lrc,2
2,军旅歌曲,广州新时代影音,2009-04-01,军旅歌曲,主题,今生你我是战友,T榜,,http://musicdata.baidu.com/data2/lrc/09ea1850fb44c5fbe7630b1addd5f8ff/269982361/269982361.lrc,2
2,军旅歌曲,广州新时代影音,2009-04-01,军旅歌曲,主题,拜金病,T榜,,http://musicdata.baidu.com/data2/lrc/7169c298cc12142aa9a374c14782b5dd/269977853/269977853.lrc,2
2,军旅歌曲,广州新时代影音,2009-04-01,军旅歌曲,主题,茉莉花开,T榜,,http://musicdata.baidu.com/data2/lrc/4914785fe0e68c70e65175176a56111c/271978168/271978168.lrc,2
2,军旅歌曲,广州新时代影音,2009-04-01,军旅歌曲,主题,拉萨-孟晓宇,T榜,,http://musicdata.baidu.com/data2/lrc/b9fb9843fb5eb58146ea8eaa20a396f7/271974452/271974452.lrc,2
2,《新的起点》,广州新时代影音,1995-01-01,军旅歌曲,主题,遥远的拜年,李丹阳,,http://musicdata.baidu.com/data2/lrc/254675/254675.lrc,2
2,《说句心里话》,龙乐文化,2000-01-01,军旅歌曲,主题,什么也不说,郁钧剑,,http://musicdata.baidu.com/data2/lrc/253277/253277.lrc,2
2,军旅歌曲,龙乐文化,2000-01-01,军旅歌曲,主题,十送红军,阿宝,,http://musicdata.baidu.com/data2/lrc/27857594/27857594.lrc,2
2,军旅歌曲,龙乐文化,2000-01-01,军旅歌曲,主题,九九艳阳天,阿宝,,http://musicdata.baidu.com/data2/lrc/7aa42f80f558c890c599696bbb4b3821/257172457/257172457.lrc,2
2,流行,龙乐文化,2000-01-01,军旅歌曲,主题,南泥湾,阿宝,,http://musicdata.baidu.com/data2/lrc/65343386/65343386.lrc,2
2,《印青创作歌曲精选》,上海音乐,2009-08-01,军旅歌曲,主题,当你的秀发拂过我的钢枪,阎维文,,http://musicdata.baidu.com/data2/lrc/869a42d23255a747f929da90d77c9ae2/257170861/257170861.lrc,2
2,《祖国在我心中》,龙乐文化,2014-07-15,军旅歌曲,主题,军歌嘹亮,阎维文,,http://musicdata.baidu.com/data2/lrc/83983301/83983301.lrc,2
2,《战士情歌》,龙乐文化,2014-07-15,军旅歌曲,主题,再见吧，老兵,阎维文,,http://musicdata.baidu.com/data2/lrc/4cffb04dd43eb8859b77bc05a32361ac/257172238/257172238.lrc,2
2,《军旗下的我们》,上海声像,1997-09-01,军旅歌曲,主题,军旗下的我们,阎维文,,http://musicdata.baidu.com/data2/lrc/121486047/121486047.lrc,2
2,《再见吧妈妈》,长城艺术文化,1999-01-01,军旅歌曲,主题,我爱祖国的蓝天,李双江,,http://musicdata.baidu.com/data2/lrc/19a3bc926e28b447b997c1df8ac49c59/268029329/268029329.lrc,2
2,《我的祖国我的家》,星文唱片,2009-09-28,军旅歌曲,主题,报效国家歌,陈思思,,http://musicdata.baidu.com/data2/lrc/19a3bc926e28b447b997c1df8ac49c59/268029329/268029329.lrc,2
3,《陈旭Vs花瓶》,乐享文化,2005-02-25,军旅歌曲,主题,报答,陈旭,,http://musicdata.baidu.com/data2/lrc/235543/235543.lrc,3
3,《中国名歌》,中唱广州,1990-01-01,军旅歌曲,主题,在那桃花盛开的地方,阎维文,,http://musicdata.baidu.com/data2/lrc/65235142/65235142.lrc,3
3,《蔡国庆国庆—歌样年华三十年》,龙乐文化,2014-07-15,军旅歌曲,主题,军营四季,蔡国庆,,http://musicdata.baidu.com/data2/lrc/121515714/121515714.lrc,3
3,《蔡国庆国庆—歌样年华三十年》,龙乐文化,2014-07-15,军旅歌曲,主题,士兵的桂冠,蔡国庆,,http://musicdata.baidu.com/data2/lrc/65223140/65223140.lrc,3
3,《民歌红 IV》,新京文唱片,2010-06-28,军旅歌曲,主题,儿行千里,杨曼莉,,http://musicdata.baidu.com/data2/lrc/83579823/83579823.lrc,3
3,《夜色阑珊》,新京文唱片,2010-06-28,军旅歌曲,主题,报答,蓝澜,,http://musicdata.baidu.com/data2/lrc/65207565/65207565.lrc,3
3,《我的爱给你》,合力飞扬,2012-08-13,军旅歌曲,主题,守在这里的是你,严当当,,http://musicdata.baidu.com/data2/lrc/34117946/34117946.lrc,3
3,军旅歌曲,合力飞扬,2012-08-13,军旅歌曲,主题,当兵的男儿走四方,阎维文,,http://musicdata.baidu.com/data2/lrc/85838309/85838309.lrc,3
3,《母亲》,龙乐唱片,2004-10-09,军旅歌曲,主题,大英雄,阎维文,,http://musicdata.baidu.com/data2/lrc/121491186/121491186.lrc,3
3,《母亲》,龙乐唱片,2004-10-09,军旅歌曲,主题,你当兵的儿子在西部,阎维文,,http://musicdata.baidu.com/data2/lrc/68760042/68760042.lrc,3
3,《母亲》,龙乐唱片,2004-10-09,军旅歌曲,主题,中国警察,阎维文,,http://musicdata.baidu.com/data2/lrc/68734595/68734595.lrc,3
3,《编号89757》,海蝶音乐,2005-04-01,军旅歌曲,主题,无尽的思念,林俊杰,,http://musicdata.baidu.com/data2/lrc/13912268/13912268.lrc,3
3,《我们的宿舍307》,未知,2009-07-28,军旅歌曲,主题,心中的太阳月亮,庞龙,,http://musicdata.baidu.com/data2/lrc/15026401/15026401.lrc,3
3,《我们的宿舍307》,未知,2009-07-28,军旅歌曲,主题,从军歌,庞龙,,http://musicdata.baidu.com/data2/lrc/13955454/13955454.lrc,3
3,《民乐红》,未知,2007-11-22,军旅歌曲,主题,小白杨,龚玥,,http://musicdata.baidu.com/data2/lrc/2058024/2058024.lrc,3
3,《民乐红》,未知,2007-11-22,军旅歌曲,主题,为了谁,龚玥,,http://musicdata.baidu.com/data2/lrc/2058018/2058018.lrc,3
3,《我不想说再见 (2005 新歌+精选)》,杰盛唱片,2005-06-22,军旅歌曲,主题,南方北方,白雪,,http://musicdata.baidu.com/data2/lrc/2042149/2042149.lrc,3
3,军旅歌曲,杰盛唱片,2005-06-22,军旅歌曲,主题,当兵的故事,董冬,,http://musicdata.baidu.com/data2/lrc/64935119/64935119.lrc,3
3,军旅歌曲,杰盛唱片,2005-06-22,军旅歌曲,主题,选择,董冬,,http://musicdata.baidu.com/data2/lrc/12645533/12645533.lrc,3
3,军旅歌曲,杰盛唱片,2005-06-22,军旅歌曲,主题,远方的爱,老兵,,http://musicdata.baidu.com/data2/lrc/12645006/12645006.lrc,3
4,《送别》,中国唱片,2008-08-14,军旅歌曲,主题,军港之夜,郁钧剑,,http://musicdata.baidu.com/data2/lrc/485c6d01cdc38e1a91a36339b1d1b63a/266564492/266564492.lrc,4
4,《战士情歌》,龙乐文化,2014-07-15,军旅歌曲,主题,骆驼草,阎维文,,http://musicdata.baidu.com/data2/lrc/65097250/65097250.lrc,4
4,《70年代红色电影金曲》,中国唱片,2006-03-21,军旅歌曲,主题,沂蒙颂,梦鸽,,http://musicdata.baidu.com/data2/lrc/66f7168461a67b68d7c20e0f79f9fedc/264711325/264711325.lrc,4
4,《生死不离》,中国唱片总公司,2008-06-03,军旅歌曲,主题,凝聚每份爱,郁钧剑,,http://musicdata.baidu.com/data2/lrc/241625381/241625381.lrc,4
4,《云上西藏二》,索卡尼,2012-07-18,军旅歌曲,主题,天路,白玛多吉,,http://musicdata.baidu.com/data2/lrc/16566080/16566080.lrc,4
