,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《自定义》,海蝶音乐,2009-01-01,古风,主题,清明雨上,许嵩,,http://musicdata.baidu.com/data2/lrc/13762138/13762138.lrc,1
1,《爱的进行式》,滚石唱片,1994-01-27,古风,主题,笑红尘,陈淑桦,,http://musicdata.baidu.com/data2/lrc/13880485/13880485.lrc,1
1,《张信哲Jeff情歌精选》,未知,2005-06-10,古风,主题,白月光,张信哲,,http://musicdata.baidu.com/data2/lrc/848cf72a9759831d3812d4b11179b0b6/540578319/540578319.lrc,1
1,《越长大越孤单》,摩登天空,2008-03-18,古风,主题,蝶恋花,牛奶咖啡,,http://musicdata.baidu.com/data2/lrc/31555028/31555028.lrc,1
1,《寻雾启示》,海蝶音乐,2009-12-24,古风,主题,庐州月,许嵩,,http://musicdata.baidu.com/data2/lrc/15266235/15266235.lrc,1
1,《苏格拉没有底》,海蝶音乐,2011-04-01,古风,主题,千百度,许嵩,,http://musicdata.baidu.com/data2/lrc/9c6978353dd16f01e8c043ac93de1d49/263650365/263650365.lrc,1
1,《一个任贤齐》,滚石唱片,2002-09-05,古风,主题,少年游,任贤齐,,http://musicdata.baidu.com/data2/lrc/13854699/13854699.lrc,1
1,《天龙八部之宿敌》,海蝶音乐,2011-09-20,古风,主题,天龙八部之宿敌,许嵩,,http://musicdata.baidu.com/data2/lrc/15266331/15266331.lrc,1
1,《星月神话》,海蝶音乐,2010-10-12,古风,主题,相思垢,金莎,,http://musicdata.baidu.com/data2/lrc/241602993/241602993.lrc,1
1,《一尘不染》,海蝶音乐,2006-04-17,古风,主题,斯卡布罗集市,卡洛儿,,http://musicdata.baidu.com/data2/lrc/64992108/64992108.lrc,1
1,《苏格拉没有底》,海蝶音乐,2011-04-01,古风,主题,拆东墙,许嵩,,http://musicdata.baidu.com/data2/lrc/246649232/246649232.lrc,1
1,《就是主题歌》,SONY MUSIC,2004-04-16,古风,主题,想起,韩雪,,http://musicdata.baidu.com/data2/lrc/13762447/13762447.lrc,1
1,《N+1 Evolution》,太合麦田,2008-12-10,古风,主题,梨花香,李宇春,,http://musicdata.baidu.com/data2/lrc/8bb4e290a7e07a12c485ae52ff8cbdc0/263991550/263991550.lrc,1
1,《飘雪》,SONY MUSIC,2004-09-16,古风,主题,飘雪,韩雪,,http://musicdata.baidu.com/data2/lrc/13765942/13765942.lrc,1
1,《少年中国》,太合麦田,2008-04-29,古风,主题,花容瘦,李宇春,,http://musicdata.baidu.com/data2/lrc/240907726/240907726.lrc,1
1,《星月神话》,海蝶音乐,2010-10-12,古风,主题,天边的眷恋,金莎,,http://musicdata.baidu.com/data2/lrc/241602967/241602967.lrc,1
1,《极限》,亚神音乐,2010-09-03,古风,主题,绿洲,徐佳莹,,http://musicdata.baidu.com/data2/lrc/13912203/13912203.lrc,1
1,《皇后与梦想》,太合麦田,2006-09-15,古风,主题,冰菊物语,李宇春,,http://musicdata.baidu.com/data2/lrc/1029134/1029134.lrc,1
1,《唐朝》,滚石唱片,1992-12-07,古风,主题,传说,唐朝乐队,,http://musicdata.baidu.com/data2/lrc/31552315/31552315.lrc,1
1,《西域情歌》,恒大音乐,2003-11-03,古风,主题,燕子,黄灿,,http://musicdata.baidu.com/data2/lrc/14340182/14340182.lrc,1
2,《放弃也是一种美丽》,广东飞讯,2009-04-25,古风,主题,天仙缘,梁紫丹,,http://musicdata.baidu.com/data2/lrc/1440999/1440999.lrc,2
2,《有声有影》,广东飞讯,1996-07-01,古风,主题,梁祝,吴奇隆,,http://musicdata.baidu.com/data2/lrc/23477358/23477358.lrc,2
2,《百变》,广东飞讯,1996-07-01,古风,主题,白头吟,HITA,,http://musicdata.baidu.com/data2/lrc/583511/583511.lrc,2
2,游戏,广东飞讯,1996-07-01,古风,主题,誓言,董真,,http://musicdata.baidu.com/data2/lrc/170df541c6149f111762e305c0842ffa/268034454/268034454.lrc,2
2,《你最牛》,滚石唱片,2008-06-05,古风,主题,来我家吃饭,阿牛,,http://musicdata.baidu.com/data2/lrc/231245/231245.lrc,2
2,国语流行,滚石唱片,2008-06-05,古风,主题,江城子·蝶恋花,T榜,,http://musicdata.baidu.com/data2/lrc/e7dfa44dc1a606199c054d1a32f15c25/271976939/271976939.lrc,2
2,《贞观长歌》,滚石唱片,老孙文化,古风,主题,贞观长歌,张澜澜,,http://musicdata.baidu.com/data2/lrc/64979745/64979745.lrc,2
2,中国风,滚石唱片,老孙文化,古风,主题,青云见-诛仙陆雪琪同人,T榜,,http://musicdata.baidu.com/data2/lrc/5a7e445e84822cee330b49fcd9817ec8/271973725/271973725.lrc,2
2,《脸》,滚石唱片,2011-01-07,古风,主题,长相思,林子曦,,http://musicdata.baidu.com/data2/lrc/2463233/2463233.lrc,2
2,《october project》,滚石唱片,SONY唱片,古风,主题,a lonely voice,october project,,http://musicdata.baidu.com/data2/lrc/700583/700583.lrc,2
