,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《NOW现在周华健》,滚石唱片,1999-11-29,情歌,主题,鬼迷心窍,周华健,,http://musicdata.baidu.com/data2/lrc/13801755/13801755.lrc,1
1,《未来的第一站》,SONY MUSIC,2010-10-25,情歌,主题,一个人生活,林育群,,http://musicdata.baidu.com/data2/lrc/28832608/28832608.lrc,1
1,《陪着我的时候想着她》,福茂唱片,2011-08-25,情歌,主题,离开,郭静,,http://musicdata.baidu.com/data2/lrc/239769195/239769195.lrc,1
1,《16 Most Requested Songs:  Encore!》,SONY MUSIC,1995-08-10,情歌,主题,Speak Softly Love,Andy williams,,http://musicdata.baidu.com/data2/lrc/246661469/246661469.lrc,1
1,《A Few Small Repairs》,SONY MUSIC,1996-11-05,情歌,主题,Sunny Came Home,Shawn Colvin,,http://musicdata.baidu.com/data2/lrc/14881442/14881442.lrc,1
1,《热爱》,滚石唱片,2001-09-01,情歌,主题,烫心,羽泉,,http://musicdata.baidu.com/data2/lrc/239806268/239806268.lrc,1
1,《Shrek》,环球唱片,2001-05-14,情歌,主题,You Belong To Me,Jason Wade,,http://musicdata.baidu.com/data2/lrc/239874561/239874561.lrc,1
1,《As A Sa》,英皇唱片,2010-06-15,情歌,主题,二缺一,蔡卓妍,,http://musicdata.baidu.com/data2/lrc/123042230/123042230.lrc,1
1,《A Kind Of Hush》,环球唱片,2001-02-02,情歌,主题,I Have You,Carpenters,,http://musicdata.baidu.com/data2/lrc/240075522/240075522.lrc,1
1,《阿岳正传》,滚石唱片,2004-06-24,情歌,主题,我会想念你,张震岳,,http://musicdata.baidu.com/data2/lrc/240113059/240113059.lrc,1
1,《Revelation》,环球唱片,2000-09-25,情歌,主题,My Everything,98º,,http://musicdata.baidu.com/data2/lrc/240149381/240149381.lrc,1
1,《Better In Time》,环球唱片,2000-09-25,情歌,主题,Better In Time,Leona Lewis,,http://musicdata.baidu.com/data2/lrc/246654678/246654678.lrc,1
1,《我等你》,滚石唱片,2000-01-07,情歌,主题,后来,刘若英,,http://musicdata.baidu.com/data2/lrc/d765a6be2108458a0504655c8ec97381/544501902/544501902.lrc,1
1,《情义》,滚石唱片,2004-03-25,情歌,主题,我是一只鱼,任贤齐,,http://musicdata.baidu.com/data2/lrc/240281083/240281083.lrc,1
1,《记念》,环球唱片,2000-03-01,情歌,主题,True Love,蔡健雅,,http://musicdata.baidu.com/data2/lrc/240400390/240400390.lrc,1
1,《美丽的爱情》,环球唱片,2009-07-14,情歌,主题,七月七日晴,许慧欣,,http://musicdata.baidu.com/data2/lrc/13916842/13916842.lrc,1
1,《Stranger Under My Skin》,环球唱片,2011-02-22,情歌,主题,等你爱我,陈奕迅,,http://musicdata.baidu.com/data2/lrc/240403435/240403435.lrc,1
1,《A Little Love》,SONY MUSIC,2008-05-26,情歌,主题,不做你的情人,冯曦妤,,http://musicdata.baidu.com/data2/lrc/e7e7204d503df4875fe29ff648222b4a/251695819/251695819.lrc,1
1,《绝对收藏》,SONY MUSIC,2008-07-24,情歌,主题,凤凰花开的路口,林志炫,,http://musicdata.baidu.com/data2/lrc/240464939/240464939.lrc,1
1,《绝对收藏》,SONY MUSIC,2008-07-24,情歌,主题,离人,林志炫,,http://musicdata.baidu.com/data2/lrc/240464942/240464942.lrc,1
2,《不能不爱》,SONY MUSIC,2009-09-25,情歌,主题,落地开花,卢巧音,,http://musicdata.baidu.com/data2/lrc/9673425/9673425.lrc,2
2,《不能不爱》,SONY MUSIC,2009-09-25,情歌,主题,三角志,卢巧音,,http://musicdata.baidu.com/data2/lrc/9673379/9673379.lrc,2
2,《单身情歌 超炫精选》,SONY MUSIC,1999-12-01,情歌,主题,单身情歌,林志炫,,http://musicdata.baidu.com/data2/lrc/246653101/246653101.lrc,2
2,《专属密码》,SONY MUSIC,2005-06-03,情歌,主题,那女孩对我说,黄义达,,http://musicdata.baidu.com/data2/lrc/240465626/240465626.lrc,2
2,"《ONE芳新歌,精选》",滚石唱片,2005-01-14,情歌,主题,温哥华悲伤一号,万芳,,http://musicdata.baidu.com/data2/lrc/672415/672415.lrc,2
2,《挚爱》,潮水音乐,1997-03-31,情歌,主题,多想,张信哲,,http://musicdata.baidu.com/data2/lrc/240890148/240890148.lrc,2
2,《天空》,环球唱片,1994-11-04,情歌,主题,棋子,王菲,,http://musicdata.baidu.com/data2/lrc/33800325/33800325.lrc,2
2,《宝贝》,环球唱片,2010-08-10,情歌,主题,Good Bye,莫文蔚,,http://musicdata.baidu.com/data2/lrc/12450745/12450745.lrc,2
2,《808》,环球唱片,2011-01-14,情歌,主题,小小蚂蚁,潘玮柏,,http://musicdata.baidu.com/data2/lrc/241599793/241599793.lrc,2
2,《情歌没有告诉你》,环球唱片,2010-12-24,情歌,主题,你会不会,梁静茹,,http://musicdata.baidu.com/data2/lrc/241599838/241599838.lrc,2
2,《星月神话》,海蝶音乐,2010-10-12,情歌,主题,亲爱的还幸福吗,金莎,,http://musicdata.baidu.com/data2/lrc/241602980/241602980.lrc,2
2,《如果云知道》,环球唱片,1996-09-08,情歌,主题,独角戏,许茹芸,,http://musicdata.baidu.com/data2/lrc/241639655/241639655.lrc,2
2,《为爱走天涯》,环球唱片,2001-01-28,情歌,主题,天涯,任贤齐,,http://musicdata.baidu.com/data2/lrc/796084078ebf0b7da7cc189c5113a688/267632916/267632916.lrc,2
2,《一夜长大》,滚石唱片,1999-09-17,情歌,主题,对不起我爱你,梁静茹,,http://musicdata.baidu.com/data2/lrc/241644053/241644053.lrc,2
2,《如果没有你》,SONY MUSIC,2006-04-06,情歌,主题,手,莫文蔚,,http://musicdata.baidu.com/data2/lrc/241649169/241649169.lrc,2
2,《闪亮的星》,滚石唱片,2001-06-27,情歌,主题,无条件为你,梁静茹,,http://musicdata.baidu.com/data2/lrc/241655511/241655511.lrc,2
2,《哈啰》,海蝶音乐,2003-12-24,情歌,主题,下雨的时候会想你,阿杜,,http://musicdata.baidu.com/data2/lrc/241655638/241655638.lrc,2
2,《没什么好怕》,海蝶音乐,2010-02-26,情歌,主题,我在你的爱情之外,阿杜,,http://musicdata.baidu.com/data2/lrc/246650580/246650580.lrc,2
2,《因为女人说》,力行网际,2009-12-18,情歌,主题,我曾经爱过一个人,彭佳慧,,http://musicdata.baidu.com/data2/lrc/405869/405869.lrc,2
2,"《1,1 Play n Fun》",滚石唱片,2009-11-06,情歌,主题,一秒也好,卓文萱,,http://musicdata.baidu.com/data2/lrc/13916903/13916903.lrc,2
3,《蓝色土耳其》,滚石唱片,2007-10-24,情歌,主题,短消息,周传雄,,http://musicdata.baidu.com/data2/lrc/14901077/14901077.lrc,3
3,《蓝色土耳其》,滚石唱片,2007-10-24,情歌,主题,向北飞,周传雄,,http://musicdata.baidu.com/data2/lrc/61e62d17cfa0e0652a4b9a9fd79eacde/257162342/257162342.lrc,3
3,《Goodbye & Hello》,亚神音乐,2007-10-05,情歌,主题,空白格,蔡健雅,,http://musicdata.baidu.com/data2/lrc/13957725/13957725.lrc,3
3,《信仰》,潮水音乐,2000-05-01,情歌,主题,信仰,张信哲,,http://musicdata.baidu.com/data2/lrc/64535241/64535241.lrc,3
3,《我不想忘记你》,福茂唱片,2007-06-29,情歌,主题,你的香气,郭静,,http://musicdata.baidu.com/data2/lrc/13901664/13901664.lrc,3
3,《宠爱 张国荣》,滚石唱片,1995-07-01,情歌,主题,当爱已成往事,张国荣,,http://musicdata.baidu.com/data2/lrc/13833389/13833389.lrc,3
3,《超级4Th场》,滚石唱片,2009-06-19,情歌,主题,入戏,曹格,,http://musicdata.baidu.com/data2/lrc/246897867/246897867.lrc,3
3,《编号89757》,海蝶音乐,2005-04-01,情歌,主题,一千年以后,林俊杰,,http://musicdata.baidu.com/data2/lrc/96b135851b94fabd9e354bc3e2b684e4/262349895/262349895.lrc,3
3,《走路去纽约》,海蝶音乐,2005-09-01,情歌,主题,女人心事,陶晶莹,,http://musicdata.baidu.com/data2/lrc/13859047/13859047.lrc,3
3,《很爱很爱你》,滚石唱片,1998-01-01,情歌,主题,打了一把钥匙给你,刘若英,,http://musicdata.baidu.com/data2/lrc/289128/289128.lrc,3
3,《男配角的心声》,滚石唱片,1990-04-14,情歌,主题,你怎么舍得我难过,黄品源,,http://musicdata.baidu.com/data2/lrc/93196734/93196734.lrc,3
3,《如果没有你》,SONY MUSIC,2006-04-06,情歌,主题,如果没有你,莫文蔚,,http://musicdata.baidu.com/data2/lrc/13758557/13758557.lrc,3
3,《不可能错过你》,SONY MUSIC,1999-06-22,情歌,主题,不可能错过你,王力宏,,http://musicdata.baidu.com/data2/lrc/15265992/15265992.lrc,3
3,《不可能错过你》,SONY MUSIC,1999-06-22,情歌,主题,Julia,王力宏,,http://musicdata.baidu.com/data2/lrc/15363806/15363806.lrc,3
3,《完美石刻》,星工场,2003-10-17,情歌,主题,代价,孙国庆,,http://musicdata.baidu.com/data2/lrc/13840446/13840446.lrc,3
3,《雨一直下》,星工场,1999-09-01,情歌,主题,给你们,张宇,,http://musicdata.baidu.com/data2/lrc/30770249/30770249.lrc,3
3,《领悟》,滚石唱片,1994-08-12,情歌,主题,领悟,辛晓琪,,http://musicdata.baidu.com/data2/lrc/13760108/13760108.lrc,3
3,《吻别》,环球唱片,1993-03-05,情歌,主题,秋意浓,张学友,,http://musicdata.baidu.com/data2/lrc/13767483/13767483.lrc,3
3,《傻的可以》,滚石唱片,2003-11-07,情歌,主题,身边,许绍洋,,http://musicdata.baidu.com/data2/lrc/14966041/14966041.lrc,3
3,"《爱,一直存在》",环球唱片,2009-11-20,情歌,主题,三个愿望,梁文音,,http://musicdata.baidu.com/data2/lrc/13918688/13918688.lrc,3
