,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《Royals》,环球唱片,2013-10-09,格莱美,主题,Royals,Lorde,,http://musicdata.baidu.com/data2/lrc/131073345/131073345.lrc,1
1,《AlegríA》,环球唱片,2003-03-03,格莱美,主题,Orbits,Wayne Shorter,,http://musicdata.baidu.com/data2/lrc/131073345/131073345.lrc,1
1,《Magna Carta... Holy Grail》,环球唱片,2013-07-04,格莱美,主题,Holy Grail,"Jay-Z,Justin Timberlake",,http://musicdata.baidu.com/data2/lrc/64422322/64422322.lrc,1
1,《Magna Carta... Holy Grail》,环球唱片,2013-07-04,格莱美,主题,Part II (On The Run),"Jay-Z,Beyonce",,http://musicdata.baidu.com/data2/lrc/246651774/246651774.lrc,1
1,《Sound City - Real to Reel》,SONY MUSIC,2013-03-11,格莱美,主题,Cut Me Some Slack,"Dave Grohl,Krist Novoselic,Paul McCartney,Pat Smear",,http://musicdata.baidu.com/data2/lrc/99002822/99002822.lrc,1
1,《Young And Beautiful》,环球唱片,2013-05-07,格莱美,主题,Young And Beautiful,Lana Del Rey,,http://musicdata.baidu.com/data2/lrc/241664912/241664912.lrc,1
1,《Nothing Was The Same》,环球唱片,2013-09-24,格莱美,主题,Started From The Bottom,Drake,,http://musicdata.baidu.com/data2/lrc/85832858/85832858.lrc,1
1,《2013 Grammy Nominees》,EMI,2013-01-23,格莱美,主题,I Will Wait,Mumford & Sons,,http://musicdata.baidu.com/data2/lrc/33955878/33955878.lrc,1
1,《2013 Grammy Nominees》,EMI,2013-01-23,格莱美,主题,Ho Hey,The Lumineers,,http://musicdata.baidu.com/data2/lrc/33955560/33955560.lrc,1
1,《2013 Grammy Nominees》,EMI,2013-01-23,格莱美,主题,Call Me Maybe,Carly Rae Jepsen,,http://musicdata.baidu.com/data2/lrc/33955272/33955272.lrc,1
1,《2013 Grammy Nominees》,EMI,2013-01-23,格莱美,主题,Payphone,"Maroon 5,Wiz Khalifa",,http://musicdata.baidu.com/data2/lrc/33955234/33955234.lrc,1
1,《2013 Grammy Nominees》,EMI,2013-01-23,格莱美,主题,We Are Never Ever Getting Back Together,Taylor Swift,,http://musicdata.baidu.com/data2/lrc/b2b0a4173907c5e8ae12b898c50eef90/257434327/257434327.lrc,1
1,《2013 Grammy Nominees》,EMI,2013-01-23,格莱美,主题,Somebody That I Used To Know,Gotye,,http://musicdata.baidu.com/data2/lrc/121016642/121016642.lrc,1
1,《2010 Grammy Nominees》,EMI,2010-01-18,格莱美,主题,I Gotta Feeling (Edit),The Black Eyed Peas,,http://musicdata.baidu.com/data2/lrc/13890182/13890182.lrc,1
1,《2010 Grammy Nominees》,EMI,2010-01-18,格莱美,主题,Fallin  For You (Album Version),Colbie Caillat,,http://musicdata.baidu.com/data2/lrc/13915404/13915404.lrc,1
1,《2010 Grammy Nominees》,EMI,2010-01-18,格莱美,主题,You Belong With Me,Taylor Swift,,http://musicdata.baidu.com/data2/lrc/247102318/247102318.lrc,1
1,《2010 Grammy Nominees》,EMI,2010-01-18,格莱美,主题,Poker Face,Lady Gaga,,http://musicdata.baidu.com/data2/lrc/13767904/13767904.lrc,1
