,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《中港台电视剧主题曲大比拼》,环球唱片,1998-08-01,武侠,主题,难念的经(粤),周华健,,http://musicdata.baidu.com/data2/lrc/239128860/239128860.lrc,1
1,《精选辑(一)》,滚石唱片,1988-05-01,武侠,主题,落花,潘越云,,http://musicdata.baidu.com/data2/lrc/926050/926050.lrc,1
1,《情义》,滚石唱片,2004-03-25,武侠,主题,死不了,任贤齐,,http://musicdata.baidu.com/data2/lrc/13868968/13868968.lrc,1
1,《锦上添花》,易柏文化,2004-05-27,武侠,主题,爱是仙上仙,戴娆,,http://musicdata.baidu.com/data2/lrc/773428/773428.lrc,1
1,《成龙超级精装大戏主题曲》,易柏文化,1995-01-21,武侠,主题,你给我一片天,成龙,,http://musicdata.baidu.com/data2/lrc/746572/746572.lrc,1
1,《情义》,易柏文化,2004-03-25,武侠,主题,伤心太平洋,任贤齐,,http://musicdata.baidu.com/data2/lrc/d2c253ce2866e22a8bd64d7becacdbe0/549985269/549985269.lrc,1
1,《情义》,易柏文化,2004-03-25,武侠,主题,天涯,任贤齐,,http://musicdata.baidu.com/data2/lrc/13868651/13868651.lrc,1
1,《滚石香港黄金十年-李宗盛精选》,滚石唱片,2003-03-14,武侠,主题,凡人歌,李宗盛,,http://musicdata.baidu.com/data2/lrc/13619866/13619866.lrc,1
1,《为爱走天涯》,滚石唱片,2001-01-28,武侠,主题,死不了,任贤齐,,http://musicdata.baidu.com/data2/lrc/96d7fabb19ef4319d207bf2c762095f1/267632259/267632259.lrc,1
1,《齐天大圣之西游双记 月光宝盒+仙履奇缘》,滚石唱片,1995-05-01,武侠,主题,一生所爱,"卢冠廷,莫文蔚",,http://musicdata.baidu.com/data2/lrc/ace0d996d126b805779a049a59e1b2b5/545457750/545457750.lrc,1
1,《神雕侠侣电视主题曲原声大戏》,滚石唱片,1995-05-01,武侠,主题,天下无双,群星,,http://musicdata.baidu.com/data2/lrc/65444730/65444730.lrc,1
1,《为爱走天涯》,滚石唱片,2001-01-28,武侠,主题,天涯,任贤齐,,http://musicdata.baidu.com/data2/lrc/796084078ebf0b7da7cc189c5113a688/267632916/267632916.lrc,1
1,《成龙超级精装大戏主题曲》,滚石唱片,1995-01-21,武侠,主题,壮志在我胸,成龙,,http://musicdata.baidu.com/data2/lrc/246650666/246650666.lrc,1
1,《有弦相聚》,滚石唱片,1994-10-27,武侠,主题,刀剑若梦,周华健,,http://musicdata.baidu.com/data2/lrc/23153089/23153089.lrc,1
1,《夜太黑》,滚石唱片,1996-07-01,武侠,主题,野风,林忆莲,,http://musicdata.baidu.com/data2/lrc/31449567/31449567.lrc,1
1,《天地男儿》,滚石唱片,1999-12-17,武侠,主题,风起云涌,张智霖,,http://musicdata.baidu.com/data2/lrc/14967177/14967177.lrc,1
1,《飞鸟》,滚石唱片,2001-09-14,武侠,主题,花太香,任贤齐,,http://musicdata.baidu.com/data2/lrc/13786459/13786459.lrc,1
1,《飞鸟》,滚石唱片,2001-09-14,武侠,主题,飞鸟,任贤齐,,http://musicdata.baidu.com/data2/lrc/13914652/13914652.lrc,1
1,《成龙超级精装大戏主题曲》,滚石唱片,1995-01-21,武侠,主题,醉拳,成龙,,http://musicdata.baidu.com/data2/lrc/246649402/246649402.lrc,1
1,《爱相随》,滚石唱片,1995-07-07,武侠,主题,天下有情人,"周华健,齐豫",,http://musicdata.baidu.com/data2/lrc/13810731/13810731.lrc,1
2,《红星六号》,太合麦田,1998-12-31,武侠,主题,归去来,"胡兵,希莉娜依",,http://musicdata.baidu.com/data2/lrc/20657364/20657364.lrc,2
2,《领悟》,滚石唱片,1994-08-12,武侠,主题,俩俩相忘,辛晓琪,,http://musicdata.baidu.com/data2/lrc/13765694/13765694.lrc,2
2,《听健 （16首广东精选(香港版)）》,滚石唱片,1998-12-01,武侠,主题,难念的经,周华健,,http://musicdata.baidu.com/data2/lrc/23509632/23509632.lrc,2
2,《爱不释手》,滚石唱片,1994-10-22,武侠,主题,爱不释手,李丽芬,,http://musicdata.baidu.com/data2/lrc/13801841/13801841.lrc,2
2,《守候》,滚石唱片,1999-03-10,武侠,主题,俩俩相忘,辛晓琪,,http://musicdata.baidu.com/data2/lrc/31510392/31510392.lrc,2
2,《爱不释手》,滚石唱片,1994-10-22,武侠,主题,爱江山更爱美人,李丽芬,,http://musicdata.baidu.com/data2/lrc/13818519/13818519.lrc,2
2,《爱的进行式》,滚石唱片,1994-01-27,武侠,主题,问,陈淑桦,,http://musicdata.baidu.com/data2/lrc/226446/226446.lrc,2
2,《就这样约定》,滚石唱片,1994-01-22,武侠,主题,爱江山更爱美人,李丽芬,,http://musicdata.baidu.com/data2/lrc/246648831/246648831.lrc,2
2,《中港台电视剧主题曲大比拼》,滚石唱片,1998-08-01,武侠,主题,刀剑如梦(国),周华健,,http://musicdata.baidu.com/data2/lrc/36915662/36915662.lrc,2
2,《K歌情人雅座》,滚石唱片,2007-02-09,武侠,主题,天下有情人,"齐豫,周华健",,http://musicdata.baidu.com/data2/lrc/14896304/14896304.lrc,2
2,《未了情》,滚石唱片,2001-11-01,武侠,主题,未了情,田震,,http://musicdata.baidu.com/data2/lrc/246648616/246648616.lrc,2
2,《最爱》,天中文化,2002-12-01,武侠,主题,雪来的时候,苏有朋,,http://musicdata.baidu.com/data2/lrc/14962517/14962517.lrc,2
2,《天浴电影原声带》,天中文化,1998-12-11,武侠,主题,欲水Desirous Water,齐豫,,http://musicdata.baidu.com/data2/lrc/31524199/31524199.lrc,2
2,《驿动男人心(香港版)》,滚石唱片,1998-11-17,武侠,主题,伤心太平洋,任贤齐,,http://musicdata.baidu.com/data2/lrc/31510531/31510531.lrc,2
2,《神雕侠侣电视主题曲原声大戏》,滚石唱片,2006-05-13,武侠,主题,战舞,小虫,,http://musicdata.baidu.com/data2/lrc/14859892/14859892.lrc,2
2,《神雕侠侣电视主题曲原声大戏》,滚石唱片,2006-05-13,武侠,主题,江湖笑,周华健,,http://musicdata.baidu.com/data2/lrc/13901749/13901749.lrc,2
2,《神雕侠侣电视主题曲原声大戏》,滚石唱片,2006-05-13,武侠,主题,双飞,"黄晓明,丁当",,http://musicdata.baidu.com/data2/lrc/12477829/12477829.lrc,2
2,《笑傲歌坛 传世经典》,英皇唱片,2004-12-24,武侠,主题,世间始终你最好,罗文,,http://musicdata.baidu.com/data2/lrc/65683539/65683539.lrc,2
2,流行,英皇唱片,2004-12-24,武侠,主题,华夏英雄,邓超,,http://musicdata.baidu.com/data2/lrc/13911568/13911568.lrc,2
2,《2002任贤齐演唱会》,英皇唱片,2002-08-01,武侠,主题,花太香-现场版,任贤齐,,http://musicdata.baidu.com/data2/lrc/65114831/65114831.lrc,2
3,《天下大乱》,英皇唱片,1999-08-04,武侠,主题,笑红尘,陈淑桦,,http://musicdata.baidu.com/data2/lrc/31503565/31503565.lrc,3
3,《天下大乱》,英皇唱片,1999-08-04,武侠,主题,爱江山更爱美人,李丽芬,,http://musicdata.baidu.com/data2/lrc/31513994/31513994.lrc,3
3,《10年金马奖最佳电影主题曲 光荣岁月》,英皇唱片,1993-12-01,武侠,主题,沧海一声笑,"罗大佑,黄霑,徐克",,http://musicdata.baidu.com/data2/lrc/23161783/23161783.lrc,3
3,《风云2》,英皇唱片,2005-04-01,武侠,主题,风云,屠洪刚,,http://musicdata.baidu.com/data2/lrc/23287535/23287535.lrc,3
3,《发现》,滚石唱片,1993-06-01,武侠,主题,得意的笑,李丽芬,,http://musicdata.baidu.com/data2/lrc/14550555/14550555.lrc,3
3,《中国功夫》,滚石唱片,1997-12-01,武侠,主题,孔雀东南飞,屠洪刚,,http://musicdata.baidu.com/data2/lrc/23502976/23502976.lrc,3
