,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《小红莓精选Best Of The Cranberries 1》,环球唱片,2006-10-20,流金岁月,主题,Dying In The Sun,The Cranberries,,http://musicdata.baidu.com/data2/lrc/239097722/239097722.lrc,1
1,《Beauty And The Beast (Special Edition)》,环球唱片,2006-10-20,流金岁月,主题,Beauty And The Beast,"Celine Dion,Peabo Bryson",,http://musicdata.baidu.com/data2/lrc/239103487/239103487.lrc,1
1,《La Magia De Disney Y Sus Super Estrellas》,环球唱片,2006-10-20,流金岁月,主题,Colors Of The Wind,Vanessa Williams,,http://musicdata.baidu.com/data2/lrc/239104534/239104534.lrc,1
1,《Greatest Hits》,SONY MUSIC,1991-10-22,流金岁月,主题,All Out Of Love,Air Supply,,http://musicdata.baidu.com/data2/lrc/239129021/239129021.lrc,1
1,《Mirrorball: The Complete Concert》,Arista,2006-10-14,流金岁月,主题,Angel,Sarah McLachlan,,http://musicdata.baidu.com/data2/lrc/9677110/9677110.lrc,1
1,《The Hits Of Shakin' Stevens Vol Ii》,SONY MUSIC,1998-07-21,流金岁月,主题,Because I Love You,Shakin' Stevens,,http://musicdata.baidu.com/data2/lrc/13874858/13874858.lrc,1
1,《Love Songs》,SONY MUSIC,2004-03-01,流金岁月,主题,Speak Softly Love,Andy Williams,,http://musicdata.baidu.com/data2/lrc/13880702/13880702.lrc,1
1,《Super Hits》,SONY MUSIC,2008-07-28,流金岁月,主题,A Whole New World,"Peabo Bryson,Regina Belle",,http://musicdata.baidu.com/data2/lrc/12601616/12601616.lrc,1
1,《16 Most Requested Songs:  Encore!》,SONY MUSIC,1995-08-10,流金岁月,主题,Speak Softly Love,Andy williams,,http://musicdata.baidu.com/data2/lrc/246661469/246661469.lrc,1
1,《True 80'S Love》,环球唱片,2008-04-30,流金岁月,主题,I'Ve Never Been To Me,Charlene,,http://musicdata.baidu.com/data2/lrc/12596334/12596334.lrc,1
1,《The Ultimate Collection》,SONY MUSIC,2007-10-20,流金岁月,主题,When You Believe,"Whitney Houston,Mariah Carey",,http://musicdata.baidu.com/data2/lrc/246661293/246661293.lrc,1
1,《Collections》,SONY MUSIC,2006-12-11,流金岁月,主题,"Take Me Home, Country Roads",John Denver,,http://musicdata.baidu.com/data2/lrc/27855318/27855318.lrc,1
1,《Live At Sydney Opera House》,POLYDOR MUSIC,2013-09-02,流金岁月,主题,Here I Am,Bryan Adams,,http://musicdata.baidu.com/data2/lrc/239780771/239780771.lrc,1
1,《Behind Blue Eyes》,环球唱片,2009-04-30,流金岁月,主题,Behind Blue Eyes,Limp Bizkit,,http://musicdata.baidu.com/data2/lrc/14966830/14966830.lrc,1
1,《Shrek》,环球唱片,2001-05-14,流金岁月,主题,It Is You (I Have Loved),Dana Glover,,http://musicdata.baidu.com/data2/lrc/13886209/13886209.lrc,1
1,《Aquarius》,环球唱片,2000-02-28,流金岁月,主题,Around The World,Aqua,,http://musicdata.baidu.com/data2/lrc/14944562/14944562.lrc,1
1,《Irresistible》,SONY MUSIC,2001-05-31,流金岁月,主题,When You Told Me You Loved Me,Jessica Simpson,,http://musicdata.baidu.com/data2/lrc/240075728/240075728.lrc,1
1,《Brokeback Mountain Soundtrack》,环球唱片,2008-04-16,流金岁月,主题,I Don'T Want To Say Goodbye,Teddy Thompson,,http://musicdata.baidu.com/data2/lrc/240075854/240075854.lrc,1
1,《Gold - The Best Of》,环球唱片,2006-02-02,流金岁月,主题,You Must Love Me,Madonna,,http://musicdata.baidu.com/data2/lrc/240076072/240076072.lrc,1
1,《Pure》,环球唱片,2014-01-09,流金岁月,主题,Amazing Grace,Hayley Westenra,,http://musicdata.baidu.com/data2/lrc/121979547/121979547.lrc,1
2,《Use Your Illusion II》,环球唱片,1991-09-16,流金岁月,主题,Knockin' On Heaven'S Door,Guns N' Roses,,http://musicdata.baidu.com/data2/lrc/246654721/246654721.lrc,2
2,《The Love Album》,BMG,2006-11-13,流金岁月,主题,Nothing's Gonna Change My Love For You,Westlife,,http://musicdata.baidu.com/data2/lrc/72440db938901931d7eecc01607566bd/257170195/257170195.lrc,2
2,《Engelbert Humperdink - The Greatest Hits And More》,环球唱片,2008-04-29,流金岁月,主题,The Last Waltz,Engelbert humperdinck,,http://musicdata.baidu.com/data2/lrc/122131261/122131261.lrc,2
2,"《Essential Pop Anthems:  Classic 80S, 90S And Current Chart Hits》",SONY MUSIC,2009-10-05,流金岁月,主题,Angel,Sarah McLachlan,,http://musicdata.baidu.com/data2/lrc/28745902/28745902.lrc,2
2,《Greatest Hits》,SONY MUSIC,1991-10-22,流金岁月,主题,Every Woman In The World,Air Supply,,http://musicdata.baidu.com/data2/lrc/751055/751055.lrc,2
2,《Essential - Easy Listening》,SONY MUSIC,2010-01-25,流金岁月,主题,Scarborough Fair,Simon & Garfunkel,,http://musicdata.baidu.com/data2/lrc/7583589/7583589.lrc,2
2,《I Migliori Anni '90 - 2010》,SONY MUSIC,2010-10-05,流金岁月,主题,Un-Break My Heart,Toni Braxton,,http://musicdata.baidu.com/data2/lrc/246654455/246654455.lrc,2
2,《Essential - Cool Cats》,SONY MUSIC,2010-09-13,流金岁月,主题,Can'T Take My Eyes Off You,Andy williams,,http://musicdata.baidu.com/data2/lrc/240320803/240320803.lrc,2
2,《The Show》,SONY MUSIC,2009-09-07,流金岁月,主题,The Show,Lenka,,http://musicdata.baidu.com/data2/lrc/240321107/240321107.lrc,2
2,《Epic》,SONY MUSIC,2010-09-13,流金岁月,主题,I Believe I Can Fly,R. Kelly,,http://musicdata.baidu.com/data2/lrc/240321314/240321314.lrc,2
2,《The Soul Of Rock And Roll》,SONY MUSIC,2010-02-10,流金岁月,主题,"Oh, Pretty Woman",Roy Orbison,,http://musicdata.baidu.com/data2/lrc/12735735/12735735.lrc,2
2,《Now That I'Ve Found You - A Collection》,环球唱片,2010-01-11,流金岁月,主题,When You Say Nothing At All,Alison Krauss,,http://musicdata.baidu.com/data2/lrc/15307314/15307314.lrc,2
2,《Pure... 70'S Dance Party》,SONY MUSIC,2011-06-06,流金岁月,主题,Can'T Help Falling In Love,"Andy Williams,Arranged By Al Capps",,http://musicdata.baidu.com/data2/lrc/12725651/12725651.lrc,2
2,"《失恋万岁 新歌,精选》",滚石唱片,1998-01-01,流金岁月,主题,Lemon Tree,苏慧伦,,http://musicdata.baidu.com/data2/lrc/251699909/251699909.lrc,2
2,《Dominic Miller》,环球唱片,2004-02-02,流金岁月,主题,Shape Of My Heart,"Dominic Miller,Sting",,http://musicdata.baidu.com/data2/lrc/134736161/134736161.lrc,2
2,《The Ultimate Collection》,SONY MUSIC,2007-10-20,流金岁月,主题,I Will Always Love You,Whitney Houston,,http://musicdata.baidu.com/data2/lrc/134427346/134427346.lrc,2
2,《Love Songs》,环球唱片,2004-01-19,流金岁月,主题,Save The Best For Last,Vanessa Williams,,http://musicdata.baidu.com/data2/lrc/358598/358598.lrc,2
2,《A Tribute Album》,SONY MUSIC,1996-04-21,流金岁月,主题,When You Say Nothing At All,Alison Krauss & Union Station,,http://musicdata.baidu.com/data2/lrc/31617490/31617490.lrc,2
2,《I Don't Want To Miss A Thing》,SONY MUSIC,2002-02-05,流金岁月,主题,I Don't Want To Miss A Thing,Aerosmith,,http://musicdata.baidu.com/data2/lrc/65428310/65428310.lrc,2
2,《Anne Murray The Best Of...So Far - 20 Greatest Hits》,EMI,2007-12-01,流金岁月,主题,You Needed Me,Anne Murray,,http://musicdata.baidu.com/data2/lrc/2713296/2713296.lrc,2
3,《Gold》,环球唱片,2006-03-13,流金岁月,主题,Unchained Melody,The Righteous Brothers,,http://musicdata.baidu.com/data2/lrc/2221954/2221954.lrc,3
3,《Sunshine》,环球唱片,2001-11-26,流金岁月,主题,Never Had A Dream Come True,S Club 7,,http://musicdata.baidu.com/data2/lrc/103801691/103801691.lrc,3
