,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《单曲 - 弹起我心爱的土琵琶》,龙乐文化,2008-01-01,红歌,主题,弹起我心爱的土琵琶,梦鸽,,http://musicdata.baidu.com/data2/lrc/ea9380d87cebc1d633bec5e41f5a3f8f/264710736/264710736.lrc,1
1,《马儿啊你慢些走》,龙乐文化,1998-01-01,红歌,主题,英雄赞歌,马玉涛,,http://musicdata.baidu.com/data2/lrc/239135928/239135928.lrc,1
1,《声带颤动的凄美》,非凡制尚,2016-01-08,红歌,主题,唱支山歌给党听,陈燕,,http://musicdata.baidu.com/data2/lrc/9537fbcc03bbd8eb2008d8750873f60f/261464762/261464762.lrc,1
1,《声带颤动的凄美》,非凡制尚,2016-01-08,红歌,主题,映山红,陈燕,,http://musicdata.baidu.com/data2/lrc/558a490555638a767be68de727baf44d/261464744/261464744.lrc,1
1,《红军故乡的歌》,明日明星文化,2015-11-04,红歌,主题,红军故乡的歌,王丽达,,http://musicdata.baidu.com/data2/lrc/213235cf3d9b88c6ef48764f7dd71f97/257286417/257286417.lrc,1
1,《我的祖国》,魔音唱片,2015-10-10,红歌,主题,我的祖国,时翔云,,http://musicdata.baidu.com/data2/lrc/256019959/256019959.lrc,1
1,《月朦胧鸟朦胧》,博纳昆仲,2015-09-28,红歌,主题,映山红,徐晶晶,,http://musicdata.baidu.com/data2/lrc/248531045/248531045.lrc,1
1,《月朦胧鸟朦胧》,博纳昆仲,2015-09-28,红歌,主题,毛主席的话儿记心上,徐晶晶,,http://musicdata.baidu.com/data2/lrc/248531053/248531053.lrc,1
1,《月朦胧鸟朦胧》,博纳昆仲,2015-09-28,红歌,主题,英雄赞歌,徐晶晶,,http://musicdata.baidu.com/data2/lrc/248531032/248531032.lrc,1
1,《我们的旗帜》,歌缘文化,2015-05-17,红歌,主题,英雄赞歌,谭娟,,http://musicdata.baidu.com/data2/lrc/241832058/241832058.lrc,1
1,《百年留声》,天艺唱片,2005-12-01,红歌,主题,映山红,宋祖英,,http://musicdata.baidu.com/data2/lrc/5bbdf3a2f6e59da3285944de6f353677/544620871/544620871.lrc,1
1,《十送红军》,广西民族音像,2003-12-23,红歌,主题,十送红军,宋祖英,,http://musicdata.baidu.com/data2/lrc/aae4fb319b41f86c9364e55c9b455db2/533369247/533369247.lrc,1
1,《What If...》,英皇唱片,2014-11-28,红歌,主题,心灰,钟舒漫,,http://musicdata.baidu.com/data2/lrc/246646948/246646948.lrc,1
1,《单曲-弹起我心爱的土琵琶》,英皇唱片,2006-02-25,红歌,主题,弹起我心爱的土琵琶,郁钧剑,,http://musicdata.baidu.com/data2/lrc/b3f7b9d2be0ad615c62241278534ba48/266563874/266563874.lrc,1
1,《儿歌曲库46》,英皇唱片,颂今音乐,红歌,主题,红歌唱得满天红,"李思琳,王镇,袁和德,高维嘉",,http://musicdata.baidu.com/data2/lrc/439d48ba5d2886a4bdc7b8b4610c6c8e/257161184/257161184.lrc,1
