,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《你是我今生的依靠》,酝星文化,2014-09-09,网络歌曲,主题,你是我今生的依靠,"冷漠,杨小曼",,http://musicdata.baidu.com/data2/lrc/e3d8bc5574879b958a8f975d8d35d5fb/263644292/263644292.lrc,1
1,《爱的世界只有你》,北京乐享天承文化传媒有限公司,2013-04-02,网络歌曲,主题,又见山里红,祁隆,,http://musicdata.baidu.com/data2/lrc/945977d2b1a646f5d7a970fbc519c5c2/262880439/262880439.lrc,1
1,《醉相思》,北京乐享天承文化传媒有限公司,2014-01-12,网络歌曲,主题,醉相思,祁隆,,http://musicdata.baidu.com/data2/lrc/d7d9b709a49fae38e3458197b5cde6ea/262880458/262880458.lrc,1
1,《想念你》,无线星空,2007-04-01,网络歌曲,主题,风吹麦浪,李健,,http://musicdata.baidu.com/data2/lrc/bb39298607a3f90dd00037e44a7db55a/544621774/544621774.lrc,1
1,《醉相思》,北京乐享天承文化传媒有限公司,2014-01-12,网络歌曲,主题,等你等了那么久,祁隆,,http://musicdata.baidu.com/data2/lrc/62413f3e5fd6808c53beda9bdc80187e/262880607/262880607.lrc,1
1,《小苹果（新年Remix版）》,乐享文化,2015-01-08,网络歌曲,主题,小苹果（新年Remix版）,筷子兄弟,,http://musicdata.baidu.com/data2/lrc/ab7069deb0b492a05590e134fc53e162/540055027/540055027.lrc,1
1,《亲爱的 你在哪里》,汉马文化,2015-01-14,网络歌曲,主题,亲爱的 你在哪里,"龙飞,门丽",,http://musicdata.baidu.com/data2/lrc/033b05417a350fb1add2cf73032f2997/540639102/540639102.lrc,1
1,《梦醉荷塘》,汉马文化,2014-09-30,网络歌曲,主题,梦醉荷塘,"高安,云菲菲",,http://musicdata.baidu.com/data2/lrc/123538518/123538518.lrc,1
1,《最炫小苹果》,乐享文化,2015-02-20,网络歌曲,主题,最炫小苹果,"凤凰传奇,筷子兄弟",,http://musicdata.baidu.com/data2/lrc/239289073/239289073.lrc,1
1,《美丽的牧羊姑娘》,酝星文化,2014-10-21,网络歌曲,主题,美丽的牧羊姑娘,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/124825117/124825117.lrc,1
1,《似水流年》,泰达唱片,2003-09-01,网络歌曲,主题,传奇,李健,,http://musicdata.baidu.com/data2/lrc/239724694/239724694.lrc,1
1,《隆行天下》,北京乐享天承文化传媒有限公司,2015-05-07,网络歌曲,主题,爱你一生,"祁隆,乐凡",,http://musicdata.baidu.com/data2/lrc/241666241/241666241.lrc,1
1,《爱的世界只有你》,北京乐享天承文化传媒有限公司,2013-04-02,网络歌曲,主题,爱的世界只有你,"祁隆,乐凡",,http://musicdata.baidu.com/data2/lrc/246649661/246649661.lrc,1
1,《站在草原望北京》,北京乐享天承文化传媒有限公司,2012-05-22,网络歌曲,主题,站在草原望北京,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/246647590/246647590.lrc,1
1,《花桥流水》,北京乐享天承文化传媒有限公司,2012-12-30,网络歌曲,主题,花桥流水,"高安,纳兰珠儿",,http://musicdata.baidu.com/data2/lrc/246649621/246649621.lrc,1
1,《啦啦爱》,北京乐享天承文化传媒有限公司,2014-08-14,网络歌曲,主题,啦啦爱 （DJ版）,"祁隆,孟小笛",,http://musicdata.baidu.com/data2/lrc/246646529/246646529.lrc,1
1,《兄弟》,凤凰涅盘,2015-01-21,网络歌曲,主题,兄弟,"祁隆,冷漠",,http://musicdata.baidu.com/data2/lrc/133197125/133197125.lrc,1
1,《醉相思》,北京乐享天承文化传媒有限公司,2014-01-12,网络歌曲,主题,想着你亲爱的,祁隆,,http://musicdata.baidu.com/data2/lrc/f1609e39ef385a7de8a9f3e8830494d8/262880592/262880592.lrc,1
1,《想念你》,无线星空,2007-04-01,网络歌曲,主题,异乡人,李健,,http://musicdata.baidu.com/data2/lrc/14874257/14874257.lrc,1
1,《唱着情歌流着泪》,无线星空,2012-02-28,网络歌曲,主题,不会再让你哭,祁隆,,http://musicdata.baidu.com/data2/lrc/13910993/13910993.lrc,1
2,《金色的草原》,无线星空,2012-02-14,网络歌曲,主题,火辣辣的情歌,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/13902341/13902341.lrc,2
2,《爱着你宠着你》,北京乐享天承文化传媒有限公司,2016-04-01,网络歌曲,主题,爱着你宠着你,"彭丽嘉,祁隆",,http://musicdata.baidu.com/data2/lrc/c0b78ef3b2597135b8a0af110a72fb03/264786582/264786582.lrc,2
2,《一万个对不起》,启韵传媒,2013-09-20,网络歌曲,主题,爱我中国,"龙梅子,高安,祁隆",,http://musicdata.baidu.com/data2/lrc/33cf1358ba4fc447c2db865c6417e420/267202959/267202959.lrc,2
2,《兄弟难当》,胜鵾博亚,2013-07-16,网络歌曲,主题,兄弟难当,杜歌,,http://musicdata.baidu.com/data2/lrc/8ad5f4f26f6be6959408df5a65384665/271912463/271912463.lrc,2
2,《叹情歌（男女对唱版）》,爱我格林,2013-07-01,网络歌曲,主题,叹情歌,"高安,司徒兰芳",,http://musicdata.baidu.com/data2/lrc/246651754/246651754.lrc,2
2,《老父亲》,北京乐享天承文化传媒有限公司,2017-01-11,网络歌曲,主题,老婆你辛苦了,祁隆,,http://musicdata.baidu.com/data2/lrc/134736487/134736487.lrc,2
2,《红颜知己》,普天同乐,2016-12-12,网络歌曲,主题,谁都不要说分手,"龙梅子,冷漠",,http://musicdata.baidu.com/data2/lrc/56177f685154c569abef779f53c05ada/289062466/289062466.lrc,2
2,《勿忘你》,欧乐文化,2014-03-03,网络歌曲,主题,勿忘你,"高安,郭玲",,http://musicdata.baidu.com/data2/lrc/115095234/115095234.lrc,2
2,《醉相思》,北京乐享天承文化传媒有限公司,2014-01-12,网络歌曲,主题,你偷走了我的心,祁隆,,http://musicdata.baidu.com/data2/lrc/246645740/246645740.lrc,2
2,《叹情缘》,北京乐享天承文化传媒有限公司,2013-10-10,网络歌曲,主题,叹情缘,祁隆,,http://musicdata.baidu.com/data2/lrc/eb8832dc6e4e604efa651597f1ae2687/267298075/267298075.lrc,2
2,《乌兰图雅俄罗斯演唱会》,酝星文化,2014-07-17,网络歌曲,主题,莫斯科郊外的晚上,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/121559724/121559724.lrc,2
2,《爱情伤了你爱情害了我》,酝星文化,2013-02-15,网络歌曲,主题,好了伤疤忘了疼,大庆小芳,,http://musicdata.baidu.com/data2/lrc/246650353/246650353.lrc,2
2,《俗情歌》,凤凰涅盘,2014-04-28,网络歌曲,主题,情债难还,"冷漠,陈瑞",,http://musicdata.baidu.com/data2/lrc/23d02563ab016091094a9b05dc022646/265005696/265005696.lrc,2
2,《一万个对不起》,启韵传媒,2013-09-20,网络歌曲,主题,一万个对不起,祁隆,,http://musicdata.baidu.com/data2/lrc/246652983/246652983.lrc,2
2,《秋天不回来》,启韵传媒,2006-12-18,网络歌曲,主题,秋天不回来,王强,,http://musicdata.baidu.com/data2/lrc/246648764/246648764.lrc,2
2,《草原妹妹》,酝星文化,2014-10-30,网络歌曲,主题,草原妹妹,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/124288840/124288840.lrc,2
2,《你是我最爱的女人》,维讯思源,2013-06-28,网络歌曲,主题,你是我最爱的女人,冷漠,,http://musicdata.baidu.com/data2/lrc/246652849/246652849.lrc,2
2,《今生爱的就是你》,北京乐享天承文化传媒有限公司,2013-06-19,网络歌曲,主题,今生爱的就是你,祁隆,,http://musicdata.baidu.com/data2/lrc/246650672/246650672.lrc,2
2,《另一种情感》,北京乐享天承文化传媒有限公司,2013-09-18,网络歌曲,主题,伤了心的女人怎么了,孙露,,http://musicdata.baidu.com/data2/lrc/134736159/134736159.lrc,2
2,《乌兰图雅俄罗斯演唱会》,酝星文化,2014-07-17,网络歌曲,主题,喀秋莎,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/121559728/121559728.lrc,2
3,《乌兰图雅俄罗斯演唱会》,酝星文化,2014-07-17,网络歌曲,主题,山楂树,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/121559729/121559729.lrc,3
3,《醉相思》,北京乐享天承文化传媒有限公司,2014-01-12,网络歌曲,主题,从未这样心动过,祁隆,,http://musicdata.baidu.com/data2/lrc/57d60088dbf60a4c938e5b2657c15d13/262880571/262880571.lrc,3
