,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《胎教音乐2CD：零岁前音乐会》,滚石唱片,1970-01-01,胎教,主题,小提琴协奏曲,胎教音乐,,http://musicdata.baidu.com/data2/lrc/10310912/10310912.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,用力,民族乐团,,http://musicdata.baidu.com/data2/lrc/10310912/10310912.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,腰部压迫、按摩,民族乐团,,http://musicdata.baidu.com/data2/lrc/10310912/10310912.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,小提琴曲：嘉禾舞曲,民族乐团,,http://musicdata.baidu.com/data2/lrc/380a4d16ccce7559425630bfc2da9bc0/259260831/259260831.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,松弛法,民族乐团,,http://musicdata.baidu.com/data2/lrc/1fd5b29a2584bccccc2704a6fd79eb8b/288836532/288836532.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,顺利分娩的过程及有关知识,民族乐团,,http://musicdata.baidu.com/data2/lrc/90520824de6603bc7ba49aa698f7af0f/265176966/265176966.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,人生之初对母亲的第一声呼唤,民族乐团,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/270911122/270911122.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,轻松地分娩诀窍,民族乐团,,http://musicdata.baidu.com/data2/lrc/fa6ba135abc19d4a0493cf7cda6b0412/260744664/260744664.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,经典名曲欣赏：无尽的爱,民族乐团,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/269229886/269229886.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,古筝篇：一人有一个梦想,民族乐团,,http://musicdata.baidu.com/data2/lrc/251703765/251703765.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,钢琴曲：音乐舞盒,民族乐团,,http://musicdata.baidu.com/data2/lrc/a52c08cc8d39fce6a36bd6591aff27b5/263667689/263667689.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,腹式深呼吸胸式深呼吸,民族乐团,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/268688495/268688495.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,二胡曲：谢谢你的爱,民族乐团,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/259262338/259262338.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,儿歌：小龙人,民族乐团,,http://musicdata.baidu.com/data2/lrc/251703496/251703496.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,儿歌：四只小天鹅,民族乐团,,http://musicdata.baidu.com/data2/lrc/90520824de6603bc7ba49aa698f7af0f/263137944/263137944.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,儿歌：铃儿响叮当,民族乐团,,http://musicdata.baidu.com/data2/lrc/90520824de6603bc7ba49aa698f7af0f/264867434/264867434.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,儿歌：哆来咪,民族乐团,,http://musicdata.baidu.com/data2/lrc/7d99c1819b45060ae5a7fabb34e31d0a/261501967/261501967.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,短促呼吸,民族乐团,,http://musicdata.baidu.com/data2/lrc/7d99c1819b45060ae5a7fabb34e31d0a/261501967/261501967.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,宝宝学英语,民族乐团,,http://musicdata.baidu.com/data2/lrc/0c658a27884aabf3e28625e684b8906f/288820502/288820502.lrc,1
1,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,宝宝学唐诗,民族乐团,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/269229873/269229873.lrc,1
2,《胎教音乐（2）CD》,恒大音乐,2008-09-01,胎教,主题,爸爸妈妈与胎儿对话,民族乐团,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/268424512/268424512.lrc,2
