,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《Die GroßEn Erfolge》,环球唱片,2008-04-07,英文儿歌,主题,"Tritsch Tratsch Polka (Schnell, Op. 214)",Wiener Sangerknaben,,http://musicdata.baidu.com/data2/lrc/23494265/23494265.lrc,1
1,《Die GroßEn Erfolge》,环球唱片,2008-04-07,英文儿歌,主题,Wann Du Durchgehst Durchs Tal (Liebeslied Aus KäRnten),Wiener Sangerknaben,,http://musicdata.baidu.com/data2/lrc/23494265/23494265.lrc,1
1,《Die GroßEn Erfolge》,环球唱片,2008-04-07,英文儿歌,主题,Kalinka,Wiener Sangerknaben,,http://musicdata.baidu.com/data2/lrc/12753330/12753330.lrc,1
1,《Die GroßEn Erfolge》,环球唱片,2008-04-07,英文儿歌,主题,Kaiserwalzer (Op. 437),Wiener Sangerknaben,,http://musicdata.baidu.com/data2/lrc/12753330/12753330.lrc,1
1,《Die GroßEn Erfolge》,环球唱片,2008-04-07,英文儿歌,主题,In Die Berg Bin I Gern (Almlied Aus KäRnten),Wiener Sangerknaben,,http://musicdata.baidu.com/data2/lrc/12753330/12753330.lrc,1
1,《Die GroßEn Erfolge》,环球唱片,2008-04-07,英文儿歌,主题,Santa Lucia (Barcarole Aus Neapel),Wiener Sangerknaben,,http://musicdata.baidu.com/data2/lrc/12753329/12753329.lrc,1
1,《Die GroßEn Erfolge》,环球唱片,2008-04-07,英文儿歌,主题,Auld Lang Syne,Wiener Sangerknaben,,http://musicdata.baidu.com/data2/lrc/12753328/12753328.lrc,1
1,《Die GroßEn Erfolge》,环球唱片,2008-04-07,英文儿歌,主题,Der Summa Ist Aus (Almerisches Herbstlied Aus Der Obersteiermark),Wiener Sangerknaben,,http://musicdata.baidu.com/data2/lrc/12753328/12753328.lrc,1
1,《Die GroßEn Erfolge》,环球唱片,2008-04-07,英文儿歌,主题,"Eljen A Magyar (Polka Schnell, Op. 332)",Wiener Sangerknaben,,http://musicdata.baidu.com/data2/lrc/12753328/12753328.lrc,1
1,《Die GroßEn Erfolge》,环球唱片,2008-04-07,英文儿歌,主题,Wohl Ist Die Welt So Groß Und Weit (Bozner Bergsteigerlied),Wiener Sangerknaben,,http://musicdata.baidu.com/data2/lrc/12753328/12753328.lrc,1
1,《Die GroßEn Erfolge》,环球唱片,2008-04-07,英文儿歌,主题,Sakura,Wiener Sangerknaben,,http://musicdata.baidu.com/data2/lrc/12753327/12753327.lrc,1
1,《Die GroßEn Erfolge》,环球唱片,2008-04-07,英文儿歌,主题,Singa Is Ins'Re Freud (Scherzlied Aus Tirol Und Salzburg),Wiener Sangerknaben,,http://musicdata.baidu.com/data2/lrc/12753327/12753327.lrc,1
1,《Die GroßEn Erfolge》,环球唱片,2008-04-07,英文儿歌,主题,"Wein, Weib Und Gesang (Walzer, Op. 333)",Wiener Sangerknaben,,http://musicdata.baidu.com/data2/lrc/12753327/12753327.lrc,1
1,《Die GroßEn Erfolge》,环球唱片,2008-04-07,英文儿歌,主题,Ist Wohl Ein SchöNe Zeit (Lied Zu Ernte Und Herbst Aus KäRnten),Wiener Sangerknaben,,http://musicdata.baidu.com/data2/lrc/12753327/12753327.lrc,1
