,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,页数
1,《Loved Me Back to Life》,SONY MUSIC,2013-11-04,天籁,人声,Loved Me Back to Life (Dave Audé Radio Extended),Céline Dion,http://musicdata.baidu.com/data2/lrc/131703494/131703494.lrc,1
1,《Loved Me Back to Life》,SONY MUSIC,2013-11-04,天籁,人声,Loved Me Back to Life,Céline Dion,http://musicdata.baidu.com/data2/lrc/109017909/109017909.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,All I Want For Christmas Is You (So So Def Remix featuring Jermaine Dupri & Lil Bow Wow),Mariah Carey,http://musicdata.baidu.com/data2/lrc/115113634/115113634.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Against All Odds (Take A Look At Me Now) (Album Version featuring Westlife),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114983851/114983851.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Can't Take That Away (Mariah's Theme) (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114569693/114569693.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Thank God I Found You (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539207/114539207.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Heartbreaker (Album Version (Featuring Jay-Z)),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114877335/114877335.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,I Still Believe (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539192/114539192.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,When You Believe (from The Prince Of Egypt) (Album Version),"Mariah Carey,Whitney Houston",http://musicdata.baidu.com/data2/lrc/114804882/114804882.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Sweetheart (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539202/114539202.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,My All (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114541070/114541070.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Butterfly (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539719/114539719.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Honey (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539725/114539725.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Underneath The Stars (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539607/114539607.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Forever (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539726/114539726.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Always Be My Baby,Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539720/114539720.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,One Sweet Day (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539126/114539126.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Fantasy (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539667/114539667.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Endless Love (Album Version),"Mariah Carey,Luther Vandross",http://musicdata.baidu.com/data2/lrc/114539590/114539590.lrc,1
1,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Anytime You Need A Friend (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539710/114539710.lrc,1
2,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Without You (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539736/114539736.lrc,2
2,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Hero (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114877682/114877682.lrc,2
2,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Dreamlover (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539723/114539723.lrc,2
2,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,I'll Be There (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114540492/114540492.lrc,2
2,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Make It Happen (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539714/114539714.lrc,2
2,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Can't Let Go (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539689/114539689.lrc,2
