,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,页数
1,《One Voice》,SONY MUSIC,2008-11-24,天籁童声,人声,Imagine,Andrew Johnston,http://musicdata.baidu.com/data2/lrc/12596474/12596474.lrc,1
1,《One Voice》,SONY MUSIC,2008-11-24,天籁童声,人声,Make Me A Channel Of Your Peace,Andrew Johnston,http://musicdata.baidu.com/data2/lrc/116544698/116544698.lrc,1
1,《Songs Kids Really Love To Sing: 17 Playtime Songs》,EMI,2011-08-23,天籁童声,人声,Do Your Ears Hang Low?,Kids Choir,http://musicdata.baidu.com/data2/lrc/114596364/114596364.lrc,1
1,《Songs Kids Really Love To Sing: 17 Playtime Songs》,EMI,2011-08-23,天籁童声,人声,Shoo Fly Don'T Bother Me,Kids Choir,http://musicdata.baidu.com/data2/lrc/114596364/114596364.lrc,1
1,《Songs Kids Really Love To Sing: 17 Playtime Songs》,EMI,2011-08-23,天籁童声,人声,The More We Get Together,Kids Choir,http://musicdata.baidu.com/data2/lrc/12539529/12539529.lrc,1
1,《Songs Kids Really Love To Sing: 17 Playtime Songs》,EMI,2011-08-23,天籁童声,人声,Brush Your Teeth,Kids Choir,http://musicdata.baidu.com/data2/lrc/114661148/114661148.lrc,1
1,《Songs Kids Really Love To Sing: 17 Playtime Songs》,EMI,2011-08-23,天籁童声,人声,Ring Around The Rosy,Kids Choir,http://musicdata.baidu.com/data2/lrc/114827564/114827564.lrc,1
1,《Songs Kids Really Love To Sing: 17 Playtime Songs》,EMI,2011-08-23,天籁童声,人声,"It'S Raining, It'S Pouring",Kids Choir,http://musicdata.baidu.com/data2/lrc/114827564/114827564.lrc,1
1,《Songs Kids Really Love To Sing: 17 Playtime Songs》,EMI,2011-08-23,天籁童声,人声,This Old Man,Kids Choir,http://musicdata.baidu.com/data2/lrc/12539528/12539528.lrc,1
1,《Songs Kids Really Love To Sing: 17 Playtime Songs》,EMI,2011-08-23,天籁童声,人声,Itsy Bitsy Spider,Kids Choir,http://musicdata.baidu.com/data2/lrc/12539527/12539527.lrc,1
1,《Songs Kids Really Love To Sing: 17 Playtime Songs》,EMI,2011-08-23,天籁童声,人声,The Wheels On The Bus,Kids Choir,http://musicdata.baidu.com/data2/lrc/114878969/114878969.lrc,1
1,《Songs Kids Really Love To Sing: 17 Playtime Songs》,EMI,2011-08-23,天籁童声,人声,Are You Sleeping?,Kids Choir,http://musicdata.baidu.com/data2/lrc/12539526/12539526.lrc,1
1,《Songs Kids Really Love To Sing: 17 Playtime Songs》,EMI,2011-08-23,天籁童声,人声,The Alphabet Song,Kids Choir,http://musicdata.baidu.com/data2/lrc/12539525/12539525.lrc,1
1,《Songs Kids Really Love To Sing: 17 Playtime Songs》,EMI,2011-08-23,天籁童声,人声,Hokey Pokey,Kids Choir,http://musicdata.baidu.com/data2/lrc/114886488/114886488.lrc,1
1,《Songs Kids Really Love To Sing: 17 Playtime Songs》,EMI,2011-08-23,天籁童声,人声,Bingo,Kids Choir,http://musicdata.baidu.com/data2/lrc/12539524/12539524.lrc,1
1,《Songs Kids Really Love To Sing: 17 Playtime Songs》,EMI,2011-08-23,天籁童声,人声,Six Little Ducks,Kids Choir,http://musicdata.baidu.com/data2/lrc/118200484/118200484.lrc,1
