,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,页数
1,《16未成年》,海蝶音乐,2008-07-23,小鲜肉,人声,爱丫爱丫,By2,http://musicdata.baidu.com/data2/lrc/131700911/131700911.lrc,1
1,《16未成年》,海蝶音乐,2008-07-23,小鲜肉,人声,买买买,By2,http://musicdata.baidu.com/data2/lrc/131700976/131700976.lrc,1
1,"《那些年,我们一起追的女孩 电影原声带》",SONY MUSIC,2011-08-08,小鲜肉,人声,那些年,胡夏,http://musicdata.baidu.com/data2/lrc/246661478/246661478.lrc,1
1,《那首歌》,SONY MUSIC,2010-10-29,小鲜肉,人声,忘记要忘记,李易峰,http://musicdata.baidu.com/data2/lrc/131703837/131703837.lrc,1
1,《90'闹NOW》,海蝶音乐,2011-09-30,小鲜肉,人声,红蜻蜓,By2,http://musicdata.baidu.com/data2/lrc/131700853/131700853.lrc,1
1,《成人礼》,海蝶音乐,2010-04-09,小鲜肉,人声,凑热闹,"By2,林俊杰",http://musicdata.baidu.com/data2/lrc/131700995/131700995.lrc,1
1,《成人礼》,海蝶音乐,2010-04-09,小鲜肉,人声,爱的双重魔力,By2,http://musicdata.baidu.com/data2/lrc/131700952/131700952.lrc,1
1,《First Love》,YG Entertainment,2013-03-28,小鲜肉,人声,我很奇怪 (내가 이상해),李夏怡,http://musicdata.baidu.com/data2/lrc/131700707/131700707.lrc,1
1,《First Love》,YG Entertainment,2013-03-28,小鲜肉,人声,傻瓜 (바보),李夏怡,http://musicdata.baidu.com/data2/lrc/131700694/131700694.lrc,1
1,《First Love》,YG Entertainment,2013-03-28,小鲜肉,人声,Rose,李夏怡,http://musicdata.baidu.com/data2/lrc/131700643/131700643.lrc,1
1,《First Love》,YG Entertainment,2013-03-28,小鲜肉,人声,It’s Over,李夏怡,http://musicdata.baidu.com/data2/lrc/131700660/131700660.lrc,1
1,"《1,2,3,4》",YG Entertainment,2012-10-29,小鲜肉,人声,"1,2,3,4",李夏怡,http://musicdata.baidu.com/data2/lrc/131700589/131700589.lrc,1
1,《Xposed(曝光)》,蜂鸟音乐,2012-07-05,小鲜肉,人声,泡沫,G.E.M.邓紫棋,http://musicdata.baidu.com/data2/lrc/bb25adf509e163fd356ebe8aace4fe57/261499830/261499830.lrc,1
1,《信仰之名》,时代峰峻,2014-10-27,小鲜肉,人声,信仰之名,TFBOYS,http://musicdata.baidu.com/data2/lrc/131701390/131701390.lrc,1
1,《快乐环岛》,时代峰峻,2014-10-10,小鲜肉,人声,快乐环岛,TFBOYS,http://musicdata.baidu.com/data2/lrc/131701378/131701378.lrc,1
1,《幸运符号》,时代峰峻,2014-09-12,小鲜肉,人声,幸运符号,TFBOYS,http://musicdata.baidu.com/data2/lrc/131701423/131701423.lrc,1
1,《温柔心愿》,SONY MUSIC,2014-08-25,小鲜肉,人声,温柔心愿,李易峰,http://musicdata.baidu.com/data2/lrc/131703931/131703931.lrc,1
1,《喜欢你》,蜂鸟音乐,2014-08-15,小鲜肉,人声,喜欢你,G.E.M.邓紫棋,http://musicdata.baidu.com/data2/lrc/7cb2aec62414a4788459c767c8f2e396/544037330/544037330.lrc,1
1,《记得我爱你》,SONY MUSIC,2014-08-19,小鲜肉,人声,记得我爱你,李易峰,http://musicdata.baidu.com/data2/lrc/131703815/131703815.lrc,1
1,《2014 S/S》,SONY MUSIC,2014-08-12,小鲜肉,人声,Different,WINNER,http://musicdata.baidu.com/data2/lrc/131701768/131701768.lrc,1
2,《2014 S/S》,SONY MUSIC,2014-08-12,小鲜肉,人声,척 (Love Is A Lie),WINNER,http://musicdata.baidu.com/data2/lrc/131701824/131701824.lrc,2
2,《2014 S/S》,SONY MUSIC,2014-08-12,小鲜肉,人声,끼부리지마 (Don’t flirt),WINNER,http://musicdata.baidu.com/data2/lrc/131701719/131701719.lrc,2
2,《2014 S/S》,SONY MUSIC,2014-08-12,小鲜肉,人声,空虚 (Empty),WINNER,http://musicdata.baidu.com/data2/lrc/131701702/131701702.lrc,2
2,《青春修炼手册》,时代峰峻,2014-11-17,小鲜肉,人声,青春修炼手册,TFBOYS,http://musicdata.baidu.com/data2/lrc/131701407/131701407.lrc,2
2,《后会无期》,劳雷影业,2014-07-11,小鲜肉,人声,后会无期,G.E.M.邓紫棋,http://musicdata.baidu.com/data2/lrc/131701095/131701095.lrc,2
2,《Beautiful Light》,恒大音乐,2014-03-07,小鲜肉,人声,Beautiful Light,欧豪,http://musicdata.baidu.com/data2/lrc/131703561/131703561.lrc,2
2,《放下》,光线传媒,2013-11-08,小鲜肉,人声,放下,胡夏,http://musicdata.baidu.com/data2/lrc/131703494/131703494.lrc,2
