,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,页数
1,《Cieli Di Toscana》,环球唱片,2001-10-15,男高音,人声,Melodramma,Andrea Bocelli,http://musicdata.baidu.com/data2/lrc/14896785/14896785.lrc,1
1,《西域情歌》,龙乐文化,2014-07-14,男高音,人声,都达尔和玛丽亚,阎维文,http://musicdata.baidu.com/data2/lrc/20661749/20661749.lrc,1
1,《中国民歌》,中国唱片广州公司,1990-01-01,男高音,人声,红星照我去战斗,阎维文,http://musicdata.baidu.com/data2/lrc/31529397/31529397.lrc,1
1,男高音,中国唱片广州公司,1990-01-01,男高音,人声,边关雪,阎维文,http://musicdata.baidu.com/data2/lrc/c20bc63f1bb919075245d7e67f9a57bc/283165614/283165614.lrc,1
1,《Amore》,环球唱片,2015-02-09,男高音,人声,Solamente Una Vez,Andrea Bocelli,http://musicdata.baidu.com/data2/lrc/12474986/12474986.lrc,1
1,《Amore》,环球唱片,2015-02-09,男高音,人声,Amapola,Andrea Bocelli,http://musicdata.baidu.com/data2/lrc/1265711/1265711.lrc,1
1,《赞歌》,环球唱片,1999-01-01,男高音,人声,高唱酒歌,胡松华,http://musicdata.baidu.com/data2/lrc/6e60dfa52bd261f3830a5e157f33b1dc/288821140/288821140.lrc,1
1,《喀什葛尔女郎》,杰胜唱片,2005-08-01,男高音,人声,山丹丹开花红艳艳,戴玉强,http://musicdata.baidu.com/data2/lrc/2053219/2053219.lrc,1
1,《我相信》,环球唱片,2010-02-02,男高音,人声,我们都辜负了爱,张靓颖,http://musicdata.baidu.com/data2/lrc/7363554/7363554.lrc,1
1,《我相信》,环球唱片,2010-02-02,男高音,人声,如果这就是爱情,张靓颖,http://musicdata.baidu.com/data2/lrc/80308f5bb8fba7249da0958a237ad198/265032102/265032102.lrc,1
1,《我相信》,环球唱片,2010-02-02,男高音,人声,我相信,张靓颖,http://musicdata.baidu.com/data2/lrc/13803348/13803348.lrc,1
1,《我相信》,环球唱片,2010-02-02,男高音,人声,需要你,张靓颖,http://musicdata.baidu.com/data2/lrc/363733/363733.lrc,1
1,《我相信》,环球唱片,2010-02-02,男高音,人声,快活,张靓颖,http://musicdata.baidu.com/data2/lrc/363643/363643.lrc,1
1,《我相信》,环球唱片,2010-02-02,男高音,人声,I Do,张靓颖,http://musicdata.baidu.com/data2/lrc/363574/363574.lrc,1
1,《我相信》,环球唱片,2010-02-02,男高音,人声,就这样好了,张靓颖,http://musicdata.baidu.com/data2/lrc/363570/363570.lrc,1
1,《我相信》,环球唱片,2010-02-02,男高音,人声,热,张靓颖,http://musicdata.baidu.com/data2/lrc/363554/363554.lrc,1
1,《Amore》,环球唱片,2015-02-09,男高音,人声,Cuando Me Enamoro,Andrea Bocelli,http://musicdata.baidu.com/data2/lrc/12466760/12466760.lrc,1
1,《Amore》,环球唱片,2015-02-09,男高音,人声,Because We Believe,Andrea Bocelli,http://musicdata.baidu.com/data2/lrc/1236928/1236928.lrc,1
1,《Amore》,环球唱片,2015-02-09,男高音,人声,Bésame Mucho,Andrea Bocelli,http://musicdata.baidu.com/data2/lrc/241627124/241627124.lrc,1
1,《西域情歌》,龙乐文化,2014-07-14,男高音,人声,美丽的姑娘,阎维文,http://musicdata.baidu.com/data2/lrc/23178523/23178523.lrc,1
2,《Sogno》,环球唱片,1999-03-22,男高音,人声,Come Un Fiume Tu,Andrea Bocelli,http://musicdata.baidu.com/data2/lrc/23178523/23178523.lrc,2
2,《Sogno》,环球唱片,1999-03-22,男高音,人声,Un Canto,Andrea Bocelli,http://musicdata.baidu.com/data2/lrc/23178523/23178523.lrc,2
2,《Sogno》,环球唱片,1999-03-22,男高音,人声,I Love Rossini,Andrea Bocelli,http://musicdata.baidu.com/data2/lrc/23178523/23178523.lrc,2
2,《Sogno》,环球唱片,1999-03-22,男高音,人声,Cantico,Andrea Bocelli,http://musicdata.baidu.com/data2/lrc/7697197/7697197.lrc,2
2,《Sogno》,环球唱片,1999-03-22,男高音,人声,A Volte Il Cuore,Andrea Bocelli,http://musicdata.baidu.com/data2/lrc/7697197/7697197.lrc,2
2,《母亲》,龙乐唱片,2004-10-09,男高音,人声,举杯吧朋友,阎维文,http://musicdata.baidu.com/data2/lrc/efc8659d5c4c89ebe425877fc7def0fc/285287494/285287494.lrc,2
2,《西域情歌》,龙乐文化,2014-07-14,男高音,人声,我的花儿,阎维文,http://musicdata.baidu.com/data2/lrc/2120465/2120465.lrc,2
2,《Amor (Spanish Retail)》,龙乐文化,未知,男高音,人声,Amapola,Andrea Bocelli,http://musicdata.baidu.com/data2/lrc/2143734/2143734.lrc,2
2,《铁了心》,滚石唱片,2000-03-01,男高音,人声,铁了心,尹子维,http://musicdata.baidu.com/data2/lrc/754744/754744.lrc,2
