,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《意外》,海蝶音乐,2013-11-11,午后,场景,你还要我怎样,薛之谦,,http://musicdata.baidu.com/data2/lrc/238665983/238665983.lrc,1
1,《安和桥北》,摩登天空,2013-08-26,午后,场景,安和桥,宋冬野,,http://musicdata.baidu.com/data2/lrc/241648644/241648644.lrc,1
1,《恋恋风尘》,太合麦田,1995-05-01,午后,场景,恋恋风尘,老狼,,http://musicdata.baidu.com/data2/lrc/239133165/239133165.lrc,1
1,《赤裸裸》,红星生产社,1994-06-01,午后,场景,灰姑娘,郑钧,,http://musicdata.baidu.com/data2/lrc/3609d0f547142304a8513a8a05287bc1/544125567/544125567.lrc,1
1,《那一年》,太合麦田,2000-12-01,午后,场景,故乡,许巍,,http://musicdata.baidu.com/data2/lrc/5760422523243d26019508f3e1d8221d/544622314/544622314.lrc,1
1,《似水流年》,泰达唱片,2003-09-01,午后,场景,传奇,李健,,http://musicdata.baidu.com/data2/lrc/239724694/239724694.lrc,1
1,《匆匆那年》,陈家瑛,2014-11-05,午后,场景,匆匆那年,王菲,,http://musicdata.baidu.com/data2/lrc/128947919/128947919.lrc,1
1,《敲敲我的头》,BMG,1998-08-01,午后,场景,相见恨晚,彭佳慧,,http://musicdata.baidu.com/data2/lrc/13765546/13765546.lrc,1
1,《绝对收藏》,SONY MUSIC,2008-07-24,午后,场景,离人,林志炫,,http://musicdata.baidu.com/data2/lrc/240464942/240464942.lrc,1
1,《如果没有你》,SONY MUSIC,2006-04-06,午后,场景,如果没有你,莫文蔚,,http://musicdata.baidu.com/data2/lrc/13758557/13758557.lrc,1
1,《时间煮雨》,天娱,2013-05-28,午后,场景,时间煮雨,郁可唯,,http://musicdata.baidu.com/data2/lrc/245893864/245893864.lrc,1
1,《Surfacing》,Arista,1997-09-01,午后,场景,Angel,Sarah McLachlan,,http://musicdata.baidu.com/data2/lrc/241735922/241735922.lrc,1
1,《永远的未央歌 齐豫 橄榄树》,滚石唱片,2006-03-09,午后,场景,橄榄树,齐豫,,http://musicdata.baidu.com/data2/lrc/13775176/13775176.lrc,1
1,《King Of Pop》,SONY MUSIC,2008-09-29,午后,场景,Heal The World,Michael Jackson,,http://musicdata.baidu.com/data2/lrc/241738373/241738373.lrc,1
1,《越长大越孤单》,摩登天空,2008-03-18,午后,场景,蝶恋花,牛奶咖啡,,http://musicdata.baidu.com/data2/lrc/31555028/31555028.lrc,1
1,《安和桥北》,摩登天空,2013-08-26,午后,场景,董小姐,宋冬野,,http://musicdata.baidu.com/data2/lrc/71267408/71267408.lrc,1
1,《Love and the C'ity》,滚石唱片,2002-06-21,午后,场景,一辈子的孤单,刘若英,,http://musicdata.baidu.com/data2/lrc/239708505/239708505.lrc,1
1,《她说 概念自选辑》,海蝶音乐,2010-12-08,午后,场景,她说,林俊杰,,http://musicdata.baidu.com/data2/lrc/241209508/241209508.lrc,1
