,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《A Little Love》,SONY MUSIC,2008-05-26,咖啡厅,场景,A Little Love,冯曦妤,,http://musicdata.baidu.com/data2/lrc/240464250/240464250.lrc,1
1,《七》,英皇唱片,2003-11-18,咖啡厅,场景,全世界失眠,陈奕迅,,http://musicdata.baidu.com/data2/lrc/13908912/13908912.lrc,1
1,《在哪里》,英皇唱片,2011-01-23,咖啡厅,场景,香格里拉,魏如萱,,http://musicdata.baidu.com/data2/lrc/13768931/13768931.lrc,1
1,《What'S Going On...?》,环球唱片,2006-11-23,咖啡厅,场景,不如不见,陈奕迅,,http://musicdata.baidu.com/data2/lrc/13798953/13798953.lrc,1
1,《The Best Live Concert Vol 1》,环球唱片,2008-04-30,咖啡厅,场景,Hello Dolly,Louis Armstrong,,http://musicdata.baidu.com/data2/lrc/14892719/14892719.lrc,1
1,《Memory Loves You》,SONY MUSIC,2007-02-06,咖啡厅,场景,How Different,Sophie Zelmani,,http://musicdata.baidu.com/data2/lrc/239721579/239721579.lrc,1
1,"《Columbia Records Radio Hour, Vol. 1》",SONY MUSIC,1995-03-06,咖啡厅,场景,I'M Your Man,Leonard Cohen,,http://musicdata.baidu.com/data2/lrc/12599581/12599581.lrc,1
1,"《Jazz In Paris - Rive Gauche, Rive Droite》",环球唱片,2006-02-02,咖啡厅,场景,Hello Dolly,Louis Armstrong,,http://musicdata.baidu.com/data2/lrc/64944587/64944587.lrc,1
1,《The Essential Leonard Cohen 3.0》,SONY MUSIC,2010-07-26,咖啡厅,场景,I'M Your Man,Leonard Cohen,,http://musicdata.baidu.com/data2/lrc/12737020/12737020.lrc,1
1,《Start From Here》,SONY MUSIC,2008-05-06,咖啡厅,场景,迷宫,王若琳,,http://musicdata.baidu.com/data2/lrc/4d0673ee7b7028523b8b5962722bcb87/267873294/267873294.lrc,1
1,《越长大越孤单》,摩登天空,2008-03-18,咖啡厅,场景,快乐星猫,牛奶咖啡,,http://musicdata.baidu.com/data2/lrc/14887333/14887333.lrc,1
1,《越长大越孤单》,摩登天空,2008-03-18,咖啡厅,场景,爱的旋律,牛奶咖啡,,http://musicdata.baidu.com/data2/lrc/12440475/12440475.lrc,1
1,《越长大越孤单》,摩登天空,2008-03-18,咖啡厅,场景,蝶恋花,牛奶咖啡,,http://musicdata.baidu.com/data2/lrc/31555028/31555028.lrc,1
1,《越长大越孤单》,摩登天空,2008-03-18,咖啡厅,场景,完美生活,牛奶咖啡,,http://musicdata.baidu.com/data2/lrc/14919912/14919912.lrc,1
1,《越长大越孤单》,摩登天空,2008-03-18,咖啡厅,场景,小丑,牛奶咖啡,,http://musicdata.baidu.com/data2/lrc/66618160/66618160.lrc,1
1,《黑暗之光》,SONY MUSIC,2006-11-30,咖啡厅,场景,黑暗之光,雷光夏,,http://musicdata.baidu.com/data2/lrc/240800337/240800337.lrc,1
1,《情歌没有告诉你》,环球唱片,2010-12-24,咖啡厅,场景,情歌没有告诉你,梁静茹,,http://musicdata.baidu.com/data2/lrc/241599835/241599835.lrc,1
1,《The Things We Do For Love》,SONY MUSIC,2011-09-24,咖啡厅,场景,亲密爱人,王若琳,,http://musicdata.baidu.com/data2/lrc/239127611/239127611.lrc,1
1,《Start From Here》,SONY MUSIC,2008-05-06,咖啡厅,场景,因为你爱我,王若琳,,http://musicdata.baidu.com/data2/lrc/240464719/240464719.lrc,1
1,《Start From Here》,SONY MUSIC,2008-05-06,咖啡厅,场景,Now,王若琳,,http://musicdata.baidu.com/data2/lrc/241645707/241645707.lrc,1
2,《Start From Here》,SONY MUSIC,2008-05-06,咖啡厅,场景,Bada Bada,王若琳,,http://musicdata.baidu.com/data2/lrc/241645743/241645743.lrc,2
2,《Start From Here》,SONY MUSIC,2008-05-06,咖啡厅,场景,New York State Of Mind,王若琳,,http://musicdata.baidu.com/data2/lrc/13909326/13909326.lrc,2
2,《Start From Here》,SONY MUSIC,2008-05-06,咖啡厅,场景,Stages Of Flying,王若琳,,http://musicdata.baidu.com/data2/lrc/13909331/13909331.lrc,2
2,《Start From Here》,SONY MUSIC,2008-05-06,咖啡厅,场景,True,王若琳,,http://musicdata.baidu.com/data2/lrc/13909319/13909319.lrc,2
2,《Start From Here》,SONY MUSIC,2008-05-06,咖啡厅,场景,As Love Begins To Mend,王若琳,,http://musicdata.baidu.com/data2/lrc/13909276/13909276.lrc,2
2,《The Girl In The Other Room》,环球唱片,2004-04-12,咖啡厅,场景,Temptation,Diana Krall,,http://musicdata.baidu.com/data2/lrc/12478968/12478968.lrc,2
2,《The Girl In The Other Room》,环球唱片,2004-04-12,咖啡厅,场景,Narrow Daylight,Diana Krall,,http://musicdata.baidu.com/data2/lrc/2161984/2161984.lrc,2
2,《锦衣卫》,环球唱片,2010-02-01,咖啡厅,场景,锦衣卫,萨顶顶,,http://musicdata.baidu.com/data2/lrc/13830962/13830962.lrc,2
2,《美丽境界》,力行网际,2010-07-24,咖啡厅,场景,张三的歌,齐秦,,http://musicdata.baidu.com/data2/lrc/13798625/13798625.lrc,2
2,《As A Sa》,英皇唱片,2010-06-15,咖啡厅,场景,往事并不如烟,蔡卓妍,,http://musicdata.baidu.com/data2/lrc/15265544/15265544.lrc,2
2,《Darling 》,福茂唱片,2005-07-16,咖啡厅,场景,蓝旗袍,范晓萱,,http://musicdata.baidu.com/data2/lrc/12477774/12477774.lrc,2
2,《Grown & Sexy》,SONY MUSIC,2005-10-06,咖啡厅,场景,The Loneliness,Babyface,,http://musicdata.baidu.com/data2/lrc/13986436/13986436.lrc,2
2,《为你而来》,乐扑盛世,2005-01-01,咖啡厅,场景,父亲,李健,,http://musicdata.baidu.com/data2/lrc/13914101/13914101.lrc,2
2,《似水流年》,泰达唱片,2003-09-01,咖啡厅,场景,远,李健,,http://musicdata.baidu.com/data2/lrc/13885862/13885862.lrc,2
2,《为你而来》,乐扑盛世,2005-01-01,咖啡厅,场景,为你而来,李健,,http://musicdata.baidu.com/data2/lrc/13890750/13890750.lrc,2
2,《给你点儿颜色》,华谊兄弟,2010-09-28,咖啡厅,场景,早上好,牛奶咖啡,,http://musicdata.baidu.com/data2/lrc/14970944/14970944.lrc,2
2,《似水流年》,泰达唱片,2003-09-01,咖啡厅,场景,八月照相馆,李健,,http://musicdata.baidu.com/data2/lrc/248364/248364.lrc,2
2,《似水流年》,泰达唱片,2003-09-01,咖啡厅,场景,温暖,李健,,http://musicdata.baidu.com/data2/lrc/225934/225934.lrc,2
2,《想念你》,无线星空,2007-04-01,咖啡厅,场景,童年,李健,,http://musicdata.baidu.com/data2/lrc/14905652/14905652.lrc,2
2,《想念你》,无线星空,2007-04-01,咖啡厅,场景,想念你,李健,,http://musicdata.baidu.com/data2/lrc/2076483/2076483.lrc,2
3,《为你而来》,乐扑盛世,2005-01-01,咖啡厅,场景,向往,李健,,http://musicdata.baidu.com/data2/lrc/13765460/13765460.lrc,3
3,《想念你》,无线星空,2007-04-01,咖啡厅,场景,松花江,李健,,http://musicdata.baidu.com/data2/lrc/1786079/1786079.lrc,3
3,《想念你》,无线星空,2007-04-01,咖啡厅,场景,异乡人,李健,,http://musicdata.baidu.com/data2/lrc/14874257/14874257.lrc,3
3,《想念你》,无线星空,2007-04-01,咖啡厅,场景,天狐,李健,,http://musicdata.baidu.com/data2/lrc/1352646/1352646.lrc,3
3,《想念你》,无线星空,2007-04-01,咖啡厅,场景,抚仙湖,李健,,http://musicdata.baidu.com/data2/lrc/14872959/14872959.lrc,3
3,《左手》,滚石唱片,1997-07-01,咖啡厅,场景,左手,万芳,,http://musicdata.baidu.com/data2/lrc/594699/594699.lrc,3
3,《收信快乐》,滚石唱片,1992-05-22,咖啡厅,场景,收信快乐,万芳,,http://musicdata.baidu.com/data2/lrc/2110039/2110039.lrc,3
