,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《Sugar Sugar》,SONY MUSIC,2011-08-15,婚礼,场景,Sugar Baby Love,The Rubettes,,http://musicdata.baidu.com/data2/lrc/9139389/9139389.lrc,1
1,《Collections》,SONY MUSIC,2009-09-07,婚礼,场景,I Drove All Night,Cyndi Lauper,,http://musicdata.baidu.com/data2/lrc/12602127/12602127.lrc,1
1,《A Night To Remember》,SONY MUSIC,1993-07-14,婚礼,场景,I Drove All Night,Cyndi Lauper,,http://musicdata.baidu.com/data2/lrc/12598579/12598579.lrc,1
1,《Twelve Deadly Cyns...And Then Some》,SONY MUSIC,1994-07-19,婚礼,场景,I Drove All Night,Cyndi Lauper,,http://musicdata.baidu.com/data2/lrc/12597804/12597804.lrc,1
1,《The Very Best Of》,环球唱片,2008-05-19,婚礼,场景,Sugar Baby Love,The Rubettes,,http://musicdata.baidu.com/data2/lrc/8592688/8592688.lrc,1
1,《Lay It Down》,环球唱片,1996-02-26,婚礼,场景,Angel Mine,Cowboy Junkies,,http://musicdata.baidu.com/data2/lrc/8560744/8560744.lrc,1
1,《The Best Of》,环球唱片,1990-10-01,婚礼,场景,Sugar Baby Love,The Rubettes,,http://musicdata.baidu.com/data2/lrc/8560702/8560702.lrc,1
1,《Two Steps From The Move》,SONY MUSIC,1993-07-16,婚礼,场景,Don'T You Ever Leave Me,Hanoi Rocks,,http://musicdata.baidu.com/data2/lrc/68321994/68321994.lrc,1
1,《These Are The Days》,环球唱片,2008-04-22,婚礼,场景,I Just Wanna Stop,Gino Vannelli,,http://musicdata.baidu.com/data2/lrc/8190932/8190932.lrc,1
1,《Playlist: The Very Best Of Cyndi Lauper》,SONY MUSIC,2009-04-13,婚礼,场景,I Drove All Night,Cyndi Lauper,,http://musicdata.baidu.com/data2/lrc/12533682/12533682.lrc,1
1,《True 70S Love》,环球唱片,2008-04-29,婚礼,场景,Sugar Baby Love,The Rubettes,,http://musicdata.baidu.com/data2/lrc/7585704/7585704.lrc,1
1,《Up Around The Bend: The Definitive Collection》,环球唱片,2011-03-07,婚礼,场景,Don'T You Ever Leave Me,Hanoi Rocks,,http://musicdata.baidu.com/data2/lrc/68319792/68319792.lrc,1
1,《Psychotic Supper》,环球唱片,2012-07-04,婚礼,场景,What You Give,Tesla,,http://musicdata.baidu.com/data2/lrc/65038024/65038024.lrc,1
1,《Love Rocks》,SONY MUSIC,2012-01-16,婚礼,场景,I Drove All Night,Cyndi Lauper,,http://musicdata.baidu.com/data2/lrc/13713270/13713270.lrc,1
1,《Love Rocks》,SONY MUSIC,2012-01-16,婚礼,场景,Don'T You Ever Leave Me,Hanoi Rocks,,http://musicdata.baidu.com/data2/lrc/68313839/68313839.lrc,1
1,《Pure... Drive》,SONY MUSIC,2011-10-10,婚礼,场景,I Drove All Night,Cyndi Lauper,,http://musicdata.baidu.com/data2/lrc/12633430/12633430.lrc,1
1,《A Little Love》,SONY MUSIC,2008-05-26,婚礼,场景,A Little Love,冯曦妤,,http://musicdata.baidu.com/data2/lrc/240464250/240464250.lrc,1
