,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《不要告诉妈妈》,海蝶音乐,2011-06-27,广场舞,场景,摇摆哥,王绎龙,,http://musicdata.baidu.com/data2/lrc/13905990/13905990.lrc,1
1,《电音之王》,海蝶音乐,2011-01-07,广场舞,场景,摇摆哥,王绎龙,,http://musicdata.baidu.com/data2/lrc/13824770/13824770.lrc,1
1,《最爱的主打歌no.10》,海蝶音乐,2010-07-06,广场舞,场景,爱情买卖,慕容晓晓,,http://musicdata.baidu.com/data2/lrc/241609318/241609318.lrc,1
1,《等你等了那么久》,北京乐享天承文化传媒有限公司,2013-04-01,广场舞,场景,爱的世界只有你,祁隆,,http://musicdata.baidu.com/data2/lrc/65457031/65457031.lrc,1
1,《等你等了那么久》,北京乐享天承文化传媒有限公司,2013-04-01,广场舞,场景,又见山里红,祁隆,,http://musicdata.baidu.com/data2/lrc/65457021/65457021.lrc,1
1,《云上西藏》,新京文,2012-07-20,广场舞,场景,格桑拉,白玛多吉,,http://musicdata.baidu.com/data2/lrc/65451829/65451829.lrc,1
1,国语流行,新京文,2012-07-20,广场舞,场景,借点情借点爱,曹越,,http://musicdata.baidu.com/data2/lrc/44743630/44743630.lrc,1
1,《柔情蜜语》,新京文,2012-07-20,广场舞,场景,哑巴新娘,刘紫玲,,http://musicdata.baidu.com/data2/lrc/424083/424083.lrc,1
1,《爱情伤了你爱情害了我》,新京文,2013-02-15,广场舞,场景,好了伤疤忘了疼,大庆小芳,,http://musicdata.baidu.com/data2/lrc/246650353/246650353.lrc,1
1,《爱的世界只有你》,北京乐享天承文化传媒有限公司,2013-04-02,广场舞,场景,又见山里红,祁隆,,http://musicdata.baidu.com/data2/lrc/945977d2b1a646f5d7a970fbc519c5c2/262880439/262880439.lrc,1
1,《醉美草原》,北京乐享天承文化传媒有限公司,2012-12-07,广场舞,场景,套马杆,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/14ae085443334491cc93fefa3b49e16d/257162320/257162320.lrc,1
1,《爱的世界只有你》,北京乐享天承文化传媒有限公司,2013-04-02,广场舞,场景,爱的世界只有你,"祁隆,乐凡",,http://musicdata.baidu.com/data2/lrc/246649661/246649661.lrc,1
1,《再唱为了谁》,新时代影音,2009-03-10,广场舞,场景,好运来,祖海,,http://musicdata.baidu.com/data2/lrc/34125308/34125308.lrc,1
1,《一生相守》,千源影视,2016-11-30,广场舞,场景,我们做夫妻,"陈娇,陈咏",,http://musicdata.baidu.com/data2/lrc/b1b4a41f107799a4bec426c73773a850/300828240/300828240.lrc,1
1,《一生相守》,千源影视,2016-11-30,广场舞,场景,欢乐颂,"陈娇,陈咏",,http://musicdata.baidu.com/data2/lrc/1bda0dadb8b0f3a90fc381d8424ee3cc/294564605/294564605.lrc,1
1,《一生相守》,千源影视,2016-11-30,广场舞,场景,新郎新娘,"陈娇,陈咏",,http://musicdata.baidu.com/data2/lrc/74b654c541e0c513e57983a397fdc670/294563061/294563061.lrc,1
1,《一生相守》,千源影视,2016-11-30,广场舞,场景,一生相守,陈咏,,http://musicdata.baidu.com/data2/lrc/b3fffdd9d5a1112788abe431223559a4/289202969/289202969.lrc,1
1,《一万个对不起》,启韵传媒,2013-09-20,广场舞,场景,等你等了那么久,"祁隆,乐凡",,http://musicdata.baidu.com/data2/lrc/14958091/14958091.lrc,1
1,《唱着情歌流着泪》,启韵传媒,2012-02-28,广场舞,场景,等你等了那么久,祁隆,,http://musicdata.baidu.com/data2/lrc/246920777/246920777.lrc,1
1,《金色的草原》,启韵传媒,2012-02-14,广场舞,场景,高原蓝,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/13913697/13913697.lrc,1
2,《金色的草原》,启韵传媒,2012-02-14,广场舞,场景,套马杆,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/13894333/13894333.lrc,2
2,《西门庆的眼泪》,亚迪之声,2012-01-04,广场舞,场景,西门庆的眼泪,杨青,,http://musicdata.baidu.com/data2/lrc/13890282/13890282.lrc,2
2,《漂亮的姑娘》,杜歌文化,2015-05-05,广场舞,场景,漂亮的姑娘,任飞扬,,http://musicdata.baidu.com/data2/lrc/241614192/241614192.lrc,2
