,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《走路去纽约》,海蝶音乐,2005-09-01,旅行,场景,走路去纽约,陶晶莹,,http://musicdata.baidu.com/data2/lrc/239129163/239129163.lrc,1
1,《黑暗之光》,SONY MUSIC,2006-11-30,旅行,场景,清晨旅行,雷光夏,,http://musicdata.baidu.com/data2/lrc/239130159/239130159.lrc,1
1,《Lenka》,SONY MUSIC,2008-09-23,旅行,场景,Trouble Is A Friend,Lenka,,http://musicdata.baidu.com/data2/lrc/240456121/240456121.lrc,1
1,《三十》,SONY MUSIC,2005-07-05,旅行,场景,哪一站,羽泉,,http://musicdata.baidu.com/data2/lrc/13859572/13859572.lrc,1
1,《南下专线》,滚石唱片,2010-04-30,旅行,场景,归来,纵贯线,,http://musicdata.baidu.com/data2/lrc/13916423/13916423.lrc,1
1,《魔杰座》,杰威尔JVR音乐有限公司,2008-10-15,旅行,场景,稻香,周杰伦,,http://musicdata.baidu.com/data2/lrc/13762398/13762398.lrc,1
1,《江南》,海蝶音乐,2004-06-04,旅行,场景,江南,林俊杰,,http://musicdata.baidu.com/data2/lrc/240152243/240152243.lrc,1
1,《寻雾启示》,海蝶音乐,2009-12-24,旅行,场景,单人旅途,许嵩,,http://musicdata.baidu.com/data2/lrc/13804375/13804375.lrc,1
1,《蓝色土耳其》,海蝶音乐,2007-10-24,旅行,场景,蓝色土耳其,周传雄,,http://musicdata.baidu.com/data2/lrc/13833420/13833420.lrc,1
1,《苏格拉没有底》,海蝶音乐,2011-04-01,旅行,场景,河山大好,许嵩,,http://musicdata.baidu.com/data2/lrc/13801632/13801632.lrc,1
1,《看我72变》,SONY MUSIC,2003-03-06,旅行,场景,布拉格广场,"蔡依林,周杰伦",,http://musicdata.baidu.com/data2/lrc/13777990/13777990.lrc,1
1,《真爱的旅行》,SONY MUSIC,2009-12-07,旅行,场景,兜兜风,林绫,,http://musicdata.baidu.com/data2/lrc/13916301/13916301.lrc,1
1,《2号餐》,阿尔发,2005-08-12,旅行,场景,牡丹江,南拳妈妈,,http://musicdata.baidu.com/data2/lrc/15265420/15265420.lrc,1
1,《为你而来》,乐扑盛世,2005-01-01,旅行,场景,向往,李健,,http://musicdata.baidu.com/data2/lrc/13765460/13765460.lrc,1
1,《想念你》,无线星空,2007-04-01,旅行,场景,风吹麦浪,李健,,http://musicdata.baidu.com/data2/lrc/bb39298607a3f90dd00037e44a7db55a/544621774/544621774.lrc,1
1,《寻雾启示》,海蝶音乐,2009-12-24,旅行,场景,在那不遥远的地方,许嵩,,http://musicdata.baidu.com/data2/lrc/13839009/13839009.lrc,1
1,《Over The Rainbow 》,福茂唱片,2004-01-06,旅行,场景,Journey,张韶涵,,http://musicdata.baidu.com/data2/lrc/13905435/13905435.lrc,1
1,《八度空间》,杰威尔JVR音乐有限公司,2002-07-18,旅行,场景,米兰的小铁匠,周杰伦,,http://musicdata.baidu.com/data2/lrc/13905269/13905269.lrc,1
1,《In Between Dreams》,环球唱片,2014-03-09,旅行,场景,Better Together,Jack Johnson,,http://musicdata.baidu.com/data2/lrc/241631958/241631958.lrc,1
1,《Lost & Found去寻找》,华谊兄弟,2011-07-19,旅行,场景,去寻找,牛奶咖啡,,http://musicdata.baidu.com/data2/lrc/13765289/13765289.lrc,1
2,《海洋》,海蝶音乐,2010-07-27,旅行,场景,海洋,陈建年,,http://musicdata.baidu.com/data2/lrc/1122574/1122574.lrc,2
2,《周杰伦》,杰威尔JVR音乐有限公司,2000-11-07,旅行,场景,伊斯坦堡,周杰伦,,http://musicdata.baidu.com/data2/lrc/13841989/13841989.lrc,2
2,《谜》,环球唱片,2006-10-06,旅行,场景,威尼斯迷路,许慧欣,,http://musicdata.baidu.com/data2/lrc/13905974/13905974.lrc,2
2,《城市》,SONY MUSIC,2009-05-18,旅行,场景,城市,张悬,,http://musicdata.baidu.com/data2/lrc/13905909/13905909.lrc,2
2,《此生最美的风景》,亚神音乐,2008-05-09,旅行,场景,你是此生最美的风景,JS,,http://musicdata.baidu.com/data2/lrc/240889775/240889775.lrc,2
2,《In Between Dreams》,环球唱片,2014-03-09,旅行,场景,Banana Pancakes,Jack Johnson,,http://musicdata.baidu.com/data2/lrc/241631884/241631884.lrc,2
2,《第5季》,福茂唱片,2009-09-25,旅行,场景,看得最远的地方,张韶涵,,http://musicdata.baidu.com/data2/lrc/f514f27a1af330ac3ea25343366f66ab/261808387/261808387.lrc,2
