,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《Hits!》,SONY MUSIC,2001-10-02,汽车,场景,Slow Hand,The Pointer Sisters,,http://musicdata.baidu.com/data2/lrc/12614995/12614995.lrc,1
1,《The Better Life - Deluxe Edition》,环球唱片,2008-05-13,汽车,场景,The Road I'M On,3 Doors Down,,http://musicdata.baidu.com/data2/lrc/12612956/12612956.lrc,1
1,《Collections》,SONY MUSIC,2007-10-11,汽车,场景,Slow Hand,The Pointer Sisters,,http://musicdata.baidu.com/data2/lrc/12611815/12611815.lrc,1
1,《The Best Of The Pointer Sisters》,SONY MUSIC,2000-05-30,汽车,场景,Slow Hand,The Pointer Sisters,,http://musicdata.baidu.com/data2/lrc/12609726/12609726.lrc,1
1,《铿锵玫瑰》,滚石唱片,1999-01-28,汽车,场景,飞翔,林忆莲,,http://musicdata.baidu.com/data2/lrc/14969473/14969473.lrc,1
1,《Jump: The Best Of》,滚石唱片,1999-01-28,汽车,场景,Slow Hand,The Pointer Sisters,,http://musicdata.baidu.com/data2/lrc/12607202/12607202.lrc,1
1,《Electric Ladyland》,SONY MUSIC,1968-01-01,汽车,场景,Crosstown Traffic,The Jimi Hendrix Experience,,http://musicdata.baidu.com/data2/lrc/12603124/12603124.lrc,1
1,《Songbook》,SONY MUSIC,2004-11-11,汽车,场景,Do Or Die,Super Furry Animals,,http://musicdata.baidu.com/data2/lrc/12595192/12595192.lrc,1
1,《Love Songs》,SONY MUSIC,2002-10-01,汽车,场景,Slow Hand,The Pointer Sisters,,http://musicdata.baidu.com/data2/lrc/12591217/12591217.lrc,1
1,《Pull The Pin》,环球唱片,2008-05-07,汽车,场景,Stone,Stereophonics,,http://musicdata.baidu.com/data2/lrc/8592418/8592418.lrc,1
1,《Pull The Pin》,环球唱片,2008-05-07,汽车,场景,Daisy Lane,Stereophonics,,http://musicdata.baidu.com/data2/lrc/8592417/8592417.lrc,1
1,《Gold Digger》,环球唱片,2005-10-10,汽车,场景,Gold Digger,Kanye West,,http://musicdata.baidu.com/data2/lrc/12585889/12585889.lrc,1
1,《Lines In My Face》,环球唱片,2009-07-14,汽车,场景,Time And Time Again,chronic future,,http://musicdata.baidu.com/data2/lrc/12581465/12581465.lrc,1
1,《不想放手》,环球唱片,2008-06-30,汽车,场景,路...一直都在,陈奕迅,,http://musicdata.baidu.com/data2/lrc/13776461/13776461.lrc,1
1,《Voodoo Child: The Jimi Hendrix Collection》,SONY MUSIC,2010-01-01,汽车,场景,Crosstown Traffic,Jimi Hendrix,,http://musicdata.baidu.com/data2/lrc/12577650/12577650.lrc,1
1,《Experience Hendrix: The Best Of Jimi Hendrix》,SONY MUSIC,2010-01-01,汽车,场景,Crosstown Traffic,Jimi Hendrix,,http://musicdata.baidu.com/data2/lrc/12577571/12577571.lrc,1
1,《Platinum & Gold Collection》,SONY MUSIC,2004-04-16,汽车,场景,Slow Hand,The Pointer Sisters,,http://musicdata.baidu.com/data2/lrc/12576076/12576076.lrc,1
1,《Marshmallow》,环球唱片,2008-04-18,汽车,场景,Scooter Girl,Marshmallow,,http://musicdata.baidu.com/data2/lrc/246654942/246654942.lrc,1
1,《冷酷到底》,滚石唱片,2000-09-01,汽车,场景,冷酷到底,羽泉,,http://musicdata.baidu.com/data2/lrc/240109941/240109941.lrc,1
