,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《2002钢琴恋曲Piano Hits》,环球唱片,2009-07-14,背景音乐,场景,昨迟人,纯音乐,,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288833878/288833878.lrc,1
1,《2002钢琴恋曲Piano Hits》,环球唱片,2009-07-14,背景音乐,场景,野孩子,纯音乐,,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288833878/288833878.lrc,1
1,《The Very Best Of Yanni》,SONY MUSIC,2000-10-10,背景音乐,场景,Santorini,Yanni,,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288833878/288833878.lrc,1
1,《In My Time》,SONY MUSIC,1993-04-06,背景音乐,场景,One Man'S Dream,Yanni,,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288833878/288833878.lrc,1
1,《Romantic Moments》,SONY MUSIC,1992-01-01,背景音乐,场景,Santorini,Yanni,,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288833878/288833878.lrc,1
1,《Ultimate Yanni》,SONY MUSIC,2003-01-21,背景音乐,场景,One Man's Dream,Yanni,,http://musicdata.baidu.com/data2/lrc/0726fdaa8e2fae8a7d8648afcff47e05/273865247/273865247.lrc,1
1,《White Stones》,Digital Distribution Estonia,2000-10-05,背景音乐,场景,Illumination,Secret Garden,,http://musicdata.baidu.com/data2/lrc/0726fdaa8e2fae8a7d8648afcff47e05/273865247/273865247.lrc,1
1,《White Stones》,Digital Distribution Estonia,2000-10-05,背景音乐,场景,Sanctuary,Secret Garden,,http://musicdata.baidu.com/data2/lrc/0726fdaa8e2fae8a7d8648afcff47e05/273865247/273865247.lrc,1
1,《White Stones》,Digital Distribution Estonia,2000-10-05,背景音乐,场景,Escape,Secret Garden,,http://musicdata.baidu.com/data2/lrc/0726fdaa8e2fae8a7d8648afcff47e05/273865247/273865247.lrc,1
1,《White Stones》,Digital Distribution Estonia,2000-10-05,背景音乐,场景,Appassionata,Secret Garden,,http://musicdata.baidu.com/data2/lrc/246979950/246979950.lrc,1
1,《White Stones》,Digital Distribution Estonia,2000-10-05,背景音乐,场景,Reflection,Secret Garden,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/8035126/8035126.lrc,1
1,《White Stones》,Digital Distribution Estonia,2000-10-05,背景音乐,场景,First Day Of Spring,Secret Garden,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/8035126/8035126.lrc,1
1,《Songs From A Secret Garden》,环球唱片,1998-10-26,背景音乐,场景,Song From A Secret Garden,Secret Garden,,http://musicdata.baidu.com/data2/lrc/a52c08cc8d39fce6a36bd6591aff27b5/262920816/262920816.lrc,1
1,《The Essential Yanni》,SONY MUSIC,2010-06-28,背景音乐,场景,Santorini,Yanni,,http://musicdata.baidu.com/data2/lrc/a52c08cc8d39fce6a36bd6591aff27b5/262920816/262920816.lrc,1
1,《流行恋曲钢琴集 Vol 1》,环球唱片,2009-07-14,背景音乐,场景,好心分手,纯音乐,,http://musicdata.baidu.com/data2/lrc/246979833/246979833.lrc,1
1,《玉置浩二作品钢琴集》,环球唱片,2009-07-14,背景音乐,场景,不走,纯音乐,,http://musicdata.baidu.com/data2/lrc/246979833/246979833.lrc,1
1,《玉置浩二作品钢琴集》,环球唱片,2009-07-14,背景音乐,场景,冰点,纯音乐,,http://musicdata.baidu.com/data2/lrc/a52c08cc8d39fce6a36bd6591aff27b5/265720049/265720049.lrc,1
1,《玉置浩二作品钢琴集》,环球唱片,2009-07-14,背景音乐,场景,恋爱预感,纯音乐,,http://musicdata.baidu.com/data2/lrc/a52c08cc8d39fce6a36bd6591aff27b5/265720049/265720049.lrc,1
