,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《The Best Of Anastacia》,SONY MUSIC,2008-10-27,酒吧,场景,I'M Outta Love,Anastacia,,http://musicdata.baidu.com/data2/lrc/12611926/12611926.lrc,1
1,《Stone Cold Sober》,SONY MUSIC,2009-06-15,酒吧,场景,I Just Wait,Paloma Faith,,http://musicdata.baidu.com/data2/lrc/107061730/107061730.lrc,1
1,《Allow Us To Be Frank》,BMG,2004-11-08,酒吧,场景,Ain'T That A Kick In The Head,Westlife,,http://musicdata.baidu.com/data2/lrc/12603670/12603670.lrc,1
1,《Sounds Of Silence》,SONY MUSIC,2013-08-20,酒吧,场景,Kathy'S Song,Simon & Garfunkel,,http://musicdata.baidu.com/data2/lrc/12592095/12592095.lrc,1
1,《Jt》,SONY MUSIC,1983-01-01,酒吧,场景,Handy Man,James Taylor,,http://musicdata.baidu.com/data2/lrc/240073152/240073152.lrc,1
1,《Instrumental-Emotionen》,环球唱片,2008-04-01,酒吧,场景,Tequila,Pete Tex,,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288824127/288824127.lrc,1
1,《Is There Love In Space?》,SONY MUSIC,2004-05-03,酒吧,场景,Lifestyle,Joe Satriani,,http://musicdata.baidu.com/data2/lrc/12566290/12566290.lrc,1
1,《2007 Grammy Nominees》,SONY MUSIC,2007-04-17,酒吧,场景,You'Re Beautiful,James Blunt,,http://musicdata.baidu.com/data2/lrc/14900091/14900091.lrc,1
1,《Italia》,环球唱片,2009-02-26,酒吧,场景,It Never Entered My Mind,Chris Botti,,http://musicdata.baidu.com/data2/lrc/12522839/12522839.lrc,1
1,《Italia》,环球唱片,2009-02-26,酒吧,场景,Caruso,Chris Botti,,http://musicdata.baidu.com/data2/lrc/240198374/240198374.lrc,1
1,《Cyrus Plays Elvis》,环球唱片,2008-05-05,酒吧,场景,Dont,Cyrus Chestnut,,http://musicdata.baidu.com/data2/lrc/12751820/12751820.lrc,1
1,《Thriller》,Epic/CTI,2004-05-17,酒吧,场景,The Lady In My Life,Michael Jackson,,http://musicdata.baidu.com/data2/lrc/14907364/14907364.lrc,1
1,《Greatest Hits》,Arista,1997-11-18,酒吧,场景,Sentimental,Kenny G,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/259303004/259303004.lrc,1
1,《You Are Not Alone》,华纳音乐,2010-09-10,酒吧,场景,Don'T Knock,Mavis Staples,,http://musicdata.baidu.com/data2/lrc/968a36ba93dc8db1449ee529aa17bf97/288821001/288821001.lrc,1
1,《Evolution 音乐进化论(95-02 新歌+精选)》,SONY MUSIC,2002-10-02,酒吧,场景,爱的就是你,王力宏,,http://musicdata.baidu.com/data2/lrc/13902348/13902348.lrc,1
1,《打开星盒子》,滚石唱片,1999-12-03,酒吧,场景,Stay A Little Longer,星盒子,,http://musicdata.baidu.com/data2/lrc/240800346/240800346.lrc,1
1,《Greatest Hits》,Arista,1997-11-18,酒吧,场景,The Moment,Kenny G,,http://musicdata.baidu.com/data2/lrc/240800346/240800346.lrc,1
1,《My Space》,亚神音乐,2008-07-29,酒吧,场景,依赖,蔡健雅,,http://musicdata.baidu.com/data2/lrc/13982309/13982309.lrc,1
1,《I'm Not A Star》,滚石唱片,1998-09-01,酒吧,场景,All These Years,顺子,,http://musicdata.baidu.com/data2/lrc/6ab4dd8d39cce8719414f93033529c48/257162223/257162223.lrc,1
1,《孤独的人是可耻的》,滚石唱片,1994-10-06,酒吧,场景,爱情,张楚,,http://musicdata.baidu.com/data2/lrc/212618/212618.lrc,1
2,《Soldier Of Love》,SONY MUSIC,2010-01-11,酒吧,场景,The Moon And The Sky,Sade,,http://musicdata.baidu.com/data2/lrc/14865763/14865763.lrc,2
2,《The Best Of Bob Dylan》,SONY MUSIC,1997-06-10,酒吧,场景,Jokerman,Bob Dylan,,http://musicdata.baidu.com/data2/lrc/1718271/1718271.lrc,2
2,《Back To Black》,环球唱片,2006-10-01,酒吧,场景,Love Is A Losing Game (Original Demo),Amy Winehouse,,http://musicdata.baidu.com/data2/lrc/12472936/12472936.lrc,2
2,《男孩女孩》,太合麦田,2004-12-24,酒吧,场景,就让世界多一颗心,安敏捷,,http://musicdata.baidu.com/data2/lrc/6170897/6170897.lrc,2
2,《强颜欢笑》,福茂唱片,1993-04-01,酒吧,场景,爱比不爱更寂寞,文章,,http://musicdata.baidu.com/data2/lrc/1497466/1497466.lrc,2
2,《ONE》,SME,2011-05-18,酒吧,场景,Pride,DEPAPEPE,,http://musicdata.baidu.com/data2/lrc/1497466/1497466.lrc,2
2,《ONE》,SME,2011-05-18,酒吧,场景,beautiful wind,DEPAPEPE,,http://musicdata.baidu.com/data2/lrc/1497466/1497466.lrc,2
2,《Wayfarer》,环球唱片,2009-07-14,酒吧,场景,Singsong,Jan Garbarek Group,,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288821616/288821616.lrc,2
2,《Back To Black》,环球唱片,2006-10-01,酒吧,场景,Valerie,Amy Winehouse,,http://musicdata.baidu.com/data2/lrc/1233392/1233392.lrc,2
2,《Rio》,环球唱片,2010-01-25,酒吧,场景,Cafe Com Pao,Till BröNner,,http://musicdata.baidu.com/data2/lrc/1233392/1233392.lrc,2
2,《Rio》,环球唱片,2010-01-25,酒吧,场景,O Que Sera?,"Till Brönner,Vanessa Da Mata",,http://musicdata.baidu.com/data2/lrc/1233392/1233392.lrc,2
2,《Time Machine》,SONY MUSIC,1997-12-29,酒吧,场景,Time Machine,Joe Satriani,,http://musicdata.baidu.com/data2/lrc/12464852/12464852.lrc,2
2,《男孩女孩》,太合麦田,2004-12-24,酒吧,场景,我愿意为你在城里的月光下温暖冷冷的爱情,任东,,http://musicdata.baidu.com/data2/lrc/3f6d59d6fe156b05581b2d5a976da187/257173594/257173594.lrc,2
2,《The Essential Santana》,SONY MUSIC,2002-10-22,酒吧,场景,Jingo,Santana,,http://musicdata.baidu.com/data2/lrc/239165764/239165764.lrc,2
2,《Bad》,SONY MUSIC,1987-09-07,酒吧,场景,Quincy Jones Interview #3,Quincy Jones,,http://musicdata.baidu.com/data2/lrc/239165764/239165764.lrc,2
2,《Les 50 Plus Belles Chansons》,环球唱片,2008-05-12,酒吧,场景,Chiche,Henri Salvador,,http://musicdata.baidu.com/data2/lrc/239165764/239165764.lrc,2
2,《The Best Of The Bar-Kays》,环球唱片,2007-04-16,酒吧,场景,Holy Ghost,The Bar-Kays,,http://musicdata.baidu.com/data2/lrc/239165764/239165764.lrc,2
2,《Music From B-Boy》,环球唱片,2007-04-16,酒吧,场景,Holy Ghost,The Bar-Kays,,http://musicdata.baidu.com/data2/lrc/239165764/239165764.lrc,2
2,《Toby Keith 35 Biggest Hits》,环球唱片,2010-01-25,酒吧,场景,I Love This Bar,Toby Keith,,http://musicdata.baidu.com/data2/lrc/7583406/7583406.lrc,2
2,《Shock 'N Y'All》,环球唱片,2003-11-17,酒吧,场景,I Love This Bar,Toby Keith,,http://musicdata.baidu.com/data2/lrc/5469871/5469871.lrc,2
3,《Time After Time》,SONY MUSIC,1995-06-06,酒吧,场景,Someone To Watch Over Me,Etta James,,http://musicdata.baidu.com/data2/lrc/12614939/12614939.lrc,3
