,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,页数
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,平底锅的威力,喜羊羊与灰太狼,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/727708/727708.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,茫茫沙漠,喜羊羊与灰太狼,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/727702/727702.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,夜行,喜羊羊与灰太狼,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/727691/727691.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,游乐场,喜羊羊与灰太狼,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/727680/727680.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,虎威太岁,喜羊羊与灰太狼,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/727675/727675.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,不速之客,喜羊羊与灰太狼,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/727665/727665.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,狼族誓师,喜羊羊与灰太狼,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/727653/727653.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,别看我只是一只羊,杨沛宜,http://musicdata.baidu.com/data2/lrc/28748117/28748117.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,我爱灰太狼,邓丽欣,http://musicdata.baidu.com/data2/lrc/13984672/13984672.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,梦见果冻,李巍,http://musicdata.baidu.com/data2/lrc/12453767/12453767.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,左手右手,杨沛宜,http://musicdata.baidu.com/data2/lrc/240465821/240465821.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,我爱平底锅,郑中基,http://musicdata.baidu.com/data2/lrc/13897700/13897700.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,大家一起喜羊羊（粤语版）,周笔畅,http://musicdata.baidu.com/data2/lrc/12722760/12722760.lrc,1
1,《歌唱祖国》,福茂唱片,2009-09-19,动漫,影视节目,别看我只是一只羊,杨沛宜,http://musicdata.baidu.com/data2/lrc/246650840/246650840.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,我只是一只羊,"罗颂恩,谭嘉荃",http://musicdata.baidu.com/data2/lrc/48872182/48872182.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,福茂唱片,2009-12-10,动漫,影视节目,大家一起喜羊羊（国语版）,周笔畅,http://musicdata.baidu.com/data2/lrc/23153696/23153696.lrc,1
1,《Red Moon》,S.M.Entertainment,2010-03-17,动漫,影视节目,Lacrimosa,Kalafina,http://musicdata.baidu.com/data2/lrc/64933879/64933879.lrc,1
1,《Lacrimosa》,S.M.Entertainment,2009-03-04,动漫,影视节目,Lacrimosa,Kalafina,http://musicdata.baidu.com/data2/lrc/20659589/20659589.lrc,1
1,《Akeboshi》,S.M.Entertainment,2005-06-22,动漫,影视节目,Wind,Akeboshi,http://musicdata.baidu.com/data2/lrc/64999427/64999427.lrc,1
1,《guitarissimo》,SMR,2011-04-06,动漫,影视节目,chAngE,miwa,http://musicdata.baidu.com/data2/lrc/64982100/64982100.lrc,1
2,《The Simpsons Sing The Blues》,环球唱片,1991-04-26,动漫,影视节目,Springfield Soul Stew,The Simpsons,http://musicdata.baidu.com/data2/lrc/64982100/64982100.lrc,2
2,《The Simpsons Sing The Blues》,环球唱片,1991-04-26,动漫,影视节目,Do The Bartman,The Simpsons,http://musicdata.baidu.com/data2/lrc/12552714/12552714.lrc,2
2,《Akeboshi》,环球唱片,2005-06-22,动漫,影视节目,no wish,Akeboshi,http://musicdata.baidu.com/data2/lrc/14566413/14566413.lrc,2
2,《Spongebob'S Greatest Hits》,SONY MUSIC,2009-07-13,动漫,影视节目,Campfire Song Song,Spongebob Squarepants,http://musicdata.baidu.com/data2/lrc/14566413/14566413.lrc,2
2,《Platinum & Gold Collection》,SONY MUSIC,2003-09-07,动漫,影视节目,The Pink Panther Theme,Henry Mancini,http://musicdata.baidu.com/data2/lrc/14566413/14566413.lrc,2
2,《Moon River: The Henry Mancini Collection》,SONY MUSIC,2009-05-04,动漫,影视节目,The Pink Panther Theme,Henry Mancini,http://musicdata.baidu.com/data2/lrc/14566413/14566413.lrc,2
2,《Greatest Hits - The Best Of Henry Mancini》,SONY MUSIC,2000-09-24,动漫,影视节目,The Pink Panther Theme,Henry Mancini,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288822812/288822812.lrc,2
2,《Alvin & The Chipmunks / Ost》,环球唱片,2008-05-08,动漫,影视节目,The Chipmunk Song,The Chipmunks,http://musicdata.baidu.com/data2/lrc/12561793/12561793.lrc,2
2,《Spongebob Squarepants - The Yellow Album》,SONY MUSIC,2009-04-06,动漫,影视节目,Campfire Song Song,Spongebob Squarepants,http://musicdata.baidu.com/data2/lrc/119562638/119562638.lrc,2
2,《After Eden》,ソニーミュージック,2011-09-21,动漫,影视节目,Magia,Kalafina,http://musicdata.baidu.com/data2/lrc/64987175/64987175.lrc,2
2,《You Could Have It So Much Better因为你值得》,索尼音乐,2005-10-03,动漫,影视节目,Do You Want To,Franz Ferdinand,http://musicdata.baidu.com/data2/lrc/1271043/1271043.lrc,2
2,《Alvin & The Chipmunks /  Ost》,环球唱片,2008-04-29,动漫,影视节目,The Chipmunk Song,The Chipmunks,http://musicdata.baidu.com/data2/lrc/12622534/12622534.lrc,2
2,《The Chipmunk Song (Christmas Don'T Be Late)》,环球唱片,2007-12-03,动漫,影视节目,The Chipmunk Song,The Chipmunks,http://musicdata.baidu.com/data2/lrc/12622313/12622313.lrc,2
2,《Reggatta De Blanc》,环球唱片,2003-06-09,动漫,影视节目,Message In A Bottle,The Police,http://musicdata.baidu.com/data2/lrc/8592741/8592741.lrc,2
2,《Original Hits - Drivetime》,EMI,2011-05-13,动漫,影视节目,Don't You (Forget About Me),Simple Minds,http://musicdata.baidu.com/data2/lrc/12558131/12558131.lrc,2
2,《The Simpsons Sing The Blues》,环球唱片,1991-04-26,动漫,影视节目,Sibling Rivalry,The Simpsons,http://musicdata.baidu.com/data2/lrc/114957168/114957168.lrc,2
2,《The Simpsons Sing The Blues》,环球唱片,1991-04-26,动漫,影视节目,Look At All Those Idiots,The Simpsons,http://musicdata.baidu.com/data2/lrc/114957168/114957168.lrc,2
2,《The Simpsons Sing The Blues》,环球唱片,1991-04-26,动漫,影视节目,I Love To See You Smile,The Simpsons,http://musicdata.baidu.com/data2/lrc/114957168/114957168.lrc,2
2,《The Simpsons Sing The Blues》,环球唱片,1991-04-26,动漫,影视节目,God Bless The Child,The Simpsons,http://musicdata.baidu.com/data2/lrc/12552716/12552716.lrc,2
2,《The Simpsons Sing The Blues》,环球唱片,1991-04-26,动漫,影视节目,Moanin' Lisa Blues,The Simpsons,http://musicdata.baidu.com/data2/lrc/12552716/12552716.lrc,2
3,《The Simpsons Sing The Blues》,环球唱片,1991-04-26,动漫,影视节目,Born Under A Bad Sign,The Simpsons,http://musicdata.baidu.com/data2/lrc/12552716/12552716.lrc,3
3,《Massive Hits!: 80s Pop》,EMI,2012-07-06,动漫,影视节目,Don't You (Forget About Me),Simple Minds,http://musicdata.baidu.com/data2/lrc/12552716/12552716.lrc,3
3,《Massive Hits!: Driving Rock》,EMI,2012-07-06,动漫,影视节目,Don't You (Forget About Me),Simple Minds,http://musicdata.baidu.com/data2/lrc/12552716/12552716.lrc,3
3,《The Police》,环球唱片,2008-05-12,动漫,影视节目,Message In A Bottle,The Police,http://musicdata.baidu.com/data2/lrc/1332420/1332420.lrc,3
3,《If》,SONY MUSIC,2010-08-04,动漫,影视节目,if,西野加奈,http://musicdata.baidu.com/data2/lrc/14692450/14692450.lrc,3
3,《谜》,环球唱片,2006-10-06,动漫,影视节目,谜,许慧欣,http://musicdata.baidu.com/data2/lrc/231950/231950.lrc,3
3,《Beauty And The Beast (Special Edition)》,环球唱片,2006-10-06,动漫,影视节目,Beauty And The Beast,Angela Lansbury,http://musicdata.baidu.com/data2/lrc/12616483/12616483.lrc,3
3,《Disney Princess: The Ultimate Song Collection》,环球唱片,2009-12-09,动漫,影视节目,Just Around The Riverbend,Judy Kuhn,http://musicdata.baidu.com/data2/lrc/12616483/12616483.lrc,3
3,《Dave Brubeck'S Greatest Hits》,SONY MUSIC,1998-01-07,动漫,影视节目,Trolley Song,Dave Brubeck,http://musicdata.baidu.com/data2/lrc/12616483/12616483.lrc,3
3,《Best Of The Stray Cats》,SONY MUSIC,1996-09-11,动漫,影视节目,Ubangi Stomp,Stray Cats,http://musicdata.baidu.com/data2/lrc/12616483/12616483.lrc,3
3,《Hits》,SONY MUSIC,1990-07-02,动漫,影视节目,Goody Two Shoes,Adam Ant,http://musicdata.baidu.com/data2/lrc/12616483/12616483.lrc,3
3,《Music From The Motion Picture Wonderland》,SONY MUSIC,2003-09-15,动漫,影视节目,Girls On Film,Duran Duran,http://musicdata.baidu.com/data2/lrc/31504240/31504240.lrc,3
3,《Stray Cats》,SONY MUSIC,1993-05-15,动漫,影视节目,Ubangi Stomp,Stray Cats,http://musicdata.baidu.com/data2/lrc/31504240/31504240.lrc,3
3,《The Best Of Stray Cats》,SONY MUSIC,1997-02-28,动漫,影视节目,Ubangi Stomp,Stray Cats,http://musicdata.baidu.com/data2/lrc/116551354/116551354.lrc,3
3,《Antics In The Forbidden Zone》,SONY MUSIC,1993-07-15,动漫,影视节目,Goody Two Shoes,Adam Ant,http://musicdata.baidu.com/data2/lrc/116551354/116551354.lrc,3
3,《The Very Best》,SONY MUSIC,2000-11-14,动漫,影视节目,Trolley Song,Dave Brubeck,http://musicdata.baidu.com/data2/lrc/116551354/116551354.lrc,3
3,《Columbia Jazz Profile》,SONY MUSIC,2007-08-09,动漫,影视节目,Trolley Song,Dave Brubeck,http://musicdata.baidu.com/data2/lrc/116551354/116551354.lrc,3
3,《The Magic Position》,环球唱片,2007-03-19,动漫,影视节目,Enchanted,Patrick Wolf,http://musicdata.baidu.com/data2/lrc/8592399/8592399.lrc,3
3,《Olympia 73》,环球唱片,2009-04-30,动漫,影视节目,San Francisco,Maxime Le Forestier,http://musicdata.baidu.com/data2/lrc/12585671/12585671.lrc,3
3,《Cinderella And Friends》,环球唱片,2009-04-30,动漫,影视节目,Part Of Your World,Robin Huston,http://musicdata.baidu.com/data2/lrc/12583154/12583154.lrc,3
4,《Cinderella And Friends》,环球唱片,2009-04-30,动漫,影视节目,I Think I'D Be Perfect For You,Joe York,http://musicdata.baidu.com/data2/lrc/12583154/12583154.lrc,4
4,《Shrek》,环球唱片,2001-05-14,动漫,影视节目,I'M A Believer (Reprise),Eddie Murphy,http://musicdata.baidu.com/data2/lrc/12582173/12582173.lrc,4
4,《Best Of/20Th Century - Christmas》,环球唱片,2009-07-14,动漫,影视节目,Silver And Gold,Burl Ives,http://musicdata.baidu.com/data2/lrc/12581875/12581875.lrc,4
4,《The Lilac Time》,环球唱片,2008-04-21,动漫,影视节目,Return To Yesterday,The Lilac Time,http://musicdata.baidu.com/data2/lrc/12581875/12581875.lrc,4
4,《Cool - Legends》,环球唱片,2008-04-21,动漫,影视节目,Girls On Film,Duran Duran,http://musicdata.baidu.com/data2/lrc/31504239/31504239.lrc,4
4,《Gold》,环球唱片,2006-02-02,动漫,影视节目,Mother Popcorn,James Brown,http://musicdata.baidu.com/data2/lrc/31504239/31504239.lrc,4
4,《Sex Machine》,环球唱片,1998-07-06,动漫,影视节目,Mother Popcorn,James Brown,http://musicdata.baidu.com/data2/lrc/118850386/118850386.lrc,4
4,《Quelqu'Un M'A Dit》,环球唱片,2008-04-07,动漫,影视节目,Le Toi Du Moi,Carla Bruni,http://musicdata.baidu.com/data2/lrc/8300995/8300995.lrc,4
4,《Charlie Brown'S Holiday Hits》,环球唱片,2006-09-18,动漫,影视节目,Thanksgiving Theme,Vince Guaraldi Trio,http://musicdata.baidu.com/data2/lrc/8300995/8300995.lrc,4
4,《Compendium - The Fontana Trinity》,环球唱片,2001-07-02,动漫,影视节目,Return To Yesterday,The Lilac Time,http://musicdata.baidu.com/data2/lrc/8300995/8300995.lrc,4
