,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,页数
1,《曾经的歌系列 11》,华谊兄弟,2012-10-19,日本动漫,影视节目,头文字Ｄ动漫曲,群星,http://musicdata.baidu.com/data2/lrc/68075558/68075558.lrc,1
1,《曾经的歌系列 11》,华谊兄弟,2012-10-19,日本动漫,影视节目,全职猎人主题曲,群星,http://musicdata.baidu.com/data2/lrc/68315796/68315796.lrc,1
1,《pop'n music 10 AC CS pop'n music 8》,华谊兄弟,2012-10-19,日本动漫,影视节目,ウキウキWatching,日本ACG,http://musicdata.baidu.com/data2/lrc/68315796/68315796.lrc,1
1,《THE IDOLM@STER STATION!!! SECOND TRAVEL ～Seaside Date～》,コロムビアミュージックエンタテインメント,2010-06-30,日本动漫,影视节目,勇気りんりん,日本ACG,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/277344005/277344005.lrc,1
1,《逆転裁判サウンドBOX》,SMD itaku,2012-02-08,日本动漫,影视节目,『始まりの逆転』,日本ACG,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/277344005/277344005.lrc,1
1,《逆転裁判サウンドBOX》,SMD itaku,2012-02-08,日本动漫,影视节目,矢張政志 ～事件の陰にやっぱりオレ～,日本ACG,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/277344005/277344005.lrc,1
1,《逆転裁判サウンドBOX》,SMD itaku,2012-02-08,日本动漫,影视节目,怪人☆仮面マスク ～聞いてくださーーーい!,日本ACG,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/277344005/277344005.lrc,1
1,《逆転裁判サウンドBOX》,SMD itaku,2012-02-08,日本动漫,影视节目,検事のつぶやき ～再会を期して,日本ACG,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288836057/288836057.lrc,1
1,《逆転裁判サウンドBOX》,SMD itaku,2012-02-08,日本动漫,影视节目,勝訴! ～ふたたびの勝利～,日本ACG,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288822236/288822236.lrc,1
1,《逆転裁判サウンドBOX》,SMD itaku,2012-02-08,日本动漫,影视节目,追憶 ～トノサマンのバラード,日本ACG,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288833849/288833849.lrc,1
