,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《一个任贤齐》,滚石唱片,2002-09-05,伤感,心情,不再让你孤单,任贤齐,,http://musicdata.baidu.com/data2/lrc/240281085/240281085.lrc,1
1,《来生缘》,宝艺星,1991-09-01,伤感,心情,说再见以后是不是能再见,刘德华,,http://musicdata.baidu.com/data2/lrc/13916991/13916991.lrc,1
1,《中国最爱儿歌经典一》,宝艺星,2002-09-01,伤感,心情,小螺号,群星,,http://musicdata.baidu.com/data2/lrc/99011259/99011259.lrc,1
1,《超模》,宝艺星,2008-02-02,伤感,心情,超模,郑希怡,,http://musicdata.baidu.com/data2/lrc/6171060/6171060.lrc,1
1,《一夜长大》,滚石唱片,1999-09-17,伤感,心情,彩虹,梁静茹,,http://musicdata.baidu.com/data2/lrc/239132818/239132818.lrc,1
1,《The Line-Up》,英皇唱片,2002-07-24,伤感,心情,1874,陈奕迅,,http://musicdata.baidu.com/data2/lrc/13854322/13854322.lrc,1
1,《最初的梦想》,福茂唱片,2004-05-01,伤感,心情,可不可以不勇敢,范玮琪,,http://musicdata.baidu.com/data2/lrc/240072170/240072170.lrc,1
1,《流星雨》,SONY MUSIC,2001-08-27,伤感,心情,第一时间,F4,,http://musicdata.baidu.com/data2/lrc/240111599/240111599.lrc,1
1,《一个任贤齐》,滚石唱片,2002-09-05,伤感,心情,一个人,任贤齐,,http://musicdata.baidu.com/data2/lrc/13895977/13895977.lrc,1
1,《我等你》,滚石唱片,2000-01-07,伤感,心情,后来,刘若英,,http://musicdata.baidu.com/data2/lrc/d765a6be2108458a0504655c8ec97381/544501902/544501902.lrc,1
1,《情义》,滚石唱片,2004-03-25,伤感,心情,我是一只鱼,任贤齐,,http://musicdata.baidu.com/data2/lrc/240281083/240281083.lrc,1
1,《广东经典101》,环球唱片,2009-12-30,伤感,心情,容易受伤的女人,王菲,,http://musicdata.baidu.com/data2/lrc/8299499/8299499.lrc,1
1,《国语经典101》,环球唱片,2009-12-29,伤感,心情,爱我的人和我爱的人,裘海正,,http://musicdata.baidu.com/data2/lrc/e4b09393db4d2fced3326dcdd5461d2f/263644295/263644295.lrc,1
1,《国语经典101》,环球唱片,2009-12-29,伤感,心情,雪人,范晓萱,,http://musicdata.baidu.com/data2/lrc/13863236/13863236.lrc,1
1,《绝对收藏》,SONY MUSIC,2008-07-24,伤感,心情,离人,林志炫,,http://musicdata.baidu.com/data2/lrc/240464942/240464942.lrc,1
1,《单身情歌 超炫精选》,SONY MUSIC,1999-12-01,伤感,心情,散了吧,林志炫,,http://musicdata.baidu.com/data2/lrc/240465551/240465551.lrc,1
1,《单身情歌 超炫精选》,SONY MUSIC,1999-12-01,伤感,心情,单身情歌,林志炫,,http://musicdata.baidu.com/data2/lrc/246653101/246653101.lrc,1
1,《从开始到现在 》,SONY MUSIC,2002-06-21,伤感,心情,回来,张信哲,,http://musicdata.baidu.com/data2/lrc/13822517/13822517.lrc,1
1,《无法定义黄义达》,SONY MUSIC,2004-04-20,伤感,心情,蓝天,黄义达,,http://musicdata.baidu.com/data2/lrc/13905800/13905800.lrc,1
1,《蒙娜丽莎的眼泪》,SONY MUSIC,1998-03-02,伤感,心情,蒙娜丽莎的眼泪,林志炫,,http://musicdata.baidu.com/data2/lrc/240696836/240696836.lrc,1
2,《只爱陌生人》,SONY MUSIC,1998-03-02,伤感,心情,催眠,王菲,,http://musicdata.baidu.com/data2/lrc/240904545/240904545.lrc,2
2,《天空》,环球唱片,1994-11-04,伤感,心情,棋子,王菲,,http://musicdata.baidu.com/data2/lrc/33800325/33800325.lrc,2
2,《The Line-Up》,英皇唱片,2002-07-24,伤感,心情,人来人往,陈奕迅,,http://musicdata.baidu.com/data2/lrc/240908342/240908342.lrc,2
2,《谢谢你的爱1999》,英皇唱片,1999-09-01,伤感,心情,夜了醉了就想哭,谢霆锋,,http://musicdata.baidu.com/data2/lrc/14915381/14915381.lrc,2
2,《信仰》,潮水音乐,2000-05-01,伤感,心情,我能相信,张信哲,,http://musicdata.baidu.com/data2/lrc/525221/525221.lrc,2
2,《Live For Today》,英皇唱片,2003-07-01,伤感,心情,岁月如歌,陈奕迅,,http://musicdata.baidu.com/data2/lrc/241639946/241639946.lrc,2
