,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《风云2》,SONY MUSIC,2005-04-01,励志,心情,精忠报国,屠洪刚,,http://musicdata.baidu.com/data2/lrc/13762351/13762351.lrc,1
1,《风雨无阻》,滚石唱片,1994-06-10,励志,心情,风雨无阻,周华健,,http://musicdata.baidu.com/data2/lrc/239159317/239159317.lrc,1
1,《Forever》,环球唱片,2001-03-01,励志,心情,我,张国荣,,http://musicdata.baidu.com/data2/lrc/239161306/239161306.lrc,1
1,《最初的梦想》,福茂唱片,2004-05-01,励志,心情,启程,范玮琪,,http://musicdata.baidu.com/data2/lrc/14730661/14730661.lrc,1
1,《第一次》,滚石唱片,1991-12-31,励志,心情,潮起潮落陪你度过,成龙,,http://musicdata.baidu.com/data2/lrc/245300455/245300455.lrc,1
1,《I Dreamed A Dream》,SONY MUSIC,2009-11-23,励志,心情,I Dreamed A Dream,Susan Boyle,,http://musicdata.baidu.com/data2/lrc/134736151/134736151.lrc,1
1,《一起飞》,SONY MUSIC,2008-07-08,励志,心情,壮志在我胸,成龙,,http://musicdata.baidu.com/data2/lrc/13902673/13902673.lrc,1
1,《空空的心》,英皇唱片,1993-03-03,励志,心情,漫漫长路,林帆,,http://musicdata.baidu.com/data2/lrc/904178/904178.lrc,1
1,《Faces Of FanFan 》,福茂唱片,2008-07-11,励志,心情,最初的梦想,范玮琪,,http://musicdata.baidu.com/data2/lrc/239708828/239708828.lrc,1
1,《The Ultimate Collection》,SONY MUSIC,2007-10-20,励志,心情,When You Believe,"Whitney Houston,Mariah Carey",,http://musicdata.baidu.com/data2/lrc/246661293/246661293.lrc,1
1,《Wavin' Flag》,环球唱片,2009-12-04,励志,心情,Wavin'  Flag,K Naan,,http://musicdata.baidu.com/data2/lrc/14896945/14896945.lrc,1
1,《不想放手》,环球唱片,2008-06-30,励志,心情,路...一直都在,陈奕迅,,http://musicdata.baidu.com/data2/lrc/13776461/13776461.lrc,1
1,《Love Love Love 2005 经典韩剧恋爱物语 》,福茂唱片,2005-11-18,励志,心情,最初的梦想,范玮琪,,http://musicdata.baidu.com/data2/lrc/13945058/13945058.lrc,1
1,《格格Blue》,福茂唱片,2005-12-30,励志,心情,刮目相看,曹格,,http://musicdata.baidu.com/data2/lrc/246897443/246897443.lrc,1
1,《The Time Of Our Lives》,Hollywood Records,2009-11-19,励志,心情,The Climb,Miley Cyrus,,http://musicdata.baidu.com/data2/lrc/240074652/240074652.lrc,1
1,《专属密码》,SONY MUSIC,2005-06-03,励志,心情,征服自己,黄义达,,http://musicdata.baidu.com/data2/lrc/240075495/240075495.lrc,1
1,《永远相信》,SONY MUSIC,2005-06-03,励志,心情,永远相信,翁倩玉,,http://musicdata.baidu.com/data2/lrc/240280329/240280329.lrc,1
1,《I Am A Diva》,环球唱片,2011-02-21,励志,心情,Through The Rain,Mariah Carey,,http://musicdata.baidu.com/data2/lrc/7350877/7350877.lrc,1
1,《Hello…My Name Is》,环球唱片,2009-04-30,励志,心情,向上,关楚耀,,http://musicdata.baidu.com/data2/lrc/7335345/7335345.lrc,1
1,《出境入境》,环球唱片,2009-07-14,励志,心情,感恩的心,欧阳菲菲,,http://musicdata.baidu.com/data2/lrc/b2b92e5c19538e370147bee6d1744cac/540054515/540054515.lrc,1
2,《C'Est La V》,环球唱片,2011-07-15,励志,心情,Is This All,吴建豪,,http://musicdata.baidu.com/data2/lrc/13914978/13914978.lrc,2
2,《Elements -现场歌曲》,环球唱片,2009-12-28,励志,心情,星,邓丽君,,http://musicdata.baidu.com/data2/lrc/240403140/240403140.lrc,2
2,《Love 07' 情歌集》,环球唱片,2007-03-12,励志,心情,我着十号,李克勤,,http://musicdata.baidu.com/data2/lrc/12728473/12728473.lrc,2
2,《其实你不懂我的心》,宝丽金,1989-03-01,励志,心情,爱让世界更美,童安格,,http://musicdata.baidu.com/data2/lrc/246653183/246653183.lrc,2
2,《真的见证》,新艺宝,1989-12-01,励志,心情,无悔这一生,Beyond,,http://musicdata.baidu.com/data2/lrc/14745024/14745024.lrc,2
2,《阳光雨》,SONY MUSIC,2008-07-07,励志,心情,阳光雨,冯曦妤,,http://musicdata.baidu.com/data2/lrc/240464973/240464973.lrc,2
2,《刘欢 经典20年 珍藏锦集》,SONY MUSIC,2004-08-01,励志,心情,从头再来,刘欢,,http://musicdata.baidu.com/data2/lrc/13756563/13756563.lrc,2
2,《就是主题歌》,SONY MUSIC,2004-04-16,励志,心情,壮志雄心,陆毅,,http://musicdata.baidu.com/data2/lrc/13829095/13829095.lrc,2
2,《陪你倒数》,环球唱片,1999-10-01,励志,心情,同道中人,张国荣,,http://musicdata.baidu.com/data2/lrc/725709/725709.lrc,2
2,《两极》,滚石唱片,2004-12-31,励志,心情,永不退缩,任贤齐,,http://musicdata.baidu.com/data2/lrc/240880253/240880253.lrc,2
2,《作品李宗盛》,滚石唱片,1999-11-01,励志,心情,壮志在我胸,成龙,,http://musicdata.baidu.com/data2/lrc/632608/632608.lrc,2
2,《我是一只小小鸟》,北京源丰泰坤投资咨询有限公司,1990-08-01,励志,心情,像我一样骄傲,赵传,,http://musicdata.baidu.com/data2/lrc/6fbc1561d12b371b2f24f005f7c902a8/268978170/268978170.lrc,2
2,《成龙超级精装大戏主题曲》,北京源丰泰坤投资咨询有限公司,1995-01-21,励志,心情,我有我路向,成龙,,http://musicdata.baidu.com/data2/lrc/87348f3b8f6d907fe6abcff4cdf8ed35/540424280/540424280.lrc,2
2,《2011 JJ林俊杰 I AM 世界巡回演唱会 小巨蛋 终极典藏版》,海蝶音乐,2011-11-08,励志,心情,I Am,林俊杰,,http://musicdata.baidu.com/data2/lrc/13857817/13857817.lrc,2
2,《VIVA》,英皇唱片,2000-11-01,励志,心情,活着Viva,谢霆锋,,http://musicdata.baidu.com/data2/lrc/241211174/241211174.lrc,2
2,《Bring You Home》,环球唱片,2006-06-05,励志,心情,This I Promise You,Ronan Keating,,http://musicdata.baidu.com/data2/lrc/531098/531098.lrc,2
2,《八十块环游世界》,英皇唱片,2006-06-15,励志,心情,翱翔的小鸟,Twins,,http://musicdata.baidu.com/data2/lrc/514903/514903.lrc,2
2,《若你碰到他》,亚神音乐,2009-08-19,励志,心情,轮流转,蔡健雅,,http://musicdata.baidu.com/data2/lrc/470284/470284.lrc,2
2,《时光机》,滚石唱片,2003-11-07,励志,心情,九号球,五月天,,http://musicdata.baidu.com/data2/lrc/14902649/14902649.lrc,2
2,《成龙超级精装大戏主题曲》,滚石唱片,1995-01-21,励志,心情,壮志在我胸,成龙,,http://musicdata.baidu.com/data2/lrc/246650666/246650666.lrc,2
3,《其实你不懂我的心》,宝丽金,1989-03-01,励志,心情,永远不要说放弃,童安格,,http://musicdata.baidu.com/data2/lrc/241646159/241646159.lrc,3
3,《没有什么不可以》,天中文化,2002-01-01,励志,心情,战胜自己,零点乐队,,http://musicdata.baidu.com/data2/lrc/246650615/246650615.lrc,3
3,《自由歌》,天中文化,1994-01-01,励志,心情,我的未来不是梦,张雨生,,http://musicdata.baidu.com/data2/lrc/13761739/13761739.lrc,3
3,《潘朵拉》,福茂唱片,2006-01-06,励志,心情,隐形的翅膀,张韶涵,,http://musicdata.baidu.com/data2/lrc/30915245/30915245.lrc,3
3,《勇敢一点》,滚石唱片,1999-10-07,励志,心情,勇敢一点,赵传,,http://musicdata.baidu.com/data2/lrc/13839677/13839677.lrc,3
3,《想念式》,SONY MUSIC,2010-05-11,励志,心情,你最醒目,苏醒,,http://musicdata.baidu.com/data2/lrc/13916761/13916761.lrc,3
3,《心的方向》,滚石唱片,1987-07-13,励志,心情,心的方向,周华健,,http://musicdata.baidu.com/data2/lrc/246649611/246649611.lrc,3
3,《Whether Or Not》,环球唱片,2005-10-21,励志,心情,坚强,余文乐,,http://musicdata.baidu.com/data2/lrc/297177/297177.lrc,3
3,《忘不了你》,环球唱片,2007-09-01,励志,心情,未来在手中,孙楠,,http://musicdata.baidu.com/data2/lrc/296370/296370.lrc,3
3,《The Survivor》,环球唱片,2009-07-14,励志,心情,坚强,余文乐,,http://musicdata.baidu.com/data2/lrc/274534/274534.lrc,3
3,《Purple Dream》,宝丽金,1989-09-01,励志,心情,壮志雄心,李克勤,,http://musicdata.baidu.com/data2/lrc/273300/273300.lrc,3
3,《忘不了你》,宝丽金,2007-09-01,励志,心情,只要有你一起唱,孙楠,,http://musicdata.baidu.com/data2/lrc/13917101/13917101.lrc,3
3,《一个人的战役》,宝丽金,2005-04-01,励志,心情,I Can,黄征,,http://musicdata.baidu.com/data2/lrc/270290/270290.lrc,3
