,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《意外》,海蝶音乐,2013-11-11,安静,心情,你还要我怎样,薛之谦,,http://musicdata.baidu.com/data2/lrc/238665983/238665983.lrc,1
1,《天籁 Studio Version 》,Sony Music,2017-10-12,安静,心情,一生所爱,莫文蔚,,http://musicdata.baidu.com/data2/lrc/5fa48564d9aad008bfb4eb7a0da365d7/559950901/559950901.lrc,1
1,《安和桥北》,摩登天空,2013-08-26,安静,心情,安和桥,宋冬野,,http://musicdata.baidu.com/data2/lrc/241648644/241648644.lrc,1
1,《赤裸裸》,红星生产社,1994-06-01,安静,心情,灰姑娘,郑钧,,http://musicdata.baidu.com/data2/lrc/3609d0f547142304a8513a8a05287bc1/544125567/544125567.lrc,1
1,《似水流年》,泰达唱片,2003-09-01,安静,心情,传奇,李健,,http://musicdata.baidu.com/data2/lrc/239724694/239724694.lrc,1
1,《In Celebration Of Life》,SONY MUSIC,1991-11-12,安静,心情,Santorini,Yanni,,http://musicdata.baidu.com/data2/lrc/59364c1d9fa37d5ce3a7d440cd85ca4f/259145261/259145261.lrc,1
1,《宠爱 张国荣》,滚石唱片,1995-07-01,安静,心情,当爱已成往事,张国荣,,http://musicdata.baidu.com/data2/lrc/13833389/13833389.lrc,1
1,《The Line-Up》,英皇唱片,2002-07-24,安静,心情,人来人往,陈奕迅,,http://musicdata.baidu.com/data2/lrc/240908342/240908342.lrc,1
1,《In My Time》,SONY MUSIC,1993-04-06,安静,心情,The End Of August,Yanni,,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288833485/288833485.lrc,1
1,《敲敲我的头》,BMG,1998-08-01,安静,心情,相见恨晚,彭佳慧,,http://musicdata.baidu.com/data2/lrc/13765546/13765546.lrc,1
1,《绝对收藏》,SONY MUSIC,2008-07-24,安静,心情,离人,林志炫,,http://musicdata.baidu.com/data2/lrc/240464942/240464942.lrc,1
1,轻音乐,SONY MUSIC,2008-07-24,安静,心情,小步舞曲,贝多芬,,http://musicdata.baidu.com/data2/lrc/240464942/240464942.lrc,1
1,《时间煮雨》,天娱,2013-05-28,安静,心情,时间煮雨,郁可唯,,http://musicdata.baidu.com/data2/lrc/245893864/245893864.lrc,1
1,《Surfacing》,Arista,1997-09-01,安静,心情,Angel,Sarah McLachlan,,http://musicdata.baidu.com/data2/lrc/241735922/241735922.lrc,1
