,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《苏格拉没有底》,海蝶音乐,2011-04-01,想念,心情,微博控,许嵩,,http://musicdata.baidu.com/data2/lrc/20239332/20239332.lrc,1
1,《Twins X At17 拉阔音乐会》,海蝶音乐,2005-09-23,想念,心情,下一站天后,Twins,,http://musicdata.baidu.com/data2/lrc/13859254/13859254.lrc,1
1,《英皇冠军精选No.1》,海蝶音乐,2005-04-22,想念,心情,下一站天后,Twins,,http://musicdata.baidu.com/data2/lrc/949462/949462.lrc,1
1,《光阴似健 1987-1997》,滚石唱片,1997-11-01,想念,心情,风雨无阻,周华健,,http://musicdata.baidu.com/data2/lrc/23477589/23477589.lrc,1
1,《精选Ii》,福茂唱片,2002-04-16,想念,心情,好想好好爱你,周蕙,,http://musicdata.baidu.com/data2/lrc/13844486/13844486.lrc,1
1,《抱一抱》,SONY MUSIC,2001-03-26,想念,心情,我爱的人,陈小春,,http://musicdata.baidu.com/data2/lrc/240153868/240153868.lrc,1
1,《祝褔》,环球唱片,1993-11-09,想念,心情,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/13760575/13760575.lrc,1
1,《影歌集 - 25年香港经典电影歌曲》,环球唱片,1993-11-09,想念,心情,忘了忘不了,张柏芝,,http://musicdata.baidu.com/data2/lrc/240400751/240400751.lrc,1
1,《爱与交响曲演唱会》,环球唱片,1996-04-18,想念,心情,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/852aaf82afc349d56f501496fe2478e9/257170668/257170668.lrc,1
1,《张学友4合1珍藏集》,环球唱片,2009-07-14,想念,心情,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/14742086/14742086.lrc,1
1,《My 1St Collection》,环球唱片,2007-12-28,想念,心情,期待,张敬轩,,http://musicdata.baidu.com/data2/lrc/14850379/14850379.lrc,1
1,《1 (壹)》,力行网际,2009-12-23,想念,心情,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/14878641/14878641.lrc,1
1,《张学友1987-1999经典演唱会全集》,环球唱片,2003-12-18,想念,心情,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/7326401/7326401.lrc,1
1,《国语经典101》,环球唱片,2009-12-29,想念,心情,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/13863940/13863940.lrc,1
1,《国语经典101》,环球唱片,2009-12-29,想念,心情,别问我是谁,王馨平,,http://musicdata.baidu.com/data2/lrc/240403955/240403955.lrc,1
1,《黑与白 新歌+精选 1985-2004》,环球唱片,2004-09-23,想念,心情,苦恋,张学友,,http://musicdata.baidu.com/data2/lrc/7362844/7362844.lrc,1
1,《爱与交响曲演唱会 / 音乐无疆界演唱会》,环球唱片,2006-08-09,想念,心情,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/7362579/7362579.lrc,1
1,想念,环球唱片,2006-08-09,想念,心情,苦恋,张学友,,http://musicdata.baidu.com/data2/lrc/7362504/7362504.lrc,1
1,《我的秘密情人 言承旭 新歌加精选》,SONY MUSIC,2010-01-25,想念,心情,地心引力,言承旭,,http://musicdata.baidu.com/data2/lrc/13916789/13916789.lrc,1
1,《Sing 十年纪念新歌精选辑》,SONY MUSIC,2006-01-01,想念,心情,我爱的人,陈小春,,http://musicdata.baidu.com/data2/lrc/13985507/13985507.lrc,1
2,《绝对痴心.手放开》,SONY MUSIC,2004-11-26,想念,心情,痴心绝对,李圣杰,,http://musicdata.baidu.com/data2/lrc/bf24f3e79c38d527eff3b470bd3682ad/257167772/257167772.lrc,2
2,《爱你》,SONY MUSIC,2004-03-01,想念,心情,羽毛,王心凌,,http://musicdata.baidu.com/data2/lrc/240806984/240806984.lrc,2
2,《第一次》,滚石唱片,1991-12-31,想念,心情,感受,成龙,,http://musicdata.baidu.com/data2/lrc/659960/659960.lrc,2
2,《Such A Better Day (新曲+精选)》,英皇唱片,2004-12-10,想念,心情,下一站天后,Twins,,http://musicdata.baidu.com/data2/lrc/13839708/13839708.lrc,2
2,《我等你》,滚石唱片,2000-01-07,想念,心情,我等你,刘若英,,http://musicdata.baidu.com/data2/lrc/13870121/13870121.lrc,2
2,《三年两语》,环球唱片,1995-11-01,想念,心情,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/241639598/241639598.lrc,2
2,《张学友4In1珍藏集》,环球唱片,2003-09-01,想念,心情,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/13761562/13761562.lrc,2
2,《飞鸟》,滚石唱片,2001-09-14,想念,心情,飞鸟,任贤齐,,http://musicdata.baidu.com/data2/lrc/13914652/13914652.lrc,2
2,《My 1St Collection Cd2》,环球唱片,2007-12-28,想念,心情,期待,张敬轩,,http://musicdata.baidu.com/data2/lrc/13841798/13841798.lrc,2
2,《成龙超级精装大戏主题曲》,环球唱片,1995-01-21,想念,心情,感受,成龙,,http://musicdata.baidu.com/data2/lrc/246649217/246649217.lrc,2
2,《蕙儿绝版》,福茂唱片,2003-02-01,想念,心情,不想让你知道,周蕙,,http://musicdata.baidu.com/data2/lrc/236597/236597.lrc,2
2,《twins 人人弹起》,福茂唱片,2010-03-26,想念,心情,下一站天后,Twins,,http://musicdata.baidu.com/data2/lrc/65206788/65206788.lrc,2
2,《都是夜归人》,环球唱片,1997-01-01,想念,心情,阳光总在风雨后,许美静,,http://musicdata.baidu.com/data2/lrc/a94cafd47897c70755ea685cd7226358/260219497/260219497.lrc,2
2,《爱得比你深》,环球唱片,1994-01-01,想念,心情,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/2131853/2131853.lrc,2
2,《伍乐城 展览-Music Icon》,环球唱片,2005-07-22,想念,心情,下一站天后,Twins,,http://musicdata.baidu.com/data2/lrc/2110274/2110274.lrc,2
2,《新年好》,天中文化,2005-12-10,想念,心情,最想念的季节,张含韵,,http://musicdata.baidu.com/data2/lrc/23152731/23152731.lrc,2
2,《遇见100%幸福 偶像剧情歌最精选》,天中文化,2005-01-12,想念,心情,痴心绝对,李圣杰,,http://musicdata.baidu.com/data2/lrc/31510025/31510025.lrc,2
2,《燃烧爱情》,快乐唱片,1987-01-01,想念,心情,外面的世界,齐秦,,http://musicdata.baidu.com/data2/lrc/13766276/13766276.lrc,2
2,《蕙儿绝版》,福茂唱片,2003-02-01,想念,心情,好想好好爱你,周蕙,,http://musicdata.baidu.com/data2/lrc/207876/207876.lrc,2
2,《滚石香港黄金十年刘若英精选》,滚石唱片,2003-03-14,想念,心情,我等你,刘若英,,http://musicdata.baidu.com/data2/lrc/2077863/2077863.lrc,2
