,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《永远的未央歌 齐豫 橄榄树》,滚石唱片,2006-03-09,深情,心情,摇篮曲,齐豫,,http://musicdata.baidu.com/data2/lrc/6170495/6170495.lrc,1
1,《The One Thing》,滚石唱片,2006-03-09,深情,心情,Said I Loved You...But I Lied,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/10212400/10212400.lrc,1
1,《The Ultimate Collection》,SONY MUSIC,2002-07-08,深情,心情,The Best Of Love,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/9762161/9762161.lrc,1
1,《我钟意》,SONY MUSIC,2004-07-28,深情,心情,无所不在,梁咏琪,,http://musicdata.baidu.com/data2/lrc/971604/971604.lrc,1
1,《The Ultimate Collection》,SONY MUSIC,2002-07-08,深情,心情,Missing You Now,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/9762128/9762128.lrc,1
1,《The Ultimate Collection》,SONY MUSIC,2002-07-08,深情,心情,Said I Loved You...But I Lied,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/9762098/9762098.lrc,1
1,《The Ultimate Collection》,SONY MUSIC,2002-07-08,深情,心情,When A Man Loves A Woman,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/9762082/9762082.lrc,1
1,《The Ultimate Collection》,SONY MUSIC,2002-07-08,深情,心情,Lean On Me,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/12614227/12614227.lrc,1
1,《Invincible》,Epic/CTI,2001-10-30,深情,心情,Break Of Dawn,Michael Jackson,,http://musicdata.baidu.com/data2/lrc/14917562/14917562.lrc,1
1,《Happy Girl》,环球唱片,2006-08-01,深情,心情,面红,陈慧琳,,http://musicdata.baidu.com/data2/lrc/966963/966963.lrc,1
1,《不孤单》,英皇唱片,2004-02-01,深情,心情,真空,王杰,,http://musicdata.baidu.com/data2/lrc/941289/941289.lrc,1
1,《偏爱你》,BMG,1996-12-01,深情,心情,爱的原罪,郑伊健,,http://musicdata.baidu.com/data2/lrc/11111095/11111095.lrc,1
1,《The Soul Provider: The Best Of Michael Bolton》,SONY MUSIC,2009-03-30,深情,心情,Missing You Now,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/8735749/8735749.lrc,1
1,《The Soul Provider: The Best Of Michael Bolton》,SONY MUSIC,2009-03-30,深情,心情,When A Man Loves A Woman,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/8735740/8735740.lrc,1
1,《The Soul Provider: The Best Of Michael Bolton》,SONY MUSIC,2009-03-30,深情,心情,Said I Loved You...But I Lied,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/8735693/8735693.lrc,1
1,《The One》,SONY MUSIC,2005-04-07,深情,心情,Don'T Wanna Try,Frankie J,,http://musicdata.baidu.com/data2/lrc/12591734/12591734.lrc,1
1,《The Soul Provider: The Best Of Michael Bolton》,SONY MUSIC,2009-03-30,深情,心情,The Best Of Love,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/8735559/8735559.lrc,1
1,《The Soul Provider: The Best Of Michael Bolton》,SONY MUSIC,2009-03-30,深情,心情,Lean On Me,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/12591547/12591547.lrc,1
1,《Rendevous (Remastered)》,环球唱片,2009-07-14,深情,心情,Full Moon,Sandy Denny,,http://musicdata.baidu.com/data2/lrc/12587928/12587928.lrc,1
1,《生生世世》,滚石唱片,1995-12-22,深情,心情,别后无恙,陈淑桦,,http://musicdata.baidu.com/data2/lrc/843595/843595.lrc,1
2,《第一楠主角》,星工场,2003-08-01,深情,心情,一生约定,孙楠,,http://musicdata.baidu.com/data2/lrc/b4919ae736fe12a7b58f13df55f439df/257169973/257169973.lrc,2
2,《Playlist: The Very Best Of Michael Bolton》,SONY MUSIC,2009-04-13,深情,心情,When A Man Loves A Woman,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/7897950/7897950.lrc,2
2,《你怎么没看见》,滚石唱片,1996-11-01,深情,心情,抒情,巫奇,,http://musicdata.baidu.com/data2/lrc/114770360/114770360.lrc,2
2,《很爱很爱你》,滚石唱片,1998-01-01,深情,心情,花季未了,刘若英,,http://musicdata.baidu.com/data2/lrc/749110/749110.lrc,2
2,《The Essential Michael Bolton》,SONY MUSIC,2010-09-27,深情,心情,The Best Of Love,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/7583676/7583676.lrc,2
2,《The Essential Michael Bolton》,SONY MUSIC,2010-09-27,深情,心情,Lean On Me,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/12744197/12744197.lrc,2
2,《The Essential Michael Bolton》,SONY MUSIC,2010-09-27,深情,心情,Said I Loved You...But I Lied,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/7583671/7583671.lrc,2
2,《The Essential Michael Bolton》,SONY MUSIC,2010-09-27,深情,心情,Missing You Now,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/7583670/7583670.lrc,2
2,《The Essential Michael Bolton》,SONY MUSIC,2010-09-27,深情,心情,When A Man Loves A Woman,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/7583669/7583669.lrc,2
2,《Michael Bolton》,SONY MUSIC,2010-02-10,深情,心情,The Best Of Love,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/7583514/7583514.lrc,2
2,《Michael Bolton》,SONY MUSIC,2010-02-10,深情,心情,Missing You Now,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/7583513/7583513.lrc,2
2,《Michael Bolton》,SONY MUSIC,2010-02-10,深情,心情,When A Man Loves A Woman,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/7583508/7583508.lrc,2
2,《Michael Bolton The Very Best》,SONY MUSIC,2010-02-10,深情,心情,Missing You Now,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/7454507/7454507.lrc,2
