,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《Barry Manilow I》,SONY MUSIC,1991-06-17,激情,心情,Oh My Lady,Barry Manilow,,http://musicdata.baidu.com/data2/lrc/14930669/14930669.lrc,1
1,《The Innocent Age》,SONY MUSIC,1993-06-07,激情,心情,Lost In The Sun,Dan Fogelberg,,http://musicdata.baidu.com/data2/lrc/12613674/12613674.lrc,1
1,《David Cook》,SONY MUSIC,2008-11-18,激情,心情,Light On,David Cook,,http://musicdata.baidu.com/data2/lrc/9677124/9677124.lrc,1
1,《Go Your Own Way》,SONY MUSIC,2003-09-26,激情,心情,Skeletons,Gareth Gates,,http://musicdata.baidu.com/data2/lrc/9097184/9097184.lrc,1
1,《Go Your Own Way》,SONY MUSIC,2003-09-26,激情,心情,It Happens Every Time,Gareth Gates,,http://musicdata.baidu.com/data2/lrc/9097180/9097180.lrc,1
1,《Music Of The Heart  The Album》,SONY MUSIC,1999-10-06,激情,心情,Baila,Jennifer Lopez,,http://musicdata.baidu.com/data2/lrc/114691523/114691523.lrc,1
1,《Lotus》,SONY MUSIC,1993-06-07,激情,心情,Black Magic Woman,Santana,,http://musicdata.baidu.com/data2/lrc/12600463/12600463.lrc,1
1,《偏爱你》,BMG,1996-12-01,激情,心情,至少还有我,郑伊健,,http://musicdata.baidu.com/data2/lrc/11110633/11110633.lrc,1
1,《Back To Bedlam》,BMG,2010-11-16,激情,心情,No Bravery,James Blunt,,http://musicdata.baidu.com/data2/lrc/880301/880301.lrc,1
1,《Wonderland》,环球唱片,2006-02-02,激情,心情,Nothing,McFly,,http://musicdata.baidu.com/data2/lrc/880109/880109.lrc,1
1,《See You Again》,环球唱片,2008-12-01,激情,心情,See You Again,Miley Cyrus,,http://musicdata.baidu.com/data2/lrc/239772862/239772862.lrc,1
1,《High School Musical 3: Senior Year》,环球唱片,2008-12-01,激情,心情,Scream,"High School Musical Cast,Zac Efron",,http://musicdata.baidu.com/data2/lrc/239782968/239782968.lrc,1
1,《Just My Luck》,环球唱片,2006-06-12,激情,心情,I'Ll Be Ok,McFly,,http://musicdata.baidu.com/data2/lrc/12586249/12586249.lrc,1
1,《Diana》,环球唱片,2010-01-22,激情,心情,Give Up,Diana Ross,,http://musicdata.baidu.com/data2/lrc/12581785/12581785.lrc,1
1,《Knee Deep In The Hoopla》,SONY MUSIC,1999-07-23,激情,心情,Sara,Starship,,http://musicdata.baidu.com/data2/lrc/8559405/8559405.lrc,1
1,《Knee Deep In The Hoopla》,SONY MUSIC,1999-07-23,激情,心情,We Built This City,Starship,,http://musicdata.baidu.com/data2/lrc/107083785/107083785.lrc,1
1,《No Boundaries》,SONY MUSIC,2009-05-18,激情,心情,No Boundaries,Adam Lambert,,http://musicdata.baidu.com/data2/lrc/15026412/15026412.lrc,1
1,《Most Wanted》,环球唱片,2013-11-15,激情,心情,Girl Can Rock,Hilary Duff,,http://musicdata.baidu.com/data2/lrc/8300337/8300337.lrc,1
1,《Makes Me Wonder》,环球唱片,2009-04-30,激情,心情,The Way I Was,Maroon 5,,http://musicdata.baidu.com/data2/lrc/240110327/240110327.lrc,1
1,《Xan Valleys》,环球唱片,2006-10-21,激情,心情,Atlantis To Interzone,Klaxons,,http://musicdata.baidu.com/data2/lrc/114872819/114872819.lrc,1
2,《Songs About Jane》,环球唱片,2007-04-30,激情,心情,Tangled,Maroon 5,,http://musicdata.baidu.com/data2/lrc/240111128/240111128.lrc,2
2,《Songs About Jane》,环球唱片,2007-04-30,激情,心情,She Will Be Loved,Maroon 5,,http://musicdata.baidu.com/data2/lrc/246979970/246979970.lrc,2
2,《United By Fate》,环球唱片,2002-02-25,激情,心情,Used For Glue,Rival Schools,,http://musicdata.baidu.com/data2/lrc/3273467e5b4a9478d9a9ff7837326a7f/288821381/288821381.lrc,2
2,《Street Love》,环球唱片,2007-03-21,激情,心情,Streetlove,Lloyd,,http://musicdata.baidu.com/data2/lrc/10299633/10299633.lrc,2
2,《It'S About Time》,环球唱片,2004-05-31,激情,心情,Dip It Low,Christina Milian,,http://musicdata.baidu.com/data2/lrc/8048593/8048593.lrc,2
2,《Use Your Illusion I》,Geffen Records,1991-09-17,激情,心情,Don'T Cry (Original),Guns N' Roses,,http://musicdata.baidu.com/data2/lrc/240152606/240152606.lrc,2
2,《3》,Jive,2009-10-02,激情,心情,3,Britney Spears,,http://musicdata.baidu.com/data2/lrc/240192142/240192142.lrc,2
2,《Control Room - Live Ep》,SONY MUSIC,2008-04-15,激情,心情,Hot (live),Avril Lavigne,,http://musicdata.baidu.com/data2/lrc/7976f29d9705cde22434c4f0d8788be2/271679812/271679812.lrc,2
2,《It Won'T Be Soon Before Long》,环球唱片,2007-05-21,激情,心情,Losing My Mind,Maroon 5,,http://musicdata.baidu.com/data2/lrc/240277913/240277913.lrc,2
2,《It Won'T Be Soon Before Long》,环球唱片,2007-05-21,激情,心情,Little Of Your Time,Maroon 5,,http://musicdata.baidu.com/data2/lrc/b854f9373e4a0e3cc6e4434fe69525a6/262354954/262354954.lrc,2
2,《It Won'T Be Soon Before Long》,环球唱片,2007-05-21,激情,心情,Makes Me Wonder,Maroon 5,,http://musicdata.baidu.com/data2/lrc/7585060/7585060.lrc,2
2,《Monkey Business》,环球唱片,2014-03-22,激情,心情,My Humps,The Black Eyed Peas,,http://musicdata.baidu.com/data2/lrc/12750406/12750406.lrc,2
2,《Sam's Town》,环球唱片,2008-05-13,激情,心情,Read My Mind,The Killers,,http://musicdata.baidu.com/data2/lrc/7584971/7584971.lrc,2
2,《鲍家街43号》,北京京文唱片传播有限公司,1997-06-01,激情,心情,小鸟,鲍家街43号,,http://musicdata.baidu.com/data2/lrc/240280332/240280332.lrc,2
2,《Carpenters Gold - 35th Anniversary Edition》,环球唱片,2004-08-09,激情,心情,A Song For You,Carpenters,,http://musicdata.baidu.com/data2/lrc/240281091/240281091.lrc,2
2,《那条街》,滚石唱片,2003-07-25,激情,心情,借口,林佑威,,http://musicdata.baidu.com/data2/lrc/749040/749040.lrc,2
2,《Tambourine》,环球唱片,2014-04-07,激情,心情,Tambourine,Eve,,http://musicdata.baidu.com/data2/lrc/31520055/31520055.lrc,2
2,《Happiness》,SONY MUSIC,2010-09-06,激情,心情,"Blood, Tears & Gold",Hurts,,http://musicdata.baidu.com/qukulrc/xiami_lrc/85b4dae622a8cc5364419bc1f3b4e72e.lrc,2
2,《得心应手演唱会2006》,环球唱片,2006-03-31,激情,心情,Victory,李克勤,,http://musicdata.baidu.com/data2/lrc/12729635/12729635.lrc,2
2,《太极年代-新时代+好时代精选》,环球唱片,2009-12-28,激情,心情,顶天立地,太极,,http://musicdata.baidu.com/data2/lrc/7362852/7362852.lrc,2
