,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《冷酷到底》,滚石唱片,2000-09-01,甜蜜,心情,彩虹,羽泉,,http://musicdata.baidu.com/data2/lrc/239127916/239127916.lrc,1
1,《阿牛陈庆祥个人第一张创作专辑》,滚石唱片,1998-12-11,甜蜜,心情,大肚腩,阿牛,,http://musicdata.baidu.com/data2/lrc/13844329/13844329.lrc,1
1,《原色》,环球唱片,2011-08-26,甜蜜,心情,被遗忘的,杨宗纬,,http://musicdata.baidu.com/data2/lrc/239705204/239705204.lrc,1
1,《Grown & Sexy》,SONY MUSIC,2005-10-06,甜蜜,心情,She,Babyface,,http://musicdata.baidu.com/data2/lrc/239780202/239780202.lrc,1
1,《What A Heart Is Beating For》,SONY MUSIC,2007-07-17,甜蜜,心情,Lemonade,Chris Rice,,http://musicdata.baidu.com/data2/lrc/239780542/239780542.lrc,1
1,《Aquarius》,环球唱片,2000-02-28,甜蜜,心情,Around The World,Aqua,,http://musicdata.baidu.com/data2/lrc/14944562/14944562.lrc,1
1,《First Time》,BMG,2000-01-01,甜蜜,心情,甘愿,彭佳慧,,http://musicdata.baidu.com/data2/lrc/240076625/240076625.lrc,1
1,《Beautiful Soul》,环球唱片,2009-03-31,甜蜜,心情,Beautiful Soul,Jesse Mccartney,,http://musicdata.baidu.com/data2/lrc/15367130/15367130.lrc,1
1,《最初的梦想》,福茂唱片,2004-05-01,甜蜜,心情,有你真好,"范玮琪,杨丞琳",,http://musicdata.baidu.com/data2/lrc/240110352/240110352.lrc,1
1,《两极》,滚石唱片,2004-12-31,甜蜜,心情,眼泪没有用,任贤齐,,http://musicdata.baidu.com/data2/lrc/6b8746873e35b543688e348f386067f4/267653293/267653293.lrc,1
1,《E=Mc²》,滚石唱片,2008-04-14,甜蜜,心情,Bye Bye,Mariah Carey,,http://musicdata.baidu.com/data2/lrc/240276390/240276390.lrc,1
1,《Lollipop》,环球唱片,2007-12-21,甜蜜,心情,Lollipop,Mika,,http://musicdata.baidu.com/data2/lrc/246654565/246654565.lrc,1
1,《The Show》,SONY MUSIC,2009-09-07,甜蜜,心情,The Show,Lenka,,http://musicdata.baidu.com/data2/lrc/240321107/240321107.lrc,1
1,"《爱,一直存在》",环球唱片,2009-11-20,甜蜜,心情,满满,"梁文音,王铮亮",,http://musicdata.baidu.com/data2/lrc/12729934/12729934.lrc,1
1,《C'Est La V》,环球唱片,2011-07-15,甜蜜,心情,命定,吴建豪,,http://musicdata.baidu.com/data2/lrc/13875175/13875175.lrc,1
1,《Stranger Under My Skin》,环球唱片,2011-02-22,甜蜜,心情,等你爱我,陈奕迅,,http://musicdata.baidu.com/data2/lrc/240403435/240403435.lrc,1
1,《别亦难》,环球唱片,2009-07-14,甜蜜,心情,心恋,徐小凤,,http://musicdata.baidu.com/data2/lrc/13765100/13765100.lrc,1
1,《A Little Love》,SONY MUSIC,2008-05-26,甜蜜,心情,避风港,冯曦妤,,http://musicdata.baidu.com/data2/lrc/13854878/13854878.lrc,1
1,《A Little Love》,SONY MUSIC,2008-05-26,甜蜜,心情,A Little Love,冯曦妤,,http://musicdata.baidu.com/data2/lrc/240464250/240464250.lrc,1
1,《Start From Here》,SONY MUSIC,2008-05-06,甜蜜,心情,I Love You,王若琳,,http://musicdata.baidu.com/data2/lrc/240464896/240464896.lrc,1
2,《男女情歌对唱冠军全记录》,SONY MUSIC,2007-02-02,甜蜜,心情,爱的天使,"蔡依林,安志杰",,http://musicdata.baidu.com/data2/lrc/13907814/13907814.lrc,2
2,《哈林天堂》,SONY MUSIC,2003-06-02,甜蜜,心情,春泥,庾澄庆,,http://musicdata.baidu.com/data2/lrc/240465535/240465535.lrc,2
2,《All Of You》,环球唱片,2013-08-27,甜蜜,心情,I Do,Colbie Caillat,,http://musicdata.baidu.com/data2/lrc/240705072/240705072.lrc,2
2,《Femme Fatale》,SONY MUSIC,2011-03-28,甜蜜,心情,Hold It Against Me,Britney Spears,,http://musicdata.baidu.com/data2/lrc/240706850/240706850.lrc,2
2,《很爱很爱你》,滚石唱片,1998-01-01,甜蜜,心情,很爱很爱你,刘若英,,http://musicdata.baidu.com/data2/lrc/240880281/240880281.lrc,2
2,《挚爱》,潮水音乐,1997-03-31,甜蜜,心情,多想,张信哲,,http://musicdata.baidu.com/data2/lrc/240890148/240890148.lrc,2
2,《坚持到底》,海蝶音乐,2002-11-29,甜蜜,心情,天蝎蝴蝶,阿杜,,http://musicdata.baidu.com/data2/lrc/240913462/240913462.lrc,2
2,《情义》,海蝶音乐,2004-03-25,甜蜜,心情,爱的路上只有我和你,任贤齐,,http://musicdata.baidu.com/data2/lrc/240921232/240921232.lrc,2
2,《十八般武艺》,SONY MUSIC,2010-08-13,甜蜜,心情,柴米油盐酱醋茶,王力宏,,http://musicdata.baidu.com/data2/lrc/547372/547372.lrc,2
2,《808》,环球唱片,2011-01-14,甜蜜,心情,小小蚂蚁,潘玮柏,,http://musicdata.baidu.com/data2/lrc/241599793/241599793.lrc,2
2,《808》,环球唱片,2011-01-14,甜蜜,心情,我的电话,潘玮柏,,http://musicdata.baidu.com/data2/lrc/241599799/241599799.lrc,2
2,《蓝短裤》,滚石唱片,2010-05-05,甜蜜,心情,暖心,郁可唯,,http://musicdata.baidu.com/data2/lrc/241609535/241609535.lrc,2
2,《调色盘》,阿尔发,2006-05-26,甜蜜,心情,悄悄告诉她,南拳妈妈,,http://musicdata.baidu.com/data2/lrc/246650721/246650721.lrc,2
2,《花心》,滚石唱片,1993-04-20,甜蜜,心情,花心,周华健,,http://musicdata.baidu.com/data2/lrc/241641052/241641052.lrc,2
2,《一夜长大》,滚石唱片,1999-09-17,甜蜜,心情,对不起我爱你,梁静茹,,http://musicdata.baidu.com/data2/lrc/241644053/241644053.lrc,2
2,《因为女人说》,力行网际,2009-12-18,甜蜜,心情,月儿弯,彭佳慧,,http://musicdata.baidu.com/data2/lrc/241665260/241665260.lrc,2
2,《God Is A Girl》,环球唱片,2002-11-11,甜蜜,心情,Only Love,Groove Coverage,,http://musicdata.baidu.com/data2/lrc/16300152/16300152.lrc,2
2,《The Trick To Life》,SONY MUSIC,2008-01-25,甜蜜,心情,Goodbye Mr A,The Hoosiers,,http://musicdata.baidu.com/data2/lrc/13986282/13986282.lrc,2
2,《100 Miles From Memphis》,环球唱片,2014-09-01,甜蜜,心情,100 Miles From Memphis,Sheryl Crow,,http://musicdata.baidu.com/data2/lrc/131698468/131698468.lrc,2
2,《Ocean Eyes》,环球唱片,2010-01-16,甜蜜,心情,The Saltwater Room,Owl City,,http://musicdata.baidu.com/data2/lrc/246649789/246649789.lrc,2
3,《桃花朵朵开》,环球唱片,2006-01-13,甜蜜,心情,桃花朵朵开,阿牛,,http://musicdata.baidu.com/data2/lrc/14882160/14882160.lrc,3
3,《离婚前规则 电视原声带》,弦知音文化,2012-12-19,甜蜜,心情,一加一,"王铮亮,路阳阳",,http://musicdata.baidu.com/data2/lrc/65430170/65430170.lrc,3
3,《梦里花》,福茂唱片,2007-01-12,甜蜜,心情,C大调,张韶涵,,http://musicdata.baidu.com/data2/lrc/14894337/14894337.lrc,3
3,《曹操》,海蝶音乐,2006-02-17,甜蜜,心情,사랑해요 只对你说,林俊杰,,http://musicdata.baidu.com/data2/lrc/13868081/13868081.lrc,3
