,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,青春,福茂唱片,2003-05-28,轻松,心情,燕衔泥,眉佳,,http://musicdata.baidu.com/data2/lrc/14387458/14387458.lrc,1
1,《双电子琴-琴之恋3》,恒大音乐,2008-09-01,轻松,心情,小城故事,余晖&林建明,,http://musicdata.baidu.com/data2/lrc/14387458/14387458.lrc,1
1,《What Makes You Beautiful》,SONY MUSIC,2011-10-31,轻松,心情,What Makes You Beautiful,One Direction,,http://musicdata.baidu.com/data2/lrc/241272380/241272380.lrc,1
1,《Happy》,SONY MUSIC,2014-02-08,轻松,心情,Happy,Pharrell Williams,,http://musicdata.baidu.com/data2/lrc/239765502/239765502.lrc,1
1,《The Show》,SONY MUSIC,2009-09-07,轻松,心情,The Show,Lenka,,http://musicdata.baidu.com/data2/lrc/240321107/240321107.lrc,1
1,《All The Little Lights》,SONY MUSIC,2013-05-27,轻松,心情,Let Her Go,Passenger,,http://musicdata.baidu.com/data2/lrc/35400108/35400108.lrc,1
1,《说到爱》,亚神音乐,2011-11-18,轻松,心情,别找我麻烦,蔡健雅,,http://musicdata.baidu.com/data2/lrc/13776431/13776431.lrc,1
1,《OK》,滚石唱片,2007-07-06,轻松,心情,小宇,张震岳,,http://musicdata.baidu.com/data2/lrc/14497005/14497005.lrc,1
1,《似水流年》,泰达唱片,2003-09-01,轻松,心情,远,李健,,http://musicdata.baidu.com/data2/lrc/13885862/13885862.lrc,1
1,《Happenstance》,SONY MUSIC,2005-02-11,轻松,心情,Be Be Your Love,Rachael Yamagata,,http://musicdata.baidu.com/data2/lrc/239804482/239804482.lrc,1
1,《我很张含韵》,天中文化,2005-07-20,轻松,心情,酸酸甜甜就是我,张含韵,,http://musicdata.baidu.com/data2/lrc/240111029/240111029.lrc,1
1,"《杜德伟独领风骚20年新歌,精选》",滚石唱片,2005-05-17,轻松,心情,无心伤害,杜德伟,,http://musicdata.baidu.com/data2/lrc/13996026/13996026.lrc,1
1,"《杜德伟独领风骚20年新歌,精选》",滚石唱片,2005-05-17,轻松,心情,Young For You,GALA,,http://musicdata.baidu.com/data2/lrc/13767278/13767278.lrc,1
1,《苏格拉没有底》,海蝶音乐,2011-04-01,轻松,心情,微博控,许嵩,,http://musicdata.baidu.com/data2/lrc/20239332/20239332.lrc,1
1,《恋恋风尘》,太合麦田,1995-05-01,轻松,心情,美人,老狼,,http://musicdata.baidu.com/data2/lrc/246645789/246645789.lrc,1
1,《What A Heart Is Beating For》,SONY MUSIC,2007-07-17,轻松,心情,Lemonade,Chris Rice,,http://musicdata.baidu.com/data2/lrc/239780542/239780542.lrc,1
1,《天使兄弟小白脸》,滚石唱片,2000-12-05,轻松,心情,希望你明年冬天会回来,任贤齐,,http://musicdata.baidu.com/data2/lrc/14933343/14933343.lrc,1
1,《Spin》,SONY MUSIC,2002-03-18,轻松,心情,Creepin' Up On You,Darren Hayes,,http://musicdata.baidu.com/data2/lrc/246661298/246661298.lrc,1
1,《天使兄弟小白脸》,滚石唱片,2000-12-05,轻松,心情,天使也一样,任贤齐,,http://musicdata.baidu.com/data2/lrc/240281142/240281142.lrc,1
1,《J女神 影音典藏精选》,独立发行,2012-09-07,轻松,心情,许愿池的希腊少女,蔡依林,,http://musicdata.baidu.com/data2/lrc/246649711/246649711.lrc,1
2,《预谋邂逅》,摩登天空,2013-07-25,轻松,心情,预谋邂逅,阿肆,,http://musicdata.baidu.com/data2/lrc/240884090/240884090.lrc,2
2,"《Hey, Soul Sister》",Columbia Records,2009-08-10,轻松,心情,"Hey, Soul Sister",Train,,http://musicdata.baidu.com/data2/lrc/246654952/246654952.lrc,2
2,《双电子琴-琴之恋1》,恒大音乐,2008-09-01,轻松,心情,说句心里话,余晖&林建明,,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288835082/288835082.lrc,2
2,《Spin》,SONY MUSIC,2002-03-18,轻松,心情,I Miss You,Darren Hayes,,http://musicdata.baidu.com/data2/lrc/239779777/239779777.lrc,2
2,《Ten New Songs》,SONY MUSIC,2001-10-09,轻松,心情,In My Secret Life,Leonard Cohen,,http://musicdata.baidu.com/data2/lrc/31517657/31517657.lrc,2
2,《The Heat》,SONY MUSIC,2003-03-11,轻松,心情,Fairy Tale,Toni Braxton,,http://musicdata.baidu.com/data2/lrc/13849443/13849443.lrc,2
2,《当初就不应该学吉他》,摩登天空,2014-04-24,轻松,心情,我能chua,马飞,,http://musicdata.baidu.com/data2/lrc/240701098/240701098.lrc,2
2,《The Best Of Bobby Vinton》,SONY MUSIC,2004-07-15,轻松,心情,Sealed With A Kiss,Bobby Vinton,,http://musicdata.baidu.com/data2/lrc/239769482/239769482.lrc,2
2,《爱炫舞盛装舞曲精选》,SONY MUSIC,2010-09-13,轻松,心情,野蛮游戏,蔡依林,,http://musicdata.baidu.com/data2/lrc/240463799/240463799.lrc,2
2,《Into White》,SONY MUSIC,2007-02-05,轻松,心情,You Are My Sunshine,Carly Simon,,http://musicdata.baidu.com/data2/lrc/64559707/64559707.lrc,2
2,《2Cellos》,SONY MUSIC,2011-06-13,轻松,心情,With Or Without You,2Cellos,,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288824307/288824307.lrc,2
2,《My Life Will…》,SONY MUSIC,2006-06-09,轻松,心情,Scream,张悬,,http://musicdata.baidu.com/data2/lrc/240705915/240705915.lrc,2
2,《岁月流声(新曲+精选)》,SONY MUSIC,2002-11-01,轻松,心情,岁月的童话,罗嘉良,,http://musicdata.baidu.com/data2/lrc/239154927/239154927.lrc,2
2,《Beautiful Girls》,SONY MUSIC,2007-07-23,轻松,心情,Beautiful Girls,Sean Kingston,,http://musicdata.baidu.com/data2/lrc/239474447/239474447.lrc,2
2,当代民谣,SONY MUSIC,2007-07-23,轻松,心情,我想我不够好,回音哥,,http://musicdata.baidu.com/data2/lrc/241612266/241612266.lrc,2
2,《预谋邂逅》,摩登天空,2013-07-25,轻松,心情,微凉的心跳,阿肆,,http://musicdata.baidu.com/data2/lrc/240884058/240884058.lrc,2
2,《One Thing》,SONY MUSIC,2012-02-13,轻松,心情,One Thing,One Direction,,http://musicdata.baidu.com/data2/lrc/15322302/15322302.lrc,2
2,新灵魂乐,SONY MUSIC,2012-02-13,轻松,心情,远走高飞,T榜,,http://musicdata.baidu.com/data2/lrc/7edf21c81cbcd0910a1c313a88c04dd7/271974849/271974849.lrc,2
2,《我是海雅谷慕》,滚石唱片,2013-07-05,轻松,心情,我家门前有大海,张震岳,,http://musicdata.baidu.com/data2/lrc/241631051/241631051.lrc,2
2,《Life On A Rock》,SONY MUSIC,2013-05-06,轻松,心情,When I See This Bar,Kenny Chesney,,http://musicdata.baidu.com/data2/lrc/91957970/91957970.lrc,2
3,《Lenka》,SONY MUSIC,2008-09-23,轻松,心情,Skipalong,Lenka,,http://musicdata.baidu.com/data2/lrc/240455841/240455841.lrc,3
3,《如果没有你》,SONY MUSIC,2006-04-06,轻松,心情,Fire,莫文蔚,,http://musicdata.baidu.com/data2/lrc/240465517/240465517.lrc,3
3,《Essential - Easy Listening》,SONY MUSIC,2010-01-25,轻松,心情,Longer,Dan Fogelberg,,http://musicdata.baidu.com/data2/lrc/240281629/240281629.lrc,3
3,《Play On》,SONY MUSIC,2013-10-14,轻松,心情,Undo It,Carrie Underwood,,http://musicdata.baidu.com/data2/lrc/15431440/15431440.lrc,3
3,《Music From And Inspired By The Big C》,SONY MUSIC,2011-06-06,轻松,心情,Sunshine Goodtime,Minnutes,,http://musicdata.baidu.com/data2/lrc/240461137/240461137.lrc,3
3,《white turns blue》,SONY MUSIC,SONY唱片,轻松,心情,Just A Little Bit,Maria Mena,,http://musicdata.baidu.com/data2/lrc/239769243/239769243.lrc,3
3,《More Beautiful You》,SONY MUSIC,2009-05-04,轻松,心情,Stand For You,Jonny Diaz,,http://musicdata.baidu.com/data2/lrc/241654236/241654236.lrc,3
3,《Foster the People》,SONY MUSIC,2011-01-18,轻松,心情,Pumped Up Kicks,Foster The People,,http://musicdata.baidu.com/data2/lrc/240706285/240706285.lrc,3
3,《失恋事小》,滚石唱片,2012-08-23,轻松,心情,连衣裙,郁可唯,,http://musicdata.baidu.com/data2/lrc/16590943/16590943.lrc,3
3,《The Paul Simon Songbook》,SONY MUSIC,2004-04-12,轻松,心情,The Sound Of Silence,Paul Simon,,http://musicdata.baidu.com/data2/lrc/13910977/13910977.lrc,3
3,《浪漫萨克斯七》,恒大音乐,2008-09-01,轻松,心情,萍聚,刘飞&陈广生,,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288822157/288822157.lrc,3
3,《幸福会不会从天而降》,风火轮音乐,2014-06-10,轻松,心情,幸福会不会从天而降,李柏凝,,http://musicdata.baidu.com/data2/lrc/246646259/246646259.lrc,3
3,《火力全开》,SONY MUSIC,2011-09-30,轻松,心情,星座,王力宏,,http://musicdata.baidu.com/data2/lrc/13766386/13766386.lrc,3
3,《The Adult Storybook》,SONY MUSIC,2009-07-13,轻松,心情,Palpitation,王若琳,,http://musicdata.baidu.com/data2/lrc/246653096/246653096.lrc,3
3,流行说唱,SONY MUSIC,2009-07-13,轻松,心情,你的自信从哪里来？,T榜,,http://musicdata.baidu.com/data2/lrc/21db389b2f9719cbece77a42b1b4ec20/271975225/271975225.lrc,3
3,《谢谢你和我》,新鲜无限,2015-03-13,轻松,心情,谢谢你和我,"邢傲伟,童苡萱",,http://musicdata.baidu.com/data2/lrc/246649197/246649197.lrc,3
3,《Abduction - Original Motion Picture Soundtrack》,SONY MUSIC,2011-09-19,轻松,心情,Loving You Tonight,Andrew Allen,,http://musicdata.baidu.com/data2/lrc/20699325/20699325.lrc,3
3,《恋爱的力量》,滚石唱片,2003-11-25,轻松,心情,Tiffany,梁静茹,,http://musicdata.baidu.com/data2/lrc/13798570/13798570.lrc,3
3,《有问题》,滚石唱片,2000-12-05,轻松,心情,走到底,张震岳,,http://musicdata.baidu.com/data2/lrc/5e4bba078db973abf1408255111f6e7c/245233/245233.lrc,3
3,电子,滚石唱片,2000-12-05,轻松,心情,黑色T恤,T榜,,http://musicdata.baidu.com/data2/lrc/164038995bb56c56a5ef8414fe40e6ac/271978671/271978671.lrc,3
4,《Girls And Boys》,SONY MUSIC,2012-08-20,轻松,心情,The Way I Am,Ingrid Michaelson,,http://musicdata.baidu.com/data2/lrc/23145458/23145458.lrc,4
4,国语流行,SONY MUSIC,2012-08-20,轻松,心情,情人不可靠（新版）,广智,,http://musicdata.baidu.com/data2/lrc/239781398/239781398.lrc,4
4,《Life For Rent》,SONY MUSIC,2008-12-01,轻松,心情,This Land Is Mine,Dido,,http://musicdata.baidu.com/data2/lrc/1221194/1221194.lrc,4
4,《Little Songs》,SONY MUSIC,2015-02-02,轻松,心情,Nothing Better,Jon Guerra,,http://musicdata.baidu.com/data2/lrc/246647210/246647210.lrc,4
4,《I'm OK》,魔音唱片,2014-07-23,轻松,心情,罗密欧,汤雷,,http://musicdata.baidu.com/data2/lrc/240961666/240961666.lrc,4
4,《Tea Time 2》,SONY MUSIC,2012-08-08,轻松,心情,The Sun The Trees,Russian Red,,http://musicdata.baidu.com/data2/lrc/16764741/16764741.lrc,4
4,《Lenka》,SONY MUSIC,2008-09-23,轻松,心情,Bring Me Down,Lenka,,http://musicdata.baidu.com/data2/lrc/240404747/240404747.lrc,4
4,《LIVE!!「今日というこの日を生きていこう」》,SONY MUSIC,2005-07-27,轻松,心情, 太陽さん,玉置浩二,,http://musicdata.baidu.com/data2/lrc/240404747/240404747.lrc,4
4,《Girls I Have Known/ The Intimate Jim Reeves》,索尼音乐,2004-06-26,轻松,心情,Mona Lisa,Jim Reeves,,http://musicdata.baidu.com/data2/lrc/240404747/240404747.lrc,4
