,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,页数
1,《京剧经典精粹》,福茂唱片,1993-06-01,京剧,戏曲,赤桑镇 (二黄散板),京剧经典,http://musicdata.baidu.com/data2/lrc/1461678/1461678.lrc,1
1,《京剧经典精粹》,福茂唱片,1993-06-01,京剧,戏曲,汉宫惊魂 (二黄慢板),京剧经典,http://musicdata.baidu.com/data2/lrc/1461678/1461678.lrc,1
1,《京剧经典精粹》,福茂唱片,1993-06-01,京剧,戏曲,武家坡 (西皮慢板),京剧经典,http://musicdata.baidu.com/data2/lrc/23161788/23161788.lrc,1
1,《京剧经典精粹》,福茂唱片,1993-06-01,京剧,戏曲,三击掌 (西皮二六),京剧经典,http://musicdata.baidu.com/data2/lrc/239147620/239147620.lrc,1
1,《京剧经典精粹》,福茂唱片,1993-06-01,京剧,戏曲,赤桑镇,京剧经典,http://musicdata.baidu.com/data2/lrc/19b50a58a4c627aceeb0121c356cc159/288833040/288833040.lrc,1
1,《京剧经典精粹》,福茂唱片,1993-06-01,京剧,戏曲,汉宫惊魂,京剧经典,http://musicdata.baidu.com/data2/lrc/19b50a58a4c627aceeb0121c356cc159/288833138/288833138.lrc,1
1,《京剧经典精粹》,福茂唱片,1993-06-01,京剧,戏曲,大登殿 (西皮二六),京剧经典,http://musicdata.baidu.com/data2/lrc/28784801/28784801.lrc,1
1,《京剧经典精粹》,福茂唱片,1993-06-01,京剧,戏曲,龙凤呈祥 (西皮慢板),京剧经典,http://musicdata.baidu.com/data2/lrc/70430075/70430075.lrc,1
1,《京剧经典精粹》,福茂唱片,1993-06-01,京剧,戏曲,游龙戏凤(四平调),京剧经典,http://musicdata.baidu.com/data2/lrc/15423892/15423892.lrc,1
1,《京剧经典精粹》,福茂唱片,1993-06-01,京剧,戏曲,空城计,于魁智,http://musicdata.baidu.com/data2/lrc/88621562/88621562.lrc,1
1,《京剧经典精粹》,福茂唱片,1993-06-01,京剧,戏曲,智斗,于魁智,http://musicdata.baidu.com/data2/lrc/19b50a58a4c627aceeb0121c356cc159/288820824/288820824.lrc,1
1,《东方神韵》,福茂唱片,2008-12-01,京剧,戏曲,穆桂英挂帅,孔莹,http://musicdata.baidu.com/data2/lrc/107094492/107094492.lrc,1
1,《太真外传 / 贵妃醉酒》,太合麦田,2016-04-25,京剧,戏曲,唱段6,梅葆玖,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/269022537/269022537.lrc,1
1,《太真外传 / 贵妃醉酒》,太合麦田,2016-04-25,京剧,戏曲,唱段5,梅葆玖,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/269022537/269022537.lrc,1
1,《太真外传 / 贵妃醉酒》,太合麦田,2016-04-25,京剧,戏曲,唱段4,梅葆玖,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/269022537/269022537.lrc,1
1,《太真外传 / 贵妃醉酒》,太合麦田,2016-04-25,京剧,戏曲,唱段3,梅葆玖,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/269022537/269022537.lrc,1
1,《太真外传 / 贵妃醉酒》,太合麦田,2016-04-25,京剧,戏曲,唱段2,梅葆玖,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/269022537/269022537.lrc,1
1,《太真外传 / 贵妃醉酒》,太合麦田,2016-04-25,京剧,戏曲,唱段1,梅葆玖,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/269022540/269022540.lrc,1
1,《太真外传 / 贵妃醉酒》,太合麦田,2016-04-25,京剧,戏曲,天长地久,梅葆玖,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/269022540/269022540.lrc,1
1,《太真外传 / 贵妃醉酒》,太合麦田,2016-04-25,京剧,戏曲,玉真梦会,梅葆玖,http://musicdata.baidu.com/data2/lrc/4d67aab1c4fe2a1856c4462ea6343287/264980951/264980951.lrc,1
2,《太真外传 / 贵妃醉酒》,太合麦田,2016-04-25,京剧,戏曲,翠盘艳舞,梅葆玖,http://musicdata.baidu.com/data2/lrc/3b383ec28f7f2f066fe2d37bd8be4f2c/264979133/264979133.lrc,2
2,《太真外传 / 贵妃醉酒》,太合麦田,2016-04-25,京剧,戏曲,金盆捞月,梅葆玖,http://musicdata.baidu.com/data2/lrc/5d72f59ee8df11a361f1fde5a5329fe2/264978655/264978655.lrc,2
2,《太真外传 / 贵妃醉酒》,太合麦田,2016-04-25,京剧,戏曲,七巧盟誓,梅葆玖,http://musicdata.baidu.com/data2/lrc/85db65beecc0587f99211a43d3d2854e/264978129/264978129.lrc,2
