,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《不要告诉妈妈》,海蝶音乐,2011-06-27,DJ 舞曲,热门,快乐歌谣,王绎龙,,http://musicdata.baidu.com/data2/lrc/27858090/27858090.lrc,1
1,《不要告诉妈妈》,海蝶音乐,2011-06-27,DJ 舞曲,热门,春天的滋味,王绎龙,,http://musicdata.baidu.com/data2/lrc/14912592/14912592.lrc,1
1,《不要告诉妈妈》,海蝶音乐,2011-06-27,DJ 舞曲,热门,请你讲中文,王绎龙,,http://musicdata.baidu.com/data2/lrc/13891033/13891033.lrc,1
1,《不要告诉妈妈》,海蝶音乐,2011-06-27,DJ 舞曲,热门,疯狂abc,王绎龙,,http://musicdata.baidu.com/data2/lrc/14915407/14915407.lrc,1
1,《不要告诉妈妈》,海蝶音乐,2011-06-27,DJ 舞曲,热门,混血女巫,王绎龙,,http://musicdata.baidu.com/data2/lrc/33986947/33986947.lrc,1
1,《不要告诉妈妈》,海蝶音乐,2011-06-27,DJ 舞曲,热门,童年的梦,王绎龙,,http://musicdata.baidu.com/data2/lrc/14923122/14923122.lrc,1
1,《不要告诉妈妈》,海蝶音乐,2011-06-27,DJ 舞曲,热门,不要告诉妈妈,王绎龙,,http://musicdata.baidu.com/data2/lrc/13907934/13907934.lrc,1
1,《I Don't Wanna See No 欧巴桑》,滚石唱片,1994-11-22,DJ 舞曲,热门,China Girl,罗百吉,,http://musicdata.baidu.com/data2/lrc/12454494/12454494.lrc,1
1,《I Don't Wanna See No 欧巴桑》,滚石唱片,1994-11-22,DJ 舞曲,热门,Buyaka,罗百吉,,http://musicdata.baidu.com/data2/lrc/107060112/107060112.lrc,1
1,《I Don't Wanna See No 欧巴桑》,滚石唱片,1994-11-22,DJ 舞曲,热门,DJ Jam,罗百吉,,http://musicdata.baidu.com/data2/lrc/95ec97fd1065af9acd7a23230a63df16/624747/624747.lrc,1
1,《I Don't Wanna See No 欧巴桑》,滚石唱片,1994-11-22,DJ 舞曲,热门,航向大海,罗百吉,,http://musicdata.baidu.com/data2/lrc/106249933/106249933.lrc,1
1,《I Don't Wanna See No 欧巴桑》,滚石唱片,1994-11-22,DJ 舞曲,热门,不要管我,罗百吉,,http://musicdata.baidu.com/data2/lrc/23154470/23154470.lrc,1
1,《龙啸的眼泪》,兀丫文化,2010-08-18,DJ 舞曲,热门,男人的眼泪（Dj版）,龙啸,,http://musicdata.baidu.com/data2/lrc/43fa2fda9cc1c82f9cde81c92c9b8193/267338102/267338102.lrc,1
1,《电音之王》,海蝶音乐,2011-01-07,DJ 舞曲,热门,爱情终点,王绎龙,,http://musicdata.baidu.com/data2/lrc/13888499/13888499.lrc,1
1,《电音之王》,海蝶音乐,2011-01-07,DJ 舞曲,热门,最美丽的花,王绎龙,,http://musicdata.baidu.com/data2/lrc/13887776/13887776.lrc,1
1,《电音之王》,海蝶音乐,2011-01-07,DJ 舞曲,热门,像蝴蝶一样飞,王绎龙,,http://musicdata.baidu.com/data2/lrc/238467ec584fd2398d4648ad324e3d03/251700025/251700025.lrc,1
1,《电音之王》,海蝶音乐,2011-01-07,DJ 舞曲,热门,邻家美眉,王绎龙,,http://musicdata.baidu.com/data2/lrc/13842123/13842123.lrc,1
1,《电音之王》,海蝶音乐,2011-01-07,DJ 舞曲,热门,累啊累,王绎龙,,http://musicdata.baidu.com/data2/lrc/23247811/23247811.lrc,1
1,《电音之王》,海蝶音乐,2011-01-07,DJ 舞曲,热门,午夜DJ,王绎龙,,http://musicdata.baidu.com/data2/lrc/13810482/13810482.lrc,1
1,《电音之王》,海蝶音乐,2011-01-07,DJ 舞曲,热门,魔力无限,王绎龙,,http://musicdata.baidu.com/data2/lrc/13854773/13854773.lrc,1
2,《电音之王》,海蝶音乐,2011-01-07,DJ 舞曲,热门,摇摆哥,王绎龙,,http://musicdata.baidu.com/data2/lrc/13824770/13824770.lrc,2
2,《电音之王》,海蝶音乐,2011-01-07,DJ 舞曲,热门,龙电天下,王绎龙,,http://musicdata.baidu.com/data2/lrc/13874746/13874746.lrc,2
2,《电音之王》,海蝶音乐,2011-01-07,DJ 舞曲,热门,电音之王,王绎龙,,http://musicdata.baidu.com/data2/lrc/13833616/13833616.lrc,2
2,《DJ万万岁》,海蝶音乐,2012-12-20,DJ 舞曲,热门,Boom boom  boom,王绎龙,,http://musicdata.baidu.com/data2/lrc/65430908/65430908.lrc,2
2,《DJ万万岁》,海蝶音乐,2012-12-20,DJ 舞曲,热门,Goodbye青春,王绎龙,,http://musicdata.baidu.com/data2/lrc/65430907/65430907.lrc,2
2,《DJ万万岁》,海蝶音乐,2012-12-20,DJ 舞曲,热门,死去活来,王绎龙,,http://musicdata.baidu.com/data2/lrc/65430906/65430906.lrc,2
2,《DJ万万岁》,海蝶音乐,2012-12-20,DJ 舞曲,热门,我我我他他他,王绎龙,,http://musicdata.baidu.com/data2/lrc/65430904/65430904.lrc,2
2,《DJ万万岁》,海蝶音乐,2012-12-20,DJ 舞曲,热门,I need You,王绎龙,,http://musicdata.baidu.com/data2/lrc/65430903/65430903.lrc,2
2,《DJ万万岁》,海蝶音乐,2012-12-20,DJ 舞曲,热门,妈咪妈咪,王绎龙,,http://musicdata.baidu.com/data2/lrc/65430901/65430901.lrc,2
2,《DJ万万岁》,海蝶音乐,2012-12-20,DJ 舞曲,热门,DJ万万岁,王绎龙,,http://musicdata.baidu.com/data2/lrc/d1d7c41ea89d905a8c85b0988c33a035/263509253/263509253.lrc,2
