,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,梦想天空分外蓝,中国好声音学员,,http://musicdata.baidu.com/data2/lrc/27860903/27860903.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,领悟,关喆,,http://musicdata.baidu.com/data2/lrc/27858092/27858092.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,年轻的战场,中国好声音学员,,http://musicdata.baidu.com/data2/lrc/27857821/27857821.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,我最亲爱的,张惠妹,,http://musicdata.baidu.com/data2/lrc/27857915/27857915.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,一个人生活,吴莫愁,,http://musicdata.baidu.com/data2/lrc/27857916/27857916.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,兄弟,"金志文,杨坤",,http://musicdata.baidu.com/data2/lrc/27857936/27857936.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,我想大声告诉你,金志文,,http://musicdata.baidu.com/data2/lrc/27857756/27857756.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,我爱你中国,梁博,,http://musicdata.baidu.com/data2/lrc/27857953/27857953.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,天地在我心,"吉克隽逸,刘欢",,http://musicdata.baidu.com/data2/lrc/27857730/27857730.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,让我一次爱个够,"吴莫愁,庾澄庆",,http://musicdata.baidu.com/data2/lrc/27857676/27857676.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,情深意长,吉克隽逸,,http://musicdata.baidu.com/data2/lrc/27857646/27857646.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,流星雨,吴莫愁,,http://musicdata.baidu.com/data2/lrc/27857632/27857632.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,回来,梁博,,http://musicdata.baidu.com/data2/lrc/27857610/27857610.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,改变自己,吴莫愁,,http://musicdata.baidu.com/data2/lrc/27857589/27857589.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,爱要有你才完美,"梁博,那英",,http://musicdata.baidu.com/data2/lrc/27857586/27857586.lrc,1
1,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,无所谓,杨坤,,http://musicdata.baidu.com/data2/lrc/27858121/27858121.lrc,1
1,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,热情的沙漠,庾澄庆,,http://musicdata.baidu.com/data2/lrc/27858110/27858110.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,不要怕,吉克隽逸,,http://musicdata.baidu.com/data2/lrc/246649476/246649476.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,夜夜夜夜,"金池,熊天平",,http://musicdata.baidu.com/data2/lrc/27857657/27857657.lrc,1
1,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,小情歌,"多亮,周笔畅",,http://musicdata.baidu.com/data2/lrc/27857612/27857612.lrc,1
2,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,我爱你中国,"平安,黄英",,http://musicdata.baidu.com/data2/lrc/29010692/29010692.lrc,2
2,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,如果没有你,李代沫,,http://musicdata.baidu.com/data2/lrc/27858084/27858084.lrc,2
2,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,亲爱的小孩,"权振东,张靓颖",,http://musicdata.baidu.com/data2/lrc/27858074/27858074.lrc,2
2,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,你把我灌醉,"张赫宣,黄大炜",,http://musicdata.baidu.com/data2/lrc/27857895/27857895.lrc,2
2,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,寂寞先生,"刘悦,曹格",,http://musicdata.baidu.com/data2/lrc/27858003/27858003.lrc,2
2,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,花房姑娘,"魏语诺,林志炫",,http://musicdata.baidu.com/data2/lrc/27857939/27857939.lrc,2
2,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,Whataya Want From Me,"张玮,Adam Lambert",,http://musicdata.baidu.com/data2/lrc/27857829/27857829.lrc,2
2,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,Trespassing,Adam Lambert,,http://musicdata.baidu.com/data2/lrc/27857631/27857631.lrc,2
2,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,Someone Like You,"郑虹,胡彦斌",,http://musicdata.baidu.com/data2/lrc/27857825/27857825.lrc,2
2,《中国好声音总决赛》,环球唱片,2012-09-30,中国好声音,热门,High歌,"张玮,黄龄",,http://musicdata.baidu.com/data2/lrc/34216869/34216869.lrc,2
2,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,我爱你中国,平安,,http://musicdata.baidu.com/data2/lrc/27854864/27854864.lrc,2
2,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,想你的夜,关喆,,http://musicdata.baidu.com/data2/lrc/120916596/120916596.lrc,2
2,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,我是一只小小鸟,赵露,,http://musicdata.baidu.com/data2/lrc/27854832/27854832.lrc,2
2,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,Domino,"黄鹤,侯祖辛",,http://musicdata.baidu.com/data2/lrc/27854825/27854825.lrc,2
2,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,你把我灌醉,张赫宣,,http://musicdata.baidu.com/data2/lrc/27854811/27854811.lrc,2
2,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,Listen,王乃恩,,http://musicdata.baidu.com/data2/lrc/27854804/27854804.lrc,2
2,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,千年之恋,大山,,http://musicdata.baidu.com/data2/lrc/27854797/27854797.lrc,2
2,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,对你爱不完,"金池,魏语诺",,http://musicdata.baidu.com/data2/lrc/27854782/27854782.lrc,2
2,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,Someone like you,郑虹,,http://musicdata.baidu.com/data2/lrc/31261592/31261592.lrc,2
2,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,在那遥远的地方,李维真,,http://musicdata.baidu.com/data2/lrc/27854768/27854768.lrc,2
3,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,爱要坦荡荡,丁丁,,http://musicdata.baidu.com/data2/lrc/27857444/27857444.lrc,3
3,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,Baby,"丁丁,黄一",,http://musicdata.baidu.com/data2/lrc/27854754/27854754.lrc,3
3,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,冬天来了,"佳宁组合,权振东",,http://musicdata.baidu.com/data2/lrc/27857435/27857435.lrc,3
3,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,小情歌,多亮,,http://musicdata.baidu.com/data2/lrc/27854738/27854738.lrc,3
3,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,Rolling in the deep,黄鹤,,http://musicdata.baidu.com/data2/lrc/27854730/27854730.lrc,3
3,《中国好声音澳门演唱会》,环球唱片,2012-09-29,中国好声音,热门,我相信,中国好声音学员,,http://musicdata.baidu.com/data2/lrc/27857432/27857432.lrc,3
3,《中国好声音第1期》,环球唱片,2012-07-13,中国好声音,热门,独上西楼,张玉霞,,http://musicdata.baidu.com/data2/lrc/23161250/23161250.lrc,3
3,《中国好声音第1期》,环球唱片,2012-07-13,中国好声音,热门,我是一只小小鸟,赵露,,http://musicdata.baidu.com/data2/lrc/23161225/23161225.lrc,3
3,《中国好声音第1期》,环球唱片,2012-07-13,中国好声音,热门,What A Wonderful World,邹宏宇,,http://musicdata.baidu.com/data2/lrc/23161182/23161182.lrc,3
3,《中国好声音第1期》,环球唱片,2012-07-13,中国好声音,热门,在那遥远的地方,李维真,,http://musicdata.baidu.com/data2/lrc/23161175/23161175.lrc,3
3,《中国好声音第1期》,环球唱片,2012-07-13,中国好声音,热门,我的歌声里,李代沫,,http://musicdata.baidu.com/data2/lrc/23161148/23161148.lrc,3
3,《中国好声音第1期》,环球唱片,2012-07-13,中国好声音,热门,自己,徐海星,,http://musicdata.baidu.com/data2/lrc/23161157/23161157.lrc,3
3,《中国好声音第1期》,环球唱片,2012-07-13,中国好声音,热门,High歌,张玮,,http://musicdata.baidu.com/data2/lrc/34216863/34216863.lrc,3
3,《中国好声音第1期》,环球唱片,2012-07-13,中国好声音,热门,想你的夜,邓川,,http://musicdata.baidu.com/data2/lrc/23154806/23154806.lrc,3
