,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,儿歌,未知,2008-02-25,儿歌,热门,好爸爸坏爸爸,少儿歌曲,,http://musicdata.baidu.com/data2/lrc/106253347/106253347.lrc,1
1,童稚流行,未知,2008-02-25,儿歌,热门,小红帽,少儿歌曲,,http://musicdata.baidu.com/data2/lrc/59a382edaf5e29f38c5e3f77077d30e8/251697213/251697213.lrc,1
1,儿歌,未知,2008-02-25,儿歌,热门,采蘑菇的小姑娘,少儿歌曲,,http://musicdata.baidu.com/data2/lrc/103488828/103488828.lrc,1
1,儿歌,未知,2008-02-25,儿歌,热门,春天在哪里,少儿歌曲,,http://musicdata.baidu.com/data2/lrc/95981117/95981117.lrc,1
1,儿歌,未知,2008-02-25,儿歌,热门,歌声与微笑,少儿歌曲,,http://musicdata.baidu.com/data2/lrc/106256534/106256534.lrc,1
1,童稚流行,未知,2008-02-25,儿歌,热门,小白船,少儿歌曲,,http://musicdata.baidu.com/data2/lrc/106238645/106238645.lrc,1
1,儿歌,未知,2008-02-25,儿歌,热门,粗心的小画家,少儿歌曲,,http://musicdata.baidu.com/data2/lrc/99000740/99000740.lrc,1
1,童稚流行,未知,2008-02-25,儿歌,热门,新年好,少儿歌曲,,http://musicdata.baidu.com/data2/lrc/106237003/106237003.lrc,1
1,童稚流行,未知,2008-02-25,儿歌,热门,红蜻蜓,少儿歌曲,,http://musicdata.baidu.com/data2/lrc/99006209/99006209.lrc,1
1,童稚流行,未知,2008-02-25,儿歌,热门,牧童,少儿歌曲,,http://musicdata.baidu.com/data2/lrc/105683113/105683113.lrc,1
1,青少年流行,未知,2008-02-25,儿歌,热门,少先队队歌,儿童歌曲,,http://musicdata.baidu.com/data2/lrc/239949443/239949443.lrc,1
1,《儿童歌曲（华语）系列2》,未知,2013-01-01,儿歌,热门,小背篓,少儿歌曲,,http://musicdata.baidu.com/data2/lrc/84393502/84393502.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,未知,2009-12-10,儿歌,热门,别看我只是一只羊,杨沛宜,,http://musicdata.baidu.com/data2/lrc/28748117/28748117.lrc,1
1,《喜羊羊与灰太狼 之 虎虎生威 电影原声大碟》,未知,2009-12-10,儿歌,热门,左手右手,杨沛宜,,http://musicdata.baidu.com/data2/lrc/240465821/240465821.lrc,1
1,《百年唱片名人名歌. 长城谣》,未知,2004-01-01,儿歌,热门,歌唱二小放牛郎,中央人民广播电台少年广播合唱团,,http://musicdata.baidu.com/data2/lrc/20670388/20670388.lrc,1
1,《越听越聪明》,未知,2008-01-01,儿歌,热门,摇篮曲,少儿歌曲,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/260741797/260741797.lrc,1
1,《歌唱祖国》,未知,2009-09-19,儿歌,热门,歌唱祖国,杨沛宜,,http://musicdata.baidu.com/data2/lrc/13885779/13885779.lrc,1
1,《小魔女的魔法书》,福茂唱片,1996-03-01,儿歌,热门,你的甜蜜,范晓萱,,http://musicdata.baidu.com/data2/lrc/14711340/14711340.lrc,1
1,《小魔女的魔法书》,福茂唱片,1996-03-01,儿歌,热门,Secret Magic,范晓萱,,http://musicdata.baidu.com/data2/lrc/536884/536884.lrc,1
1,《歌唱祖国》,福茂唱片,2009-09-19,儿歌,热门,蜗牛与黄鹂鸟,杨沛宜,,http://musicdata.baidu.com/data2/lrc/241617665/241617665.lrc,1
2,《歌唱祖国》,福茂唱片,2009-09-19,儿歌,热门,鲁冰花,杨沛宜,,http://musicdata.baidu.com/data2/lrc/15367484/15367484.lrc,2
2,《歌唱祖国》,福茂唱片,2009-09-19,儿歌,热门,送别,杨沛宜,,http://musicdata.baidu.com/data2/lrc/14933452/14933452.lrc,2
2,《歌唱祖国》,福茂唱片,2009-09-19,儿歌,热门,别看我只是一只羊,杨沛宜,,http://musicdata.baidu.com/data2/lrc/246650840/246650840.lrc,2
2,《Schnappi Und Seine Freunde》,环球唱片,2008-04-09,儿歌,热门,Hase Moppel,Schnappi,,http://musicdata.baidu.com/data2/lrc/246650840/246650840.lrc,2
2,《Schnappi Und Seine Freunde》,环球唱片,2008-04-09,儿歌,热门,TeddybäRtanz,Schnappi,,http://musicdata.baidu.com/data2/lrc/246650840/246650840.lrc,2
2,《Schnappi Und Seine Freunde》,环球唱片,2008-04-09,儿歌,热门,我爱蹦蹦跳,儿童歌曲,,http://musicdata.baidu.com/data2/lrc/70218925/70218925.lrc,2
2,《Schnappi  S  Winterfest》,环球唱片,2008-04-09,儿歌,热门,Jing! Jingeling! Der Weihnachtsschn,Schnappi,,http://musicdata.baidu.com/data2/lrc/70218925/70218925.lrc,2
2,《Schnappi Und Seine Freunde》,环球唱片,2008-04-09,儿歌,热门,KäNguru,Schnappi,,http://musicdata.baidu.com/data2/lrc/70218925/70218925.lrc,2
