,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《爱的力量 10年情歌最精选》,环球唱片,2007-02-09,劲爆,热门,发生什么事,张惠妹,,http://musicdata.baidu.com/data2/lrc/13863206/13863206.lrc,1
1,《Frozen》,环球唱片,2008-04-21,劲爆,热门,Frozen,Tami Chynn,,http://musicdata.baidu.com/data2/lrc/240148796/240148796.lrc,1
1,《Love Angel Music Baby》,环球唱片,2013-08-19,劲爆,热门,Hollaback Girl,Gwen Stefani,,http://musicdata.baidu.com/data2/lrc/7585690/7585690.lrc,1
1,《Good Girl Gone Bad: Reloaded》,环球唱片,2013-12-09,劲爆,热门,Disturbia,Rihanna,,http://musicdata.baidu.com/data2/lrc/246654486/246654486.lrc,1
1,《Good Girl Gone Bad: Reloaded》,环球唱片,2013-12-09,劲爆,热门,Umbrella,Rihanna,,http://musicdata.baidu.com/data2/lrc/240280476/240280476.lrc,1
1,《Lexy 4Th Album》,SONY MUSIC,2008-07-28,劲爆,热门,Ma People,Lexy,,http://musicdata.baidu.com/data2/lrc/86785047/86785047.lrc,1
1,《跳痛》,SONY MUSIC,2010-05-24,劲爆,热门,昨天的明天,戴爱玲,,http://musicdata.baidu.com/data2/lrc/12724902/12724902.lrc,1
1,《爱炫舞盛装舞曲精选》,SONY MUSIC,2010-09-13,劲爆,热门,24hrs,莫文蔚,,http://musicdata.baidu.com/data2/lrc/9323869/9323869.lrc,1
1,《搜寻蔡旻佑》,SONY MUSIC,2008-07-11,劲爆,热门,我回来了,蔡旻佑,,http://musicdata.baidu.com/data2/lrc/240464969/240464969.lrc,1
1,《Born This Way》,环球唱片,2011-04-05,劲爆,热门,Judas,Lady Gaga,,http://musicdata.baidu.com/data2/lrc/240699671/240699671.lrc,1
1,《Femme Fatale》,SONY MUSIC,2011-03-28,劲爆,热门,I Wanna Go,Britney Spears,,http://musicdata.baidu.com/data2/lrc/240706840/240706840.lrc,1
1,《We Started Nothing》,Columbia Records,2008-05-16,劲爆,热门,Shut Up And Let Me Go,The Ting Tings,,http://musicdata.baidu.com/data2/lrc/240808741/240808741.lrc,1
1,《时光机》,滚石唱片,2003-11-07,劲爆,热门,别惹我,五月天,,http://musicdata.baidu.com/data2/lrc/14942188/14942188.lrc,1
1,《Totally Pop》,SONY MUSIC,2010-05-31,劲爆,热门,Tik Tok,Ke$ha,,http://musicdata.baidu.com/data2/lrc/638671/638671.lrc,1
1,《Animal》,SONY MUSIC,2010-01-04,劲爆,热门,Tik Tok,Ke$ha,,http://musicdata.baidu.com/data2/lrc/2b5cb47a3df13e4397b2da11e25b8b49/262406895/262406895.lrc,1
1,《时代女性》,SONY MUSIC,2009-10-20,劲爆,热门,永不停歇,尚雯婕,,http://musicdata.baidu.com/data2/lrc/13918210/13918210.lrc,1
1,《VIVA》,英皇唱片,2000-11-01,劲爆,热门,活着Viva,谢霆锋,,http://musicdata.baidu.com/data2/lrc/241211174/241211174.lrc,1
1,《The Fame Monster (Deluxe Edition)》,环球唱片,2009-11-18,劲爆,热门,Bad Romance,Lady Gaga,,http://musicdata.baidu.com/data2/lrc/13858275/13858275.lrc,1
1,《The Singles Collection》,SONY MUSIC,2009-11-09,劲爆,热门,Circus,Britney Spears,,http://musicdata.baidu.com/data2/lrc/497281/497281.lrc,1
1,《非一般的谭咏麟》,环球唱片,2011-02-24,劲爆,热门,创造命运,谭咏麟,,http://musicdata.baidu.com/data2/lrc/b90de18a7aabb45ff6cd0e77d43ca788/257164605/257164605.lrc,1
2,《盛开》,环球唱片,2013-05-31,劲爆,热门,Party Queen,李玟,,http://musicdata.baidu.com/data2/lrc/251700565/251700565.lrc,2
2,《铿锵玫瑰》,滚石唱片,1999-01-28,劲爆,热门,让一让,林忆莲,,http://musicdata.baidu.com/data2/lrc/473141/473141.lrc,2
2,《Live It Up》,环球唱片,2013-05-08,劲爆,热门,Live It Up,Jennifer Lopez,,http://musicdata.baidu.com/data2/lrc/241649157/241649157.lrc,2
2,《热爱》,滚石唱片,2001-09-01,劲爆,热门,选择牺牲,羽泉,,http://musicdata.baidu.com/data2/lrc/246650585/246650585.lrc,2
2,《Live Aus Berlin》,环球唱片,2010-02-05,劲爆,热门,Laichzeit,Rammstein,,http://musicdata.baidu.com/data2/lrc/241660577/241660577.lrc,2
2,《Gentleman》,KMP,2013-04-12,劲爆,热门,Gentleman,PSY,,http://musicdata.baidu.com/data2/lrc/241668695/241668695.lrc,2
2,《Exposed》,环球唱片,2009-08-14,劲爆,热门,Future Love,Kristinia DeBarge,,http://musicdata.baidu.com/data2/lrc/245892607/245892607.lrc,2
2,《DJ万万岁》,海蝶音乐,2012-12-20,劲爆,热门,我我我他他他,王绎龙,,http://musicdata.baidu.com/data2/lrc/65430904/65430904.lrc,2
2,《DJ万万岁》,海蝶音乐,2012-12-20,劲爆,热门,绝不认输,王绎龙,,http://musicdata.baidu.com/data2/lrc/65430902/65430902.lrc,2
2,《DJ万万岁》,海蝶音乐,2012-12-20,劲爆,热门,妈咪妈咪,王绎龙,,http://musicdata.baidu.com/data2/lrc/65430901/65430901.lrc,2
2,《DJ万万岁》,海蝶音乐,2012-12-20,劲爆,热门,DJ万万岁,王绎龙,,http://musicdata.baidu.com/data2/lrc/d1d7c41ea89d905a8c85b0988c33a035/263509253/263509253.lrc,2
2,《等我有一天》,滚石唱片,2002-09-01,劲爆,热门,男子汉,张震岳,,http://musicdata.baidu.com/data2/lrc/306934/306934.lrc,2
2,《私人生活》,竹书房文化,2006-04-01,劲爆,热门,私人生活,简迷离,,http://musicdata.baidu.com/data2/lrc/246649664/246649664.lrc,2
2,《秘密基地》,滚石唱片,1998-12-01,劲爆,热门,我要钱,张震岳,,http://musicdata.baidu.com/data2/lrc/294987/294987.lrc,2
2,《如果没有你》,SONY MUSIC,2006-04-06,劲爆,热门,野,莫文蔚,,http://musicdata.baidu.com/data2/lrc/292567/292567.lrc,2
2,《藏宝图》,SONY MUSIC,2007-07-20,劲爆,热门,时空列车,南拳妈妈,,http://musicdata.baidu.com/data2/lrc/274956/274956.lrc,2
2,《第5季》,福茂唱片,2009-09-25,劲爆,热门,再快乐一点,张韶涵,,http://musicdata.baidu.com/data2/lrc/13905786/13905786.lrc,2
2,《Will's 未来式》,福茂唱片,2008-07-18,劲爆,热门,反转地球,潘玮柏,,http://musicdata.baidu.com/data2/lrc/13902298/13902298.lrc,2
2,《秘密基地》,滚石唱片,1998-12-01,劲爆,热门,自由,张震岳,,http://musicdata.baidu.com/data2/lrc/265995/265995.lrc,2
2,《应该》,滚石唱片,2001-01-01,劲爆,热门,Queen,杨乃文,,http://musicdata.baidu.com/data2/lrc/243949/243949.lrc,2
3,《江南Style》,环球唱片,2012-09-07,劲爆,热门,江南Style,PSY,,http://musicdata.baidu.com/data2/lrc/1044d9ec30d283aee14603f8333bde2c/263649063/263649063.lrc,3
3,《Especial Kelly》,环球唱片,2006-12-01,劲爆,热门,Shake Shake,陈慧琳,,http://musicdata.baidu.com/data2/lrc/233972/233972.lrc,3
3,《七里香》,杰威尔JVR音乐有限公司,2004-08-03,劲爆,热门,将军,周杰伦,,http://musicdata.baidu.com/data2/lrc/4ab01c20c848940807e92631bb1f9162/258337604/258337604.lrc,3
3,《Will's 未来式》,杰威尔JVR音乐有限公司,2008-07-18,劲爆,热门,决战斗室,潘玮柏,,http://musicdata.baidu.com/data2/lrc/230737/230737.lrc,3
3,《Will's 未来式》,杰威尔JVR音乐有限公司,2008-07-18,劲爆,热门,Wu Ha,潘玮柏,,http://musicdata.baidu.com/data2/lrc/225915/225915.lrc,3
3,《曹操》,海蝶音乐,2006-02-17,劲爆,热门,曹操,林俊杰,,http://musicdata.baidu.com/data2/lrc/203c381ae532ec2adb9b558817aac762/535889870/535889870.lrc,3
3,《三十》,海蝶音乐,2005-07-05,劲爆,热门,辛弃疾,羽泉,,http://musicdata.baidu.com/data2/lrc/13975528/13975528.lrc,3
3,《我听这种音乐的时候最爱你》,北京京文唱片传播有限公司,2004-09-08,劲爆,热门,在梦里,龙宽九段,,http://musicdata.baidu.com/data2/lrc/13881080/13881080.lrc,3
3,《DJ小可 ⑧王者再现》,北京京文唱片传播有限公司,2008-02-25,劲爆,热门,西瓜太郎,DJ小可,,http://musicdata.baidu.com/data2/lrc/25487670/25487670.lrc,3
3,《24个比利》,环球唱片,2012-08-31,劲爆,热门,24个比利,潘玮柏,,http://musicdata.baidu.com/data2/lrc/23281123/23281123.lrc,3
3,《Second Live Concert:The Great Live Concert》,YG Entertainment,2008-02-27,劲爆,热门,最后的问候 (마지막인사),BigBang,,http://musicdata.baidu.com/data2/lrc/23512634/23512634.lrc,3
3,《The Marshall Mathers LP》,Digital Distribution Estonia,2000-05-22,劲爆,热门,Stan,Eminem,,http://musicdata.baidu.com/data2/lrc/13833615/13833615.lrc,3
3,《Cartoon Heroes-Mca》,环球唱片,2002-05-22,劲爆,热门,Lollipop,Aqua,,http://musicdata.baidu.com/data2/lrc/1512952/1512952.lrc,3
3,《唐朝》,滚石唱片,1992-12-07,劲爆,热门,天堂,唐朝乐队,,http://musicdata.baidu.com/data2/lrc/65021583/65021583.lrc,3
3,《J世纪 Jeneration》,滚石唱片,2009-03-06,劲爆,热门,特务J,蔡依林,,http://musicdata.baidu.com/data2/lrc/13888276/13888276.lrc,3
3,《2집 Remember》,YG Entertainment,2008-11-05,劲爆,热门,Wonderful,BigBang,,http://musicdata.baidu.com/data2/lrc/25485517/25485517.lrc,3
3,《Karaoke Official: Originals》,环球唱片,2011-09-05,劲爆,热门,I Will Survive,Gloria Gaynor,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/257161618/257161618.lrc,3
3,《David Archuleta》,SONY MUSIC,2008-11-10,劲爆,热门,Crush,David Archuleta,,http://musicdata.baidu.com/data2/lrc/1295252/1295252.lrc,3
