,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《忘不了你》,乐之云文化,2007-09-01,对唱,热门,美丽的神话,"孙楠,韩红",,http://musicdata.baidu.com/data2/lrc/251697194/251697194.lrc,1
1,《非常完美 电影原声带》,乐之云文化,2009-07-05,对唱,热门,非常完美,"张韶涵,庾澄庆",,http://musicdata.baidu.com/data2/lrc/130331660/130331660.lrc,1
1,《情义》,乐之云文化,2004-03-25,对唱,热门,风暴,"任贤齐,李心洁",,http://musicdata.baidu.com/data2/lrc/13869015/13869015.lrc,1
1,《Be Right Back 精选》,乐之云文化,2005-09-21,对唱,热门,谁明浪子心,"赵学而,王杰",,http://musicdata.baidu.com/data2/lrc/28498086/28498086.lrc,1
1,《请你CHA CHA》,滚石唱片,1998-12-11,对唱,热门,恨自由,"汪佩蓉,杜德伟",,http://musicdata.baidu.com/data2/lrc/13903802/13903802.lrc,1
1,《Faces Of FanFan 》,福茂唱片,2008-07-11,对唱,热门,好寂寞,"范玮琪,光良",,http://musicdata.baidu.com/data2/lrc/904502/904502.lrc,1
1,《陪着我的时候想着她》,福茂唱片,2011-08-25,对唱,热门,又是艳阳天,"郭静,韦礼安",,http://musicdata.baidu.com/data2/lrc/13885906/13885906.lrc,1
1,《如果爱忘了》,海蝶音乐,2011-08-23,对唱,热门,黑白之间,"戚薇,范逸臣",,http://musicdata.baidu.com/data2/lrc/239782490/239782490.lrc,1
1,《最初的梦想》,福茂唱片,2004-05-01,对唱,热门,有你真好,"范玮琪,杨丞琳",,http://musicdata.baidu.com/data2/lrc/240110352/240110352.lrc,1
1,"《失恋万岁 新歌,精选》",滚石唱片,1998-01-01,对唱,热门,失恋万岁,"苏慧伦,莫文蔚",,http://musicdata.baidu.com/data2/lrc/23152772/23152772.lrc,1
1,《很爱很爱你》,滚石唱片,1998-01-01,对唱,热门,好久好久,"刘若英,光良",,http://musicdata.baidu.com/data2/lrc/15336800/15336800.lrc,1
1,《无懈可击之高手如林》,海蝶音乐,2011-08-09,对唱,热门,黑白之间（《无懈可击之高手如林》插曲）,"戚薇,范逸臣",,http://musicdata.baidu.com/data2/lrc/13897600/13897600.lrc,1
