,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《纯真年代》,太合麦田,1998-05-01,成名曲,热门, 纯真年代,叶蓓,,http://musicdata.baidu.com/data2/lrc/239133032/239133032.lrc,1
1,《我好想》,潮水音乐,2001-12-05,成名曲,热门,爱就一个字,张信哲,,http://musicdata.baidu.com/data2/lrc/239135697/239135697.lrc,1
1,《让我一次爱个够》,福茂唱片,1989-07-20,成名曲,热门,让我一次爱个够,庾澄庆,,http://musicdata.baidu.com/data2/lrc/239136149/239136149.lrc,1
1,《Ballads:The Ultimate Love Songs Collection》,环球唱片,2003-04-07,成名曲,热门,No Matter What,Boyzone,,http://musicdata.baidu.com/data2/lrc/16574666/16574666.lrc,1
1,《Classic 90'S》,环球唱片,2003-10-13,成名曲,热门,No Matter What,Boyzone,,http://musicdata.baidu.com/data2/lrc/8881598/8881598.lrc,1
1,《Greatest Hits》,环球唱片,2008-04-23,成名曲,热门,God Is A Girl,Groove Coverage,,http://musicdata.baidu.com/data2/lrc/15335587/15335587.lrc,1
1,《Sleepover》,环球唱片,2008-04-23,成名曲,热门,Barbie Girl,Aqua,,http://musicdata.baidu.com/data2/lrc/8592444/8592444.lrc,1
1,《Gold - The Best Of》,环球唱片,2006-02-02,成名曲,热门,No Matter What,Boyzone,,http://musicdata.baidu.com/data2/lrc/8301598/8301598.lrc,1
1,《Evening Moods》,环球唱片,2014-03-13,成名曲,热门,No Matter What,Boyzone,,http://musicdata.baidu.com/data2/lrc/8301567/8301567.lrc,1
1,《Pop Princess》,环球唱片,2014-03-13,成名曲,热门,Barbie Girl,Aqua,,http://musicdata.baidu.com/data2/lrc/8301286/8301286.lrc,1
1,《幸福沙漏》,天中文化,2006-02-21,成名曲,热门,祝您平安,孙悦,,http://musicdata.baidu.com/data2/lrc/246495857/246495857.lrc,1
1,《万中选一 》,环球唱片,2005-11-15,成名曲,热门,七月七日晴,许慧欣,,http://musicdata.baidu.com/data2/lrc/8300750/8300750.lrc,1
1,《我很张含韵》,天中文化,2005-07-20,成名曲,热门,酸酸甜甜就是我,张含韵,,http://musicdata.baidu.com/data2/lrc/240111029/240111029.lrc,1
1,《Movie 930》,天中文化,2005-07-20,成名曲,热门,No Matter What,Boyzone,,http://musicdata.baidu.com/data2/lrc/8073000/8073000.lrc,1
1,《万水千山总是情》,天中文化,1988-07-01,成名曲,热门,万水千山总是情,汪明荃,,http://musicdata.baidu.com/data2/lrc/23477632/23477632.lrc,1
1,《Trouble Is A Friend》,SONY MUSIC,2009-09-03,成名曲,热门,Trouble Is A Friend,Lenka,,http://musicdata.baidu.com/data2/lrc/13912023/13912023.lrc,1
1,《Pop Party》,环球唱片,2008-05-06,成名曲,热门,Barbie Girl,Aqua,,http://musicdata.baidu.com/data2/lrc/7585585/7585585.lrc,1
1,《Whistle Down The Wind》,环球唱片,1998-10-19,成名曲,热门,No Matter What,Boyzone,,http://musicdata.baidu.com/data2/lrc/7585387/7585387.lrc,1
1,《断线》,滚石唱片,1994-08-26,成名曲,热门,新不了情,万芳,,http://musicdata.baidu.com/data2/lrc/13760826/13760826.lrc,1
1,《Blah Blah Blah》,SONY MUSIC,2010-02-22,成名曲,热门,Tik Tok,Ke$ha,,http://musicdata.baidu.com/data2/lrc/7584035/7584035.lrc,1
2,《This Is The Sound Of...2010》,SONY MUSIC,2010-02-22,成名曲,热门,Fireflies,Owl City,,http://musicdata.baidu.com/data2/lrc/7386680/7386680.lrc,2
2,《相逢在半生》,环球唱片,2009-12-29,成名曲,热门,堆积情感,邝美云,,http://musicdata.baidu.com/data2/lrc/10549789/10549789.lrc,2
2,《This Is The Sound Of...Love》,环球唱片,2009-12-29,成名曲,热门,Big Big World,Emilia,,http://musicdata.baidu.com/data2/lrc/7349368/7349368.lrc,2
2,《My 1St Collection》,环球唱片,2007-12-28,成名曲,热门,断点,张敬轩,,http://musicdata.baidu.com/data2/lrc/15431784/15431784.lrc,2
2,《美丽的爱情》,环球唱片,2009-07-14,成名曲,热门,七月七日晴,许慧欣,,http://musicdata.baidu.com/data2/lrc/13916842/13916842.lrc,2
2,《传奇》,环球唱片,1999-05-11,成名曲,热门,有多少爱可以重来,迪克牛仔,,http://musicdata.baidu.com/data2/lrc/13972028/13972028.lrc,2
2,《LOVE 国语情歌集》,环球唱片,2009-12-28,成名曲,热门,七月七日晴,群星,,http://musicdata.baidu.com/data2/lrc/13910013/13910013.lrc,2
2,《国语经典101》,环球唱片,2009-12-29,成名曲,热门,九百九十九朵玫瑰,邰正宵,,http://musicdata.baidu.com/data2/lrc/240403973/240403973.lrc,2
2,《I Am The Dance Commander + I Command You To Dance: The Remix Album》,SONY MUSIC,2011-03-21,成名曲,热门,Tik Tok,Ke$ha,,http://musicdata.baidu.com/data2/lrc/7292840/7292840.lrc,2
2,《Discover》,SONY MUSIC,2004-07-01,成名曲,热门,友情岁月,郑伊健,,http://musicdata.baidu.com/data2/lrc/13983190/13983190.lrc,2
2,《单身情歌 超炫精选》,SONY MUSIC,1999-12-01,成名曲,热门,单身情歌,林志炫,,http://musicdata.baidu.com/data2/lrc/246653101/246653101.lrc,2
2,《专属密码》,SONY MUSIC,2005-06-03,成名曲,热门,那女孩对我说,黄义达,,http://musicdata.baidu.com/data2/lrc/240465626/240465626.lrc,2
2,《百年经典8: 弯弯的月亮》,SONY MUSIC,2004-12-01,成名曲,热门,涛声依旧,毛宁,,http://musicdata.baidu.com/data2/lrc/13764487/13764487.lrc,2
