,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《天籁 Studio Version 》,Sony Music,2017-10-12,新歌,热门,一生所爱,莫文蔚,,http://musicdata.baidu.com/data2/lrc/5fa48564d9aad008bfb4eb7a0da365d7/559950901/559950901.lrc,1
1,《别》,薛之谦工作室,2017-10-31,新歌,热门,别,薛之谦,,http://musicdata.baidu.com/data2/lrc/4ca11ed349ed0c1e6488ad1bd664812b/565001257/565001257.lrc,1
1,《像风一样》,薛之谦工作室,2017-11-03,新歌,热门,像风一样,薛之谦,,http://musicdata.baidu.com/data2/lrc/b1f98ad984e18662e13c93253f41089b/565031735/565031735.lrc,1
1,《红颜旧》,大格娱乐,2017-09-08,新歌,热门,红颜旧,崔子格,,http://musicdata.baidu.com/data2/lrc/936c7028f3d4231a5cb13d25c6259cdc/554926295/554926295.lrc,1
1,《时间都去哪儿了》,自在天浩,2017-10-09,新歌,热门,时间都去哪儿了,张信哲,,http://musicdata.baidu.com/data2/lrc/a5e547d6428707fb583ff6e0768c6525/559366114/559366114.lrc,1
1,《初学者》,海蝶音乐,2016-07-18,新歌,热门,刚刚好,薛之谦,,http://musicdata.baidu.com/data2/lrc/34de9db8fdbdad7e3e3572969a60c12b/537817932/537817932.lrc,1
1,《带着音乐去旅行》,华宇世博,2017-10-11,新歌,热门,三角题,二珂,,http://musicdata.baidu.com/data2/lrc/74da30df7989ef0957094446e178d602/557893656/557893656.lrc,1
1,《追梦赤子心》,奔跑怪物,2017-09-10,新歌,热门,追梦赤子心,鹿晗,,http://musicdata.baidu.com/data2/lrc/ae2de89278b34de9764163085d87965c/555295948/555295948.lrc,1
1,《世界古典音乐1》,恒大音乐,2008-09-01,新歌,热门,小夜曲-舒伯特,新雅室内乐,,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288821444/288821444.lrc,1
1,《让我好好看看你》,Sony Music,2017-11-03,新歌,热门,让我好好看看你,许茹芸,,http://musicdata.baidu.com/data2/lrc/c14e437f3d54930662a210e80a10f012/565140124/565140124.lrc,1
1,《初学者》,海蝶音乐,2016-07-18,新歌,热门,我好像在哪见过你,薛之谦,,http://musicdata.baidu.com/data2/lrc/f63a5782603c444ad7c66b2d67bd534f/267708381/267708381.lrc,1
1,《美好生活》,普天同乐,2017-10-20,新歌,热门,美好生活,"龙梅子,徐子崴",,http://musicdata.baidu.com/data2/lrc/95f2914547a9e094c40be90e26c5cc7c/561767765/561767765.lrc,1
1,《大鱼》,霍尔果斯彩条屋影业,2016-05-20,新歌,热门,大鱼,周深,,http://musicdata.baidu.com/data2/lrc/c36b4be1acc63d16826d5f856cfc553e/265999994/265999994.lrc,1
1,《天籁 Studio Version 》,Sony Music,2017-10-12,新歌,热门,秋蝉,莫文蔚,,http://musicdata.baidu.com/data2/lrc/9bb796f9780b1b78d611501a1838a0b8/559950899/559950899.lrc,1
1,《梨花颂》,听见时代,2017-10-16,新歌,热门,梨花颂,霍尊,,http://musicdata.baidu.com/data2/lrc/9b2b7aee97b66d889e0e515df3a665fa/560475153/560475153.lrc,1
1,《爱在上》,大格娱乐,2017-10-25,新歌,热门,爱在上,"崔子格,盛一伦",,http://musicdata.baidu.com/data2/lrc/29c9ff506f4acdbac46e211fd2bae0f6/561484227/561484227.lrc,1
1,《陌上花开》,自在天浩,2017-10-10,新歌,热门,陌上花开,谭维维,,http://musicdata.baidu.com/data2/lrc/08bd47114ca6d7b80899326cdec251ac/559848199/559848199.lrc,1
1,《世界上的另一个我》,摩登天空,2017-10-24,新歌,热门,世界上的另一个我,"阿肆,郭采洁",,http://musicdata.baidu.com/data2/lrc/9063f06f6fbb69a822dbd40e33d73499/561401496/561401496.lrc,1
1,《我想我挺好的》,SONY MUSIC,2017-10-27,新歌,热门,我想我挺好的,艾怡良,,http://musicdata.baidu.com/data2/lrc/cfc4261463723f26ba6931f1192daecf/562482527/562482527.lrc,1
1,《永不消逝》,自在天浩,2017-10-16,新歌,热门,永不消逝,金志文,,http://musicdata.baidu.com/data2/lrc/bff12c4cca17d0a54b40974805bdca24/560390506/560390506.lrc,1
2,《醉清风》,丝芭集团&永稻星,2017-08-28,新歌,热门,醉清风,SNH48,,http://musicdata.baidu.com/data2/lrc/88a344be9a39245537f956ecf820a8e8/552787982/552787982.lrc,2
2,《All Falls Down》,SONY MUSIC,2017-10-27,新歌,热门,All Falls Down,"Alan Walker,Noah Cyrus,Digital Farm Animals",,http://musicdata.baidu.com/data2/lrc/de765d5c9399a0f7c3a29bcd06164200/562479332/562479332.lrc,2
2,《红线》,畅和文化,2017-10-13,新歌,热门,红线,叶炫清,,http://musicdata.baidu.com/data2/lrc/8375c5a08cc4f7284cfe17bfa3d9d1e1/560093093/560093093.lrc,2
2,《好久都没有》,Sony Music,2017-10-12,新歌,热门,好久都没有,潘美辰,,http://musicdata.baidu.com/data2/lrc/b9320f7b542198a364c02544f174088a/559950887/559950887.lrc,2
