,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《花样年华》,环球唱片,2006-05-01,民歌,热门,采红菱,邓丽君,,http://musicdata.baidu.com/data2/lrc/13803016/13803016.lrc,1
1,《蔡琴 不了情演唱会》,环球唱片,2007-03-23,民歌,热门,往事只能回味,蔡琴,,http://musicdata.baidu.com/data2/lrc/240401342/240401342.lrc,1
1,《天上草原 Iii》,新京文,2008-03-13,民歌,热门,鸿雁,童彤,,http://musicdata.baidu.com/data2/lrc/20656395/20656395.lrc,1
1,《西游记 电视连续剧歌曲》,新京文,2000-08-13,民歌,热门,女儿情,吴静,,http://musicdata.baidu.com/data2/lrc/23247605/23247605.lrc,1
1,《想亲亲想在心眼眼上》,孔雀廊,2006-02-09,民歌,热门,爱你在心口难开,阿宝,,http://musicdata.baidu.com/data2/lrc/14885954/14885954.lrc,1
1,《想亲亲想在心眼眼上》,孔雀廊,2006-02-09,民歌,热门,杨柳青,阿宝,,http://musicdata.baidu.com/data2/lrc/338189/338189.lrc,1
1,《想亲亲想在心眼眼上》,孔雀廊,2006-02-09,民歌,热门,想亲亲想在心眼眼上,阿宝,,http://musicdata.baidu.com/data2/lrc/23475285/23475285.lrc,1
1,《想亲亲想在心眼眼上》,孔雀廊,2006-02-09,民歌,热门,走西口,阿宝,,http://musicdata.baidu.com/data2/lrc/14882964/14882964.lrc,1
1,《想亲亲想在心眼眼上》,孔雀廊,2006-02-09,民歌,热门,圪梁梁,阿宝,,http://musicdata.baidu.com/data2/lrc/23237099/23237099.lrc,1
1,《费玉清国语精选》,环球唱片,2009-07-14,民歌,热门,梦驼铃,费玉清,,http://musicdata.baidu.com/data2/lrc/13760086/13760086.lrc,1
1,《谢谢你》,环球唱片,2006-04-21,民歌,热门,大眼睛,刀郎,,http://musicdata.baidu.com/data2/lrc/13800750/13800750.lrc,1
1,《大花轿》,龙乐文化,1996-01-01,民歌,热门,大花轿,火风,,http://musicdata.baidu.com/data2/lrc/13786530/13786530.lrc,1
1,《爱琴海》,龙乐文化,2008-01-20,民歌,热门,遇上你是我的缘,央金兰泽,,http://musicdata.baidu.com/data2/lrc/241892679/241892679.lrc,1
1,《谢谢你》,龙乐文化,2006-04-21,民歌,热门,喀什噶尔胡杨,刀郎,,http://musicdata.baidu.com/data2/lrc/251695348/251695348.lrc,1
1,《老炮情歌》,鸟人艺术,2007-01-15,民歌,热门,故乡的月亮,小舟,,http://musicdata.baidu.com/data2/lrc/240153439/240153439.lrc,1
1,《爱琴海》,鸟人艺术,2008-01-20,民歌,热门,爱琴海,央金兰泽,,http://musicdata.baidu.com/data2/lrc/246649478/246649478.lrc,1
1,《爱琴海》,鸟人艺术,2008-01-20,民歌,热门,故乡三江源,央金兰泽,,http://musicdata.baidu.com/data2/lrc/241892690/241892690.lrc,1
1,《谢谢你》,鸟人艺术,2006-04-21,民歌,热门,大敦煌,刀郎,,http://musicdata.baidu.com/data2/lrc/b33537fee4f552bdaf50b16c3b80cfed/275347483/275347483.lrc,1
1,《秋天不回来》,鸟人艺术,2006-12-18,民歌,热门,花儿爱上忘情草,王强,,http://musicdata.baidu.com/data2/lrc/13905947/13905947.lrc,1
1,《狼》,华彩艺音像,2005-04-01,民歌,热门,父亲的草原母亲的河,腾格尔,,http://musicdata.baidu.com/data2/lrc/2092860/2092860.lrc,1
2,《东方牡丹》,天艺唱片,2008-10-08,民歌,热门,送你一朵东方茉莉,宋祖英,,http://musicdata.baidu.com/data2/lrc/3bff83d823cff56d247439fa53dfe35d/262117649/262117649.lrc,2
2,《东方牡丹》,天艺唱片,2008-10-08,民歌,热门,盛开的牡丹,宋祖英,,http://musicdata.baidu.com/data2/lrc/94dcda4d4ed540f5331689043ac53e66/266507840/266507840.lrc,2
2,《飞》,广州音像,2005-04-01,民歌,热门,阳光乐章,宋祖英,,http://musicdata.baidu.com/data2/lrc/1810e208f67b0e0fdc96329e273269fd/266508552/266508552.lrc,2
2,《飞》,广州音像,2005-04-01,民歌,热门,美丽的心情,宋祖英,,http://musicdata.baidu.com/data2/lrc/09db1d57eb29fbff7017531820f8e2f5/266508351/266508351.lrc,2
2,《百年留声》,天艺唱片,2005-12-01,民歌,热门,映山红,宋祖英,,http://musicdata.baidu.com/data2/lrc/5bbdf3a2f6e59da3285944de6f353677/544620871/544620871.lrc,2
2,《大地飞歌》,广州新时代影音,2002-07-01,民歌,热门,越来越好,宋祖英,,http://musicdata.baidu.com/data2/lrc/c21a454083c112d6e25af9d3d5d3d052/266507299/266507299.lrc,2
2,《大地飞歌》,广州新时代影音,2002-07-01,民歌,热门,洪湖水浪打浪,宋祖英,,http://musicdata.baidu.com/data2/lrc/7424332ffa35d0e61c055591d61b5d7e/266507342/266507342.lrc,2
2,《大地飞歌》,广州新时代影音,2002-07-01,民歌,热门,大地飞歌,宋祖英,,http://musicdata.baidu.com/data2/lrc/f1da266e6003f47c1d07f1b051f51e28/257164522/257164522.lrc,2
2,《爱琴海》,广州新时代影音,2008-01-20,民歌,热门,爱的思念,央金兰泽,,http://musicdata.baidu.com/data2/lrc/241892646/241892646.lrc,2
2,《匆匆》,典选音乐,2005-04-15,民歌,热门,最最遥远的路,胡德夫,,http://musicdata.baidu.com/data2/lrc/2064840/2064840.lrc,2
2,《青藏高原》,典选音乐,1998-08-08,民歌,热门,青藏高原,李娜,,http://musicdata.baidu.com/data2/lrc/240149845/240149845.lrc,2
2,《陕北民歌》,典选音乐,2010-07-01,民歌,热门,赶牲灵,"王二妮,冯晓泉",,http://musicdata.baidu.com/data2/lrc/28786346/28786346.lrc,2
2,《陕北民歌》,典选音乐,2010-07-01,民歌,热门,走西口,王二妮,,http://musicdata.baidu.com/data2/lrc/23805028/23805028.lrc,2
2,《陕北民歌》,典选音乐,2010-07-01,民歌,热门,翻身道情,王二妮,,http://musicdata.baidu.com/data2/lrc/23808367/23808367.lrc,2
2,《陕北民歌》,典选音乐,2010-07-01,民歌,热门,绣荷包,王二妮,,http://musicdata.baidu.com/data2/lrc/23717615/23717615.lrc,2
