,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《信仰》,潮水音乐,2000-05-01,电视剧,热门,信仰,张信哲,,http://musicdata.baidu.com/data2/lrc/64535241/64535241.lrc,1
1,《Hitto!!超人气偶像剧主题曲精选》,SONY MUSIC,2009-09-21,电视剧,热门,彩虹的微笑,王心凌,,http://musicdata.baidu.com/data2/lrc/14883205/14883205.lrc,1
1,《就这样约定》,滚石唱片,1994-01-22,电视剧,热门,爱江山更爱美人,李丽芬,,http://musicdata.baidu.com/data2/lrc/246648831/246648831.lrc,1
1,《仙剑奇侠传三 电视原声带》,滚石唱片,2009-06-18,电视剧,热门,生生世世爱,吴雨霏,,http://musicdata.baidu.com/data2/lrc/13765439/13765439.lrc,1
1,《仙剑奇侠传三 电视原声带》,滚石唱片,2009-06-18,电视剧,热门,答应不爱你,郑中基,,http://musicdata.baidu.com/data2/lrc/2085815/2085815.lrc,1
1,《我可能不会爱你电视原声带》,福茂唱片,2011-10-18,电视剧,热门,我不会喜欢你,陈柏霖,,http://musicdata.baidu.com/data2/lrc/13764540/13764540.lrc,1
1,《爱不释手》,滚石唱片,1994-10-22,电视剧,热门,爱不释手,李丽芬,,http://musicdata.baidu.com/data2/lrc/13801841/13801841.lrc,1
1,《仙剑奇侠传三 电视原声带》,滚石唱片,2009-06-18,电视剧,热门,此生不换,青鸟飞鱼,,http://musicdata.baidu.com/data2/lrc/13762346/13762346.lrc,1
1,《西游记 电视连续剧歌曲》,滚石唱片,2000-08-13,电视剧,热门,女儿情,吴静,,http://musicdata.baidu.com/data2/lrc/23247605/23247605.lrc,1
1,《Ang 5.0》,福茂唱片,2007-12-14,电视剧,热门,我恋爱了,张韶涵,,http://musicdata.baidu.com/data2/lrc/13885959/13885959.lrc,1
1,《Ang 5.0》,福茂唱片,2007-12-14,电视剧,热门,不想懂得,张韶涵,,http://musicdata.baidu.com/data2/lrc/241663250/241663250.lrc,1
1,《噢买尬OMG》,滚石唱片,2012-03-21,电视剧,热门,一见钟情,李晟,,http://musicdata.baidu.com/data2/lrc/14882276/14882276.lrc,1
1,《稻草人》,滚石唱片,1999-09-13,电视剧,热门,快乐至上,林志颖,,http://musicdata.baidu.com/data2/lrc/13903310/13903310.lrc,1
1,《我可能不会爱你电视原声带》,福茂唱片,2011-10-18,电视剧,热门,踮起脚尖爱,洪佩瑜,,http://musicdata.baidu.com/data2/lrc/239725895/239725895.lrc,1
1,《我可能不会爱你电视原声带》,福茂唱片,2011-10-18,电视剧,热门,还是会,韦礼安,,http://musicdata.baidu.com/data2/lrc/13985861/13985861.lrc,1
1,《我可能不会爱你电视原声带》,福茂唱片,2011-10-18,电视剧,热门,翅膀,林依晨,,http://musicdata.baidu.com/data2/lrc/13767809/13767809.lrc,1
1,《你 朋友》,福茂唱片,2010-05-14,电视剧,热门,有温柔,郭静,,http://musicdata.baidu.com/data2/lrc/13888562/13888562.lrc,1
1,《Ang 5.0》,福茂唱片,2007-12-14,电视剧,热门,能不能勇敢说爱,张韶涵,,http://musicdata.baidu.com/data2/lrc/13975426/13975426.lrc,1
1,《原来我不帅》,海蝶音乐,2008-10-01,电视剧,热门,期待你的爱,林俊杰,,http://musicdata.baidu.com/data2/lrc/1465038/1465038.lrc,1
1,《爱的进行式》,滚石唱片,1994-01-27,电视剧,热门,笑红尘,陈淑桦,,http://musicdata.baidu.com/data2/lrc/13880485/13880485.lrc,1
2,《风云2》,滚石唱片,2005-04-01,电视剧,热门,你,屠洪刚,,http://musicdata.baidu.com/data2/lrc/71290562/71290562.lrc,2
2,《Ang 5.0》,福茂唱片,2007-12-14,电视剧,热门,乐园,张韶涵,,http://musicdata.baidu.com/data2/lrc/13888305/13888305.lrc,2
2,《不顾一切》,滚石唱片,1995-12-01,电视剧,热门,难为男儿汉,巫奇,,http://musicdata.baidu.com/data2/lrc/246651580/246651580.lrc,2
2,《狂想的旅程》,SONY MUSIC,2007-10-24,电视剧,热门,大雁归,韩雪,,http://musicdata.baidu.com/data2/lrc/13914485/13914485.lrc,2
2,《Hitto!!超人气偶像剧主题曲精选》,SONY MUSIC,2009-09-21,电视剧,热门,爱的勇气,赖雅妍,,http://musicdata.baidu.com/data2/lrc/14913917/14913917.lrc,2
2,《张玉华》,环球唱片,2009-07-14,电视剧,热门,那又怎么样呢,张玉华,,http://musicdata.baidu.com/data2/lrc/1279444/1279444.lrc,2
2,《思念的季节/我听》,新索音乐,2004-11-01,电视剧,热门,残酷的美好,满文军,,http://musicdata.baidu.com/data2/lrc/dc638e0b8fe3bffb294a6e0e6f5c73de/277033321/277033321.lrc,2
2,《绽放》,SONY MUSIC,2007-06-07,电视剧,热门,发现,周蕙,,http://musicdata.baidu.com/data2/lrc/1250862/1250862.lrc,2
2,《傻的可以》,滚石唱片,2003-11-07,电视剧,热门,身边,许绍洋,,http://musicdata.baidu.com/data2/lrc/14966041/14966041.lrc,2
2,《思念的季节/我听》,新索音乐,2004-11-01,电视剧,热门,懂我,满文军,,http://musicdata.baidu.com/data2/lrc/64944066/64944066.lrc,2
2,《就是主题歌》,SONY MUSIC,2004-04-16,电视剧,热门,飘摇,王子鸣,,http://musicdata.baidu.com/data2/lrc/13912795/13912795.lrc,2
2,《最爱你中国》,老孙文化,2002-02-21,电视剧,热门,新水调歌头,叶凡,,http://musicdata.baidu.com/data2/lrc/246649283/246649283.lrc,2
2,《最爱你中国》,老孙文化,2002-02-21,电视剧,热门,相思,叶凡,,http://musicdata.baidu.com/data2/lrc/f04ba704061917c00a33d80d6822f3ea/264574806/264574806.lrc,2
2,《Super Sunshine》,滚石唱片,2007-12-28,电视剧,热门,吹吹风,曹格,,http://musicdata.baidu.com/data2/lrc/241647872/241647872.lrc,2
2,《万水千山总是情》,滚石唱片,1988-07-01,电视剧,热门,万水千山总是情,汪明荃,,http://musicdata.baidu.com/data2/lrc/23477632/23477632.lrc,2
2,《我可能不会爱你电视原声带》,福茂唱片,2011-10-18,电视剧,热门,现在开始,王宏恩,,http://musicdata.baidu.com/data2/lrc/13854832/13854832.lrc,2
2,《我可能不会爱你电视原声带》,福茂唱片,2011-10-18,电视剧,热门,普通朋友的朋友,蔡昌宪,,http://musicdata.baidu.com/data2/lrc/13852039/13852039.lrc,2
2,《篮球火音乐圣典》,SONY MUSIC,2008-08-08,电视剧,热门,Superman,倪子冈,,http://musicdata.baidu.com/data2/lrc/240197349/240197349.lrc,2
2,《Hitto!!超人气偶像剧主题曲精选》,SONY MUSIC,2009-09-21,电视剧,热门,熟悉的温柔,周渝民,,http://musicdata.baidu.com/data2/lrc/2100906/2100906.lrc,2
2,《仙剑奇侠传三 电视原声带》,SONY MUSIC,2009-06-18,电视剧,热门,你是我一首唱不完的歌,郭蘅祈,,http://musicdata.baidu.com/data2/lrc/2100906/2100906.lrc,2
3,《宝丽金极品音色系列1盒2Cd - 关正杰》,环球唱片,1997-12-22,电视剧,热门,万水千山纵横,关正杰,,http://musicdata.baidu.com/data2/lrc/10299806/10299806.lrc,3
3,《换换爱》,海蝶音乐,2007-08-14,电视剧,热门,我要的世界,王传一,,http://musicdata.baidu.com/data2/lrc/1278819/1278819.lrc,3
3,《换换爱》,海蝶音乐,2007-08-14,电视剧,热门,换换爱,王传一,,http://musicdata.baidu.com/data2/lrc/1278789/1278789.lrc,3
3,《苦苦相逼》,滚石唱片,1995-07-20,电视剧,热门,尘埃,沈凤仪,,http://musicdata.baidu.com/data2/lrc/12620796/12620796.lrc,3
3,《风云2》,滚石唱片,2005-04-01,电视剧,热门,江山无限,屠洪刚,,http://musicdata.baidu.com/data2/lrc/23470776/23470776.lrc,3
3,"《1,1 Play n Fun》",滚石唱片,2009-11-06,电视剧,热门,永不消失的彩虹,卓文萱,,http://musicdata.baidu.com/data2/lrc/357656/357656.lrc,3
3,《锦上添花》,易柏文化,2004-05-27,电视剧,热门,故事就是故事,戴娆,,http://musicdata.baidu.com/data2/lrc/13888439/13888439.lrc,3
3,《海豚爱上猫 电视原声带》,福茂唱片,2005-07-14,电视剧,热门,大海爱蓝天,彭于晏,,http://musicdata.baidu.com/data2/lrc/1430028/1430028.lrc,3
3,《滚石香港黄金十年-李宗盛精选》,滚石唱片,2003-03-14,电视剧,热门,鬼迷心窍,李宗盛,,http://musicdata.baidu.com/data2/lrc/14743124/14743124.lrc,3
3,《绝对收藏黄大炜》,SONY MUSIC,2008-07-16,电视剧,热门,只有一个自己,黄大炜,,http://musicdata.baidu.com/data2/lrc/302187/302187.lrc,3
3,《绝对收藏黄大炜》,SONY MUSIC,2008-07-16,电视剧,热门,明天要把昨天忘记,黄大炜,,http://musicdata.baidu.com/data2/lrc/288115/288115.lrc,3
