,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《万水千山总是情》,天中文化,1988-07-01,粤语,热门,万水千山总是情,汪明荃,,http://musicdata.baidu.com/data2/lrc/23477632/23477632.lrc,1
1,《Hits Or Misses》,天中文化,2003-02-14,粤语,热门,单恋高校,陈冠希,,http://musicdata.baidu.com/data2/lrc/239477515/239477515.lrc,1
1,《What'S Going On...?》,环球唱片,2006-11-23,粤语,热门,裙下之臣,陈奕迅,,http://musicdata.baidu.com/data2/lrc/241649591/241649591.lrc,1
1,《What'S Going On...?》,环球唱片,2006-11-23,粤语,热门,富士山下,陈奕迅,,http://musicdata.baidu.com/data2/lrc/122155592/122155592.lrc,1
1,《Peace And Love》,英皇唱片,2003-06-28,粤语,热门,坏孩子的天空,陈冠希,,http://musicdata.baidu.com/data2/lrc/13975551/13975551.lrc,1
1,《不能不爱》,SONY MUSIC,2009-09-25,粤语,热门,落地开花,卢巧音,,http://musicdata.baidu.com/data2/lrc/9673425/9673425.lrc,1
1,《不能不爱》,SONY MUSIC,2009-09-25,粤语,热门,好心分手,卢巧音,,http://musicdata.baidu.com/data2/lrc/89291721/89291721.lrc,1
1,《Get A Life 演唱会》,环球唱片,2006-04-20,粤语,热门,K歌之王,陈奕迅,,http://musicdata.baidu.com/data2/lrc/14739457/14739457.lrc,1
1,《What'S Going On...?》,环球唱片,2006-11-23,粤语,热门,不如不见,陈奕迅,,http://musicdata.baidu.com/data2/lrc/13798953/13798953.lrc,1
1,《新曲+精选》,环球唱片,1993-12-01,粤语,热门,痴心换情深,周慧敏,,http://musicdata.baidu.com/data2/lrc/282983/282983.lrc,1
1,《What'S Going On...?》,环球唱片,2006-11-23,粤语,热门,白玫瑰,陈奕迅,,http://musicdata.baidu.com/data2/lrc/13767193/13767193.lrc,1
1,《VIVA》,英皇唱片,2000-11-01,粤语,热门,不需要安慰,谢霆锋,,http://musicdata.baidu.com/data2/lrc/804129/804129.lrc,1
1,《DUO 陈奕迅2010演唱会》,环球唱片,2010-06-28,粤语,热门,落花流水,陈奕迅,,http://musicdata.baidu.com/data2/lrc/13916137/13916137.lrc,1
1,《活出生命Live演唱会》,环球唱片,2004-12-01,粤语,热门,爱是永恒,张学友,,http://musicdata.baidu.com/data2/lrc/13981783/13981783.lrc,1
1,《Hits Or Misses》,环球唱片,2003-02-14,粤语,热门,你快乐吗,陈冠希,,http://musicdata.baidu.com/data2/lrc/1083189/1083189.lrc,1
1,《相逢在半生》,环球唱片,2009-12-29,粤语,热门,堆积情感,邝美云,,http://musicdata.baidu.com/data2/lrc/10549789/10549789.lrc,1
1,《Joey & Joey 新城容祖儿音乐会》,英皇唱片,2012-01-20,粤语,热门,烟霞,容祖儿,,http://musicdata.baidu.com/data2/lrc/13740938/13740938.lrc,1
1,《新曲+精选》,环球唱片,1993-12-01,粤语,热门,最爱,周慧敏,,http://musicdata.baidu.com/data2/lrc/279533/279533.lrc,1
1,《What'S Going On...?》,环球唱片,2006-11-23,粤语,热门,最后的嬉皮士,陈奕迅,,http://musicdata.baidu.com/data2/lrc/267663/267663.lrc,1
1,《What'S Going On...?》,环球唱片,2006-11-23,粤语,热门,天公地道,陈奕迅,,http://musicdata.baidu.com/data2/lrc/12477563/12477563.lrc,1
2,《Honey》,环球唱片,2006-11-09,粤语,热门,半点,郑融,,http://musicdata.baidu.com/data2/lrc/12461200/12461200.lrc,2
2,《Elements—热唱歌曲》,环球唱片,2009-12-28,粤语,热门,难得有情人,关淑怡,,http://musicdata.baidu.com/data2/lrc/10520892/10520892.lrc,2
2,《歌者恋歌浓情30年经典金曲》,环球唱片,2006-07-29,粤语,热门,朋友,谭咏麟,,http://musicdata.baidu.com/data2/lrc/979513/979513.lrc,2
2,《Live For Today》,英皇唱片,2003-07-01,粤语,热门,十面埋伏,陈奕迅,,http://musicdata.baidu.com/data2/lrc/16291853/16291853.lrc,2
2,《环球Sacd天碟系列 - 谭咏麟 2》,环球唱片,2009-07-14,粤语,热门,朋友,谭咏麟,,http://musicdata.baidu.com/data2/lrc/239153826/239153826.lrc,2
2,《The Line-Up》,英皇唱片,2002-07-24,粤语,热门,1874,陈奕迅,,http://musicdata.baidu.com/data2/lrc/13854322/13854322.lrc,2
2,《4 Seasons In One Day》,SONY MUSIC,2004-07-20,粤语,热门,落地开花,卢巧音,,http://musicdata.baidu.com/data2/lrc/10212381/10212381.lrc,2
2,《菲离不开》,百代,1999-01-01,粤语,热门,爱与痛的边缘,王菲,,http://musicdata.baidu.com/data2/lrc/15265976/15265976.lrc,2
2,《Get A Life 演唱会》,环球唱片,2006-04-20,粤语,热门,十面埋伏,陈奕迅,,http://musicdata.baidu.com/data2/lrc/239713153/239713153.lrc,2
