,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《Strauss: New Year's Concert in Vienna 1987》,环球唱片,2007-01-18,纯音乐,热门,"电闪雷鸣快速波尔卡（Unter Donner und Blitz Polka, Op.324 (Thunder and Lightning Polka)）","卡拉扬,维也纳爱乐乐团",,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288834312/288834312.lrc,1
1,《Strauss: New Year's Concert in Vienna 1987》,环球唱片,2007-01-18,纯音乐,热门,"蓝色多瑙河(An der schonen blauen Donau, Walzer, Op.314 (The Blue Danube))","卡拉扬,维也纳爱乐乐团",,http://musicdata.baidu.com/data2/lrc/6f0c71f4eb174c5dbcfcdb6c6e031843/261506335/261506335.lrc,1
1,《Lindsey Stirling》,环球唱片,2012-09-18,纯音乐,热门,Electric Daisy Violin,Lindsey Stirling,,http://musicdata.baidu.com/data2/lrc/6f0c71f4eb174c5dbcfcdb6c6e031843/261506335/261506335.lrc,1
1,《卡农变奏曲》,众水之音,2007-06-01,纯音乐,热门,卡农D大调,贵族乐团,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/269119300/269119300.lrc,1
1,《Escala》,SONY MUSIC,2009-05-25,纯音乐,热门,Kashmir,Escala,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/269119300/269119300.lrc,1
1,《60'S Gold》,环球唱片,2006-08-21,纯音乐,热门,Love Is Blue,Paul Mauriat,,http://musicdata.baidu.com/data2/lrc/19026597e9d258c5faa49817f7dbd1e3/257169992/257169992.lrc,1
1,《Strauss: New Year's Concert in Vienna 1987》,环球唱片,2007-01-18,纯音乐,热门,"狂喜圆舞曲( Delirien, Op.212)","卡拉扬,维也纳爱乐乐团",,http://musicdata.baidu.com/data2/lrc/19026597e9d258c5faa49817f7dbd1e3/257169992/257169992.lrc,1
1,《Escala》,SONY MUSIC,2009-05-25,纯音乐,热门,Palladio,Escala,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/257166666/257166666.lrc,1
1,《Escala》,SONY MUSIC,2009-05-25,纯音乐,热门,Requiem For A Tower,Escala,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/257166700/257166700.lrc,1
1,《Escala》,SONY MUSIC,2009-05-25,纯音乐,热门,Finding Beauty,Escala,,http://musicdata.baidu.com/qukulrc/qq_lyric/a3671df9de0a776085da231511cafa8e.lrc,1
1,《Escala》,SONY MUSIC,2009-05-25,纯音乐,热门,Clubbed To Death,Escala,,http://musicdata.baidu.com/data2/lrc/380a4d16ccce7559425630bfc2da9bc0/259258041/259258041.lrc,1
1,《From Russia With Love - Soundtrack》,EMI,2009-03-24,纯音乐,热门,007,John Barry,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/259302012/259302012.lrc,1
1,《Chameleon Days》,SONY MUSIC,1988-10-01,纯音乐,热门,Swept Away,Yanni,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/257164169/257164169.lrc,1
1,《Love Songs》,SONY MUSIC,1999-04-13,纯音乐,热门,First Touch,Yanni,,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288833729/288833729.lrc,1
1,《Strauss: New Year's Concert in Vienna 1987》,环球唱片,2007-01-18,纯音乐,热门,拉德茨基进行曲(Radetzky Marsch. Op228 Johann StraussⅠ1987.1.1 Herbert Von Karajan),"卡拉扬,维也纳爱乐乐团",,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288832017/288832017.lrc,1
1,《Strauss: New Year's Concert in Vienna 1987》,环球唱片,2007-01-18,纯音乐,热门,心爱安娜波尔卡(Cherubic Annen Polka.Op137),"卡拉扬,维也纳爱乐乐团",,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288824620/288824620.lrc,1
