,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《国语经典101》,环球唱片,2009-12-29,经典老歌,热门,白天不懂夜的黑,那英,,http://musicdata.baidu.com/data2/lrc/13908594/13908594.lrc,1
1,《如果云知道》,环球唱片,1996-09-08,经典老歌,热门,如果云知道,许茹芸,,http://musicdata.baidu.com/data2/lrc/240885610/240885610.lrc,1
1,《清韵悠扬 精选二》,环球唱片,2003-01-01,经典老歌,热门,我在你左右,费玉清,,http://musicdata.baidu.com/data2/lrc/12464956/12464956.lrc,1
1,《大地飞歌》,广州新时代影音,2002-07-01,经典老歌,热门,洪湖水浪打浪,宋祖英,,http://musicdata.baidu.com/data2/lrc/7424332ffa35d0e61c055591d61b5d7e/266507342/266507342.lrc,1
1,《世纪10星 - 永恒篇》,环球唱片,2006-07-14,经典老歌,热门,偏偏喜欢你,陈百强,,http://musicdata.baidu.com/data2/lrc/119c24d6331cc7ad160a45b85d145dbd/262233910/262233910.lrc,1
1,《美丽的爱情》,环球唱片,2009-07-14,经典老歌,热门,七月七日晴,许慧欣,,http://musicdata.baidu.com/data2/lrc/13916842/13916842.lrc,1
1,《广东经典101》,环球唱片,2009-12-30,经典老歌,热门,相思风雨中,"张学友,汤宝如",,http://musicdata.baidu.com/data2/lrc/240403861/240403861.lrc,1
1,《EMI星声传集之叶丽仪》,EMI,2006-03-09,经典老歌,热门,上海滩,叶丽仪,,http://musicdata.baidu.com/data2/lrc/6172173/6172173.lrc,1
1,《回蔚 莫文蔚巡回演唱会@台北小巨蛋》,环球唱片,2012-03-30,经典老歌,热门,盛夏的果实,莫文蔚,,http://musicdata.baidu.com/data2/lrc/33988440/33988440.lrc,1
1,《齐秦的世纪情歌之迷》,力行网际,1999-03-01,经典老歌,热门,一场游戏一场梦,齐秦,,http://musicdata.baidu.com/data2/lrc/246920726/246920726.lrc,1
1,《恋恋风尘》,太合麦田,1995-05-01,经典老歌,热门,恋恋风尘,老狼,,http://musicdata.baidu.com/data2/lrc/239133165/239133165.lrc,1
1,《走过1999》,环球唱片,1999-11-11,经典老歌,热门,你好毒,张学友,,http://musicdata.baidu.com/data2/lrc/240111732/240111732.lrc,1
1,《势不两立》,环球唱片,1980-12-18,经典老歌,热门,雪中情,邓丽君,,http://musicdata.baidu.com/data2/lrc/14881872/14881872.lrc,1
1,《想和你去吹吹风》,环球唱片,1997-08-01,经典老歌,热门,想和你去吹吹风,张学友,,http://musicdata.baidu.com/data2/lrc/239129886/239129886.lrc,1
1,《蔡琴 不了情演唱会》,环球唱片,2007-03-23,经典老歌,热门,往事只能回味,蔡琴,,http://musicdata.baidu.com/data2/lrc/240401342/240401342.lrc,1
1,《Miss Independent》,环球唱片,2007-03-23,经典老歌,热门,Big Big World,Emilia,,http://musicdata.baidu.com/data2/lrc/10318633/10318633.lrc,1
1,《闪亮每一天》,环球唱片,2009-07-14,经典老歌,热门,记事本,陈慧琳,,http://musicdata.baidu.com/data2/lrc/1129463/1129463.lrc,1
1,《国语经典101》,环球唱片,2009-12-29,经典老歌,热门,别问我是谁,王馨平,,http://musicdata.baidu.com/data2/lrc/240403955/240403955.lrc,1
1,《宝丽金88极品音色系列》,环球唱片,1997-12-04,经典老歌,热门,但愿人长久,邓丽君,,http://musicdata.baidu.com/data2/lrc/287443/287443.lrc,1
2,青春,环球唱片,1997-12-04,经典老歌,热门,燕衔泥,眉佳,,http://musicdata.baidu.com/data2/lrc/14387458/14387458.lrc,2
2,《都是夜归人》,环球唱片,1997-01-01,经典老歌,热门,阳光总在风雨后,许美静,,http://musicdata.baidu.com/data2/lrc/a94cafd47897c70755ea685cd7226358/260219497/260219497.lrc,2
2,《相逢在半生》,环球唱片,2009-12-29,经典老歌,热门,堆积情感,邝美云,,http://musicdata.baidu.com/data2/lrc/10549789/10549789.lrc,2
2,《三年两语》,环球唱片,1995-11-01,经典老歌,热门,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/241639598/241639598.lrc,2
2,《Leslie Cheung Four Seasons》,环球唱片,2011-12-01,经典老歌,热门,倩女幽魂,张国荣,,http://musicdata.baidu.com/data2/lrc/68ffe9c054c7fdbdf52762281046d7a3/262231351/262231351.lrc,2
2,《对着唱》,环球唱片,2006-07-31,经典老歌,热门,有一点动心,"刘嘉玲,张信哲",,http://musicdata.baidu.com/data2/lrc/13904389/13904389.lrc,2
2,《甜蜜蜜》,环球唱片,1979-01-01,经典老歌,热门,甜蜜蜜,邓丽君,,http://musicdata.baidu.com/data2/lrc/239129977/239129977.lrc,2
2,《世纪10星 - 永恒篇》,环球唱片,2006-07-14,经典老歌,热门,一生何求,陈百强,,http://musicdata.baidu.com/data2/lrc/aeaf27496d4701600a716504f349fa16/257170154/257170154.lrc,2
2,《我只在乎你》,环球唱片,1987-01-02,经典老歌,热门,我只在乎你,邓丽君,,http://musicdata.baidu.com/data2/lrc/13757286/13757286.lrc,2
2,《阿菲正传》,环球唱片,2009-06-23,经典老歌,热门,棋子,王菲,,http://musicdata.baidu.com/data2/lrc/33800508/33800508.lrc,2
2,《国语经典101》,环球唱片,2009-12-29,经典老歌,热门,爱我的人和我爱的人,裘海正,,http://musicdata.baidu.com/data2/lrc/e4b09393db4d2fced3326dcdd5461d2f/263644295/263644295.lrc,2
2,《咱当兵的人》,长城艺术文化,2003-01-01,经典老歌,热门,咱当兵的人,刘斌,,http://musicdata.baidu.com/data2/lrc/23494265/23494265.lrc,2
2,《蔡琴海上良宵演唱会》,环球唱片,2011-01-14,经典老歌,热门,你的眼神,蔡琴,,http://musicdata.baidu.com/data2/lrc/7362352/7362352.lrc,2
2,《郭峰经典1980-2000》,环球唱片,2002-04-14,经典老歌,热门,心会跟爱一起走,"郭峰,陈洁仪",,http://musicdata.baidu.com/data2/lrc/1458419/1458419.lrc,2
2,《丝路》,力行网际,1996-05-01,经典老歌,热门,不让我的眼泪陪我过夜,齐秦,,http://musicdata.baidu.com/data2/lrc/241853979/241853979.lrc,2
2,《光辉岁月-二十周年精选》,力行网际,环球唱片,经典老歌,热门,真的爱你,Beyond,,http://musicdata.baidu.com/data2/lrc/13895242/13895242.lrc,2
2,《Singles 1969-1981》,环球唱片,2000-01-17,经典老歌,热门,Yesterday Once More - 1991 Remix,Carpenters,,http://musicdata.baidu.com/data2/lrc/65fcc040dfc6ac6a5115fa88546ddb4f/269248484/269248484.lrc,2
2,《宝丽金88极品音色系列》,环球唱片,1997-12-04,经典老歌,热门,独上西楼,邓丽君,,http://musicdata.baidu.com/data2/lrc/287296/287296.lrc,2
2,《The Woman In Me》,环球唱片,2000-03-06,经典老歌,热门,Any Man Of Mine,Shania Twain,,http://musicdata.baidu.com/data2/lrc/241654780/241654780.lrc,2
3,《但愿人长久》,环球唱片,1999-06-01,经典老歌,热门,但愿人长久,王菲,,http://musicdata.baidu.com/data2/lrc/239129071/239129071.lrc,3
3,《出境入境》,环球唱片,2009-07-14,经典老歌,热门,感恩的心,欧阳菲菲,,http://musicdata.baidu.com/data2/lrc/b2b92e5c19538e370147bee6d1744cac/540054515/540054515.lrc,3
3,《学友光年世界巡迴演唱会’07-香港站》,环球唱片,2008-12-23,经典老歌,热门,每天爱你多一些,张学友,,http://musicdata.baidu.com/data2/lrc/1584125/1584125.lrc,3
3,《国语真经典》,环球唱片,2005-01-01,经典老歌,热门,泪海,许茹芸,,http://musicdata.baidu.com/data2/lrc/261901/261901.lrc,3
3,《留在蓉城的微笑》,华胜枫林,2004-12-01,经典老歌,热门,你在他乡还好吗,光头李进,,http://musicdata.baidu.com/data2/lrc/31eae18a3b530b2859b407964148ea5e/267819331/267819331.lrc,3
3,经典老歌,华胜枫林,2004-12-01,经典老歌,热门,小芳,李春波,,http://musicdata.baidu.com/data2/lrc/15122831/15122831.lrc,3
3,怀旧,华胜枫林,2004-12-01,经典老歌,热门,天堂,腾格尔,,http://musicdata.baidu.com/data2/lrc/27855729/27855729.lrc,3
3,《无所谓》,竹书,2002-04-01,经典老歌,热门,无所谓,杨坤,,http://musicdata.baidu.com/data2/lrc/cafb8b2c2256cdfd549b01f0edca1ee6/266871424/266871424.lrc,3
3,《环球Sacd天碟系列 - 谭咏麟 2》,环球唱片,2009-07-14,经典老歌,热门,朋友,谭咏麟,,http://musicdata.baidu.com/data2/lrc/239153826/239153826.lrc,3
3,《清韵悠扬 精选二》,环球唱片,2003-01-01,经典老歌,热门,南屏晚钟,费玉清,,http://musicdata.baidu.com/data2/lrc/13889985/13889985.lrc,3
3,《吻别》,环球唱片,1993-03-05,经典老歌,热门,秋意浓,张学友,,http://musicdata.baidu.com/data2/lrc/13767483/13767483.lrc,3
3,《因为你》,EMI,1996-10-26,经典老歌,热门,太傻,巫启贤,,http://musicdata.baidu.com/data2/lrc/31531201/31531201.lrc,3
3,《国语经典101》,环球唱片,2009-12-29,经典老歌,热门,让我一次爱个够,庾澄庆,,http://musicdata.baidu.com/data2/lrc/23529908/23529908.lrc,3
3,《Lpcd45之陈慧娴》,环球唱片,2007-05-12,经典老歌,热门,飘雪,陈慧娴,,http://musicdata.baidu.com/data2/lrc/13840485/13840485.lrc,3
3,《活出生命Live演唱会》,环球唱片,2004-12-01,经典老歌,热门,爱如潮水,张学友,,http://musicdata.baidu.com/data2/lrc/251695902/251695902.lrc,3
3,《那一年》,太合麦田,2000-12-01,经典老歌,热门,故乡,许巍,,http://musicdata.baidu.com/data2/lrc/5760422523243d26019508f3e1d8221d/544622314/544622314.lrc,3
3,《Elements -国语歌曲》,力行网际,2009-12-28,经典老歌,热门,谢谢你的爱,刘德华,,http://musicdata.baidu.com/data2/lrc/13857608/13857608.lrc,3
3,《Deliberate 犹豫》,环球唱片,1991-09-01,经典老歌,热门,不再犹豫,Beyond,,http://musicdata.baidu.com/data2/lrc/13895697/13895697.lrc,3
4,《Carpenters Gold》,环球唱片,2001-02-26,经典老歌,热门,Yesterday Once More,Carpenters,,http://musicdata.baidu.com/data2/lrc/14878694/14878694.lrc,4
4,《钢琴恋曲101》,环球唱片,2009-12-28,经典老歌,热门,至少还有你,林忆莲,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/7316911/7316911.lrc,4
