,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《原香草》,颂今音乐,2012-06-19,草原歌曲,热门,草原一枝花,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/246651761/246651761.lrc,1
1,《温暖的家》,颂今音乐,2012-10-11,草原歌曲,热门,草原,德德玛,,http://musicdata.baidu.com/data2/lrc/241624653/241624653.lrc,1
1,《大草原小情歌》,颂今音乐,2012-12-17,草原歌曲,热门,恋上你,旺姆,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/259257279/259257279.lrc,1
1,《大草原小情歌》,颂今音乐,2012-12-17,草原歌曲,热门,万物的等待,旺姆,,http://musicdata.baidu.com/data2/lrc/32622246/32622246.lrc,1
1,《大草原小情歌》,颂今音乐,2012-12-17,草原歌曲,热门,美丽的林芝,旺姆,,http://musicdata.baidu.com/data2/lrc/34126621/34126621.txt,1
1,《大草原小情歌》,颂今音乐,2012-12-17,草原歌曲,热门,格桑花的祝愿,旺姆,,http://musicdata.baidu.com/data2/lrc/32619019/32619019.lrc,1
1,《大草原小情歌》,颂今音乐,2012-12-17,草原歌曲,热门,高原之恋,旺姆,,http://musicdata.baidu.com/data2/lrc/34126620/34126620.txt,1
1,《大草原小情歌》,颂今音乐,2012-12-17,草原歌曲,热门,祈祷,旺姆,,http://musicdata.baidu.com/data2/lrc/34126619/34126619.lrc,1
1,《大草原小情歌》,颂今音乐,2012-12-17,草原歌曲,热门,祝福吉祥,旺姆,,http://musicdata.baidu.com/data2/lrc/32614576/32614576.lrc,1
1,《大草原小情歌》,颂今音乐,2012-12-17,草原歌曲,热门,天籁之爱,"容中尔甲,旺姆",,http://musicdata.baidu.com/data2/lrc/32594159/32594159.lrc,1
1,《醉美草原》,颂今音乐,2012-12-07,草原歌曲,热门,幸福的远方,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/65430246/65430246.lrc,1
1,《醉美草原》,颂今音乐,2012-12-07,草原歌曲,热门,蓝色故乡,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/65430243/65430243.lrc,1
1,《醉美草原》,颂今音乐,2012-12-07,草原歌曲,热门,美丽的达古拉,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/65430242/65430242.lrc,1
1,《醉美草原》,颂今音乐,2012-12-07,草原歌曲,热门,香巴拉并不遥远,乌兰图雅,,http://musicdata.baidu.com/data2/lrc/65430240/65430240.lrc,1
1,《幸福草原》,颂今音乐,2012-12-07,草原歌曲,热门,草原多么美,甘雅丹,,http://musicdata.baidu.com/data2/lrc/85833928/85833928.lrc,1
1,《幸福草原》,颂今音乐,2012-12-07,草原歌曲,热门,那溪那山,甘雅丹,,http://musicdata.baidu.com/data2/lrc/85833386/85833386.lrc,1
1,《幸福草原》,颂今音乐,2012-12-07,草原歌曲,热门,吉祥雪莲,甘雅丹,,http://musicdata.baidu.com/data2/lrc/87598525/87598525.lrc,1
1,《幸福草原》,颂今音乐,2012-12-07,草原歌曲,热门,爱上草原爱上你,甘雅丹,,http://musicdata.baidu.com/data2/lrc/115060624/115060624.lrc,1
1,《红色恋人》,弦音文化,2015-07-07,草原歌曲,热门,草原,查丽娜,,http://musicdata.baidu.com/data2/lrc/243152991/243152991.lrc,1
1,经典民歌,弦音文化,2015-07-07,草原歌曲,热门,我是草原姑娘,佚名,,http://musicdata.baidu.com/data2/lrc/242275310/242275310.lrc,1
