,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《I Like Jazz: The Essence Of Dave Brubeck》,SONY MUSIC,1991-10-07,萨克斯,热门,Take Five,Dave Brubeck,,http://musicdata.baidu.com/data2/lrc/1429277/1429277.lrc,1
1,《Unsung Hero》,SONY MUSIC,1996-05-15,萨克斯,热门,When Sunny Gets Blue,Charlie Rouse,,http://musicdata.baidu.com/data2/lrc/1429277/1429277.lrc,1
1,《Dave Brubeck'S Greatest Hits》,SONY MUSIC,1998-01-07,萨克斯,热门,Take Five,Dave Brubeck,,http://musicdata.baidu.com/data2/lrc/114761003/114761003.lrc,1
1,《Jazz Six Pack》,环球唱片,2009-06-08,萨克斯,热门,St. Thomas,Sonny Rollins,,http://musicdata.baidu.com/data2/lrc/114761003/114761003.lrc,1
1,《The Bridge》,SONY MUSIC,2003-06-02,萨克斯,热门,Without A Song,Sonny Rollins,,http://musicdata.baidu.com/data2/lrc/114761003/114761003.lrc,1
1,《Greatest Hits Series--Sonny Rollins》,SONY MUSIC,1997-12-06,萨克斯,热门,St. Thomas,Sonny Rollins,,http://musicdata.baidu.com/data2/lrc/114761003/114761003.lrc,1
1,"《The Great Concerts...Amsterdam, Copenhagen, Carnegie Hall》",SONY MUSIC,1988-05-22,萨克斯,热门,Take Five,The Dave Brubeck Quartet,,http://musicdata.baidu.com/data2/lrc/114761003/114761003.lrc,1
1,"《The Great Concerts...Amsterdam, Copenhagen, Carnegie Hall》",SONY MUSIC,1988-05-22,萨克斯,热门,Blue Rondo A La Turk,The Dave Brubeck Quartet,,http://musicdata.baidu.com/data2/lrc/114761003/114761003.lrc,1
1,《The Quartets Featuring Jim Hall》,Sony Music,2009-11-02,萨克斯,热门,Without a Song,Sonny Rollins,,http://musicdata.baidu.com/data2/lrc/114761003/114761003.lrc,1
1,《The Complete Rca Victor Recordings》,SONY MUSIC,1997-08-02,萨克斯,热门,Without A Song,Sonny Rollins,,http://musicdata.baidu.com/data2/lrc/114761003/114761003.lrc,1
