,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《世界古典音乐1》,恒大音乐,2008-09-01,轻音乐,热门,小夜曲-舒伯特,新雅室内乐,,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288821444/288821444.lrc,1
1,《In Celebration Of Life》,SONY MUSIC,1991-11-12,轻音乐,热门,Santorini,Yanni,,http://musicdata.baidu.com/data2/lrc/59364c1d9fa37d5ce3a7d440cd85ca4f/259145261/259145261.lrc,1
1,《卡农变奏曲》,众水之音,2007-06-01,轻音乐,热门,卡农D大调,贵族乐团,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/269119300/269119300.lrc,1
1,器乐,众水之音,2007-06-01,轻音乐,热门,献给爱丽丝,贝多芬,,http://musicdata.baidu.com/data2/lrc/32ac69ab698f413d61c22637da530623/261740515/261740515.lrc,1
1,《The Best - Reminiscent 10Th Anniversary》,SONY MUSIC,2011-11-24,轻音乐,热门,River Flows In You,Yiruma,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/13024508/13024508.lrc,1
1,《In My Time》,SONY MUSIC,1993-04-06,轻音乐,热门,The End Of August,Yanni,,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288833485/288833485.lrc,1
1,《Ultimate Yanni》,SONY MUSIC,2003-01-21,轻音乐,热门,One Man's Dream,Yanni,,http://musicdata.baidu.com/data2/lrc/0726fdaa8e2fae8a7d8648afcff47e05/273865247/273865247.lrc,1
1,《世界古典音乐1》,恒大音乐,2008-09-01,轻音乐,热门,天鹅湖-柴可夫斯基,新雅室内乐,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/269229837/269229837.lrc,1
1,轻音乐,恒大音乐,2008-09-01,轻音乐,热门,小步舞曲,贝多芬,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/269229837/269229837.lrc,1
1,《世界古典音乐2》,恒大音乐,2008-09-01,轻音乐,热门,绿袖子,新雅室内乐,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/276844579/276844579.lrc,1
1,《理察钢琴王子2（18首水晶钢琴电影情诗）》,众水之音,2010-08-13,轻音乐,热门,梦中的婚礼,贵族乐团,,http://musicdata.baidu.com/data2/lrc/798c2eafc78da5bf04a66b2ab36bf42c/266894719/266894719.lrc,1
1,《萨克斯风系列（8）经典篇》,恒大音乐,2008-09-01,轻音乐,热门,回家,刘飞&陈广生,,http://musicdata.baidu.com/data2/lrc/90520824de6603bc7ba49aa698f7af0f/267055878/267055878.lrc,1
1,《萨克斯风系列（8）经典篇》,恒大音乐,2008-09-01,轻音乐,热门,橄榄树,刘飞&陈广生,,http://musicdata.baidu.com/data2/lrc/90520824de6603bc7ba49aa698f7af0f/267055878/267055878.lrc,1
1,《双电子琴-琴之恋3》,恒大音乐,2008-09-01,轻音乐,热门,小城故事,余晖&林建明,,http://musicdata.baidu.com/data2/lrc/90520824de6603bc7ba49aa698f7af0f/267055878/267055878.lrc,1
1,《The Gift》,SONY MUSIC,1999-12-30,轻音乐,热门,Greensleeves (What Child Is This?),Liz Story,,http://musicdata.baidu.com/data2/lrc/90520824de6603bc7ba49aa698f7af0f/267055878/267055878.lrc,1
1,《Lang Lang Live In Vienna》,SONY MUSIC,2010-08-23,轻音乐,热门,"Piano Sonata No. 3 In C Major, Op. 2: Iv. Allegro Assai",郎朗,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/7457533/7457533.lrc,1
1,《Truth Of Touch》,SONY MUSIC,2011-02-08,轻音乐,热门,Voyage,Yanni,,http://musicdata.baidu.com/data2/lrc/12bcce0ae90fd1c09f3c51e618c787e4/288823192/288823192.lrc,1
1,《世界古典音乐4》,恒大音乐,2008-09-01,轻音乐,热门,沉思曲-马斯内,新雅室内乐,,http://musicdata.baidu.com/data2/lrc/251703598/251703598.lrc,1
1,《经典双电子琴-琴之声（2）》,恒大音乐,2003-05-01,轻音乐,热门,真的好想你,于波&蕾蕾,,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288820155/288820155.lrc,1
1,《世界古典音乐4》,恒大音乐,2008-09-01,轻音乐,热门,月光曲-德彪西,新雅室内乐,,http://musicdata.baidu.com/data2/lrc/025d6c1a4e1a09a3bfd6e2e27e010c39/288823723/288823723.lrc,1
2,《The Gift》,SONY MUSIC,1999-12-30,轻音乐,热门,Have Yourself A Merry Little Christmas,Liz Story,,http://musicdata.baidu.com/data2/lrc/025d6c1a4e1a09a3bfd6e2e27e010c39/288823723/288823723.lrc,2
