,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《2001钢琴恋曲Piano Hits Iii》,环球唱片,2009-07-14,钢琴曲,热门,重新做人,纯音乐,,http://musicdata.baidu.com/data2/lrc/246980922/246980922.lrc,1
1,《2001钢琴恋曲Piano Hits Iii》,环球唱片,2009-07-14,钢琴曲,热门,终身美丽,纯音乐,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/270909441/270909441.lrc,1
1,《The Gift》,SONY MUSIC,1999-12-30,钢琴曲,热门,Have Yourself A Merry Little Christmas,Liz Story,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/270909441/270909441.lrc,1
1,《The Gift》,SONY MUSIC,1999-12-30,钢琴曲,热门,Angels We Have Heard On High (Les Anges Dans Nos Campagnes),Liz Story,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/270909441/270909441.lrc,1
1,《Solid Colors》,SONY MUSIC,1999-12-30,钢琴曲,热门,Water Caves,Liz Story,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/270909441/270909441.lrc,1
1,《By Heart》,SONY MUSIC,1995-04-29,钢琴曲,热门,Where Are You Now?,Jim Brickman,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/270909441/270909441.lrc,1
1,《The Gift》,SONY MUSIC,1999-12-30,钢琴曲,热门,In The Bleak Midwinter/O Sanctissima,Liz Story,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/270909441/270909441.lrc,1
1,《Solid Colors》,SONY MUSIC,1999-12-30,钢琴曲,热门,Bradley'S Dream,Liz Story,,http://musicdata.baidu.com/data2/lrc/6185fbd9f1098e7bfab99e573a4a73b9/270909441/270909441.lrc,1
1,《Piano Stories 4: Freedom》,环球唱片,2005-02-04,钢琴曲,热门,Ikaros,久石让,,http://musicdata.baidu.com/data2/lrc/15418261/15418261.lrc,1
1,《The Gift》,SONY MUSIC,1999-12-30,钢琴曲,热门,Salve Regina/O Holy Night,Liz Story,,http://musicdata.baidu.com/data2/lrc/15418261/15418261.lrc,1
1,《No Words》,SONY MUSIC,1997-06-27,钢琴曲,热门,American Dream,Jim Brickman,,http://musicdata.baidu.com/data2/lrc/15418261/15418261.lrc,1
1,《The Gift》,SONY MUSIC,1999-12-30,钢琴曲,热门,"Wassail Song (Here We Come, A-Wassailing)",Liz Story,,http://musicdata.baidu.com/data2/lrc/15418261/15418261.lrc,1
1,《No Words》,SONY MUSIC,1997-06-27,钢琴曲,热门,So Long,Jim Brickman,,http://musicdata.baidu.com/data2/lrc/15418261/15418261.lrc,1
1,《Solid Colors》,SONY MUSIC,1999-12-30,钢琴曲,热门,Solid Colors,Liz Story,,http://musicdata.baidu.com/data2/lrc/15418261/15418261.lrc,1
1,《By Heart》,SONY MUSIC,1995-04-29,钢琴曲,热门,Nothing Left To Say,Jim Brickman,,http://musicdata.baidu.com/data2/lrc/15418261/15418261.lrc,1
1,《The Gift》,SONY MUSIC,1999-12-30,钢琴曲,热门,The Truth From Above/O King Of Light And Splendor,Liz Story,,http://musicdata.baidu.com/data2/lrc/15418261/15418261.lrc,1
1,《Piano Stories 4: Freedom》,环球唱片,2005-02-04,钢琴曲,热门,Fragile Dream,久石让,,http://musicdata.baidu.com/data2/lrc/15418259/15418259.lrc,1
1,《No Words》,SONY MUSIC,1997-06-27,钢琴曲,热门,Old Times,Jim Brickman,,http://musicdata.baidu.com/data2/lrc/15418259/15418259.lrc,1
