,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《The Best Of Ashok Khosla》,环球唱片,2010-01-19,东南亚,语言&地域,Itna Mayoos Na Ho,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《The Great Ghazals》,环球唱片,2010-01-19,东南亚,语言&地域,Tere Hothon Ko Salam,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《Magic Of Ashok Khosla》,环球唱片,2010-01-19,东南亚,语言&地域,Ik Lafaze Mohabbat Ka,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《The Great Ghazals》,环球唱片,2010-01-19,东南亚,语言&地域,Jab Bhi Phool Khile Gulshan Mein,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《Greatest Hits Live In Concert》,环球唱片,2003-02-26,东南亚,语言&地域,Dunia,Gigi,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《Greatest Hits Live In Concert》,环球唱片,2003-02-26,东南亚,语言&地域,Rindukan Damai,Gigi,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《07 Des》,环球唱片,2008-07-28,东南亚,语言&地域,Pria Kesepian,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《07 Des》,环球唱片,2008-07-28,东南亚,语言&地域,Percayakan Padaku,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《07 Des》,环球唱片,2008-07-28,东南亚,语言&地域,Tentang Hidup,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《07 Des》,环球唱片,2008-07-28,东南亚,语言&地域,Takkan Pernah Menyesal,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《07 Des》,环球唱片,2008-07-28,东南亚,语言&地域,Trimakasih Bijaksana,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《07 Des》,环球唱片,2008-07-28,东南亚,语言&地域,Mari Bercinta,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《07 Des》,环球唱片,2008-07-28,东南亚,语言&地域,Saat Aku Lanjut Usia,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《07 Des》,环球唱片,2008-07-28,东南亚,语言&地域,Buat Aku Tersenyum,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《07 Des》,环球唱片,2008-07-28,东南亚,语言&地域,Seandainya,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《07 Des》,环球唱片,2008-07-28,东南亚,语言&地域,Seberapa Pantas,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《07 Des》,环球唱片,2008-07-28,东南亚,语言&地域,Hingga Ujung Waktu,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《07 Des》,环球唱片,2008-07-28,东南亚,语言&地域,Tunjukkan Padaku,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《Save My Soul》,SONY MUSIC,2003-10-02,东南亚,语言&地域,Repihan Hati,Padi,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
1,《Save My Soul》,SONY MUSIC,2003-10-02,东南亚,语言&地域,Menjadi Bijak,Padi,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,1
2,《Save My Soul》,SONY MUSIC,2003-10-02,东南亚,语言&地域,Menanti Keajaiban,Padi,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Save My Soul》,SONY MUSIC,2003-10-02,东南亚,语言&地域,Cahaya Mata,Padi,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Save My Soul》,SONY MUSIC,2003-10-02,东南亚,语言&地域,Di Atas Bumi Kita Berpijak,Padi,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Save My Soul》,SONY MUSIC,2003-10-02,东南亚,语言&地域,Ketakjuban,Padi,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Lata - Meri Aawaaz Hi Pehchaan Hai》,SONY MUSIC,2004-08-06,东南亚,语言&地域,Yaara Seeli Seeli,Lata Mangeshkar,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Lata - Meri Aawaaz Hi Pehchaan Hai》,SONY MUSIC,2004-08-06,东南亚,语言&地域,Paani Paani Re,Lata Mangeshkar,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Lata - Meri Aawaaz Hi Pehchaan Hai》,SONY MUSIC,2004-08-06,东南亚,语言&地域,Dil Hoom Hoom Kare,Lata Mangeshkar,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Lata - Meri Aawaaz Hi Pehchaan Hai》,SONY MUSIC,2004-08-06,东南亚,语言&地域,Aye Mere Watan Ke Logon,Lata Mangeshkar,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Lata - Meri Aawaaz Hi Pehchaan Hai》,SONY MUSIC,2004-08-06,东南亚,语言&地域,Aa Jaane Jaa,Lata Mangeshkar,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Kisah Klasik Untuk Masa Depan》,SONY MUSIC,2000-10-04,东南亚,语言&地域,Tunjuk Satu Bintang,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Kisah Klasik Untuk Masa Depan》,SONY MUSIC,2000-10-04,东南亚,语言&地域,Karena Aku Setia,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Kisah Klasik Untuk Masa Depan》,SONY MUSIC,2000-10-04,东南亚,语言&地域,Tunggu Aku Di Jakarta,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Kisah Klasik Untuk Masa Depan》,SONY MUSIC,2000-10-04,东南亚,语言&地域,Lihat Dengar Rasakan,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Kisah Klasik Untuk Masa Depan》,SONY MUSIC,2000-10-04,东南亚,语言&地域,Pagi Yang Menakjubkan,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Kisah Klasik Untuk Masa Depan》,SONY MUSIC,2000-10-04,东南亚,语言&地域,Just For My Mom,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/84382520/84382520.lrc,2
2,《Kisah Klasik Untuk Masa Depan》,SONY MUSIC,2000-10-04,东南亚,语言&地域,Sephia,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/65429511/65429511.lrc,2
2,《Kisah Klasik Untuk Masa Depan》,SONY MUSIC,2000-10-04,东南亚,语言&地域,Bila Kau Tak Disampingku,Sheila On 7,,http://musicdata.baidu.com/data2/lrc/65429511/65429511.lrc,2
2,《Attagasam》,SONY MUSIC,2011-11-18,东南亚,语言&地域,Unakkenna Unakkenna,Bharadwaj,,http://musicdata.baidu.com/data2/lrc/65429511/65429511.lrc,2
2,《Attagasam》,SONY MUSIC,2011-11-18,东南亚,语言&地域,Thekku Cheemaiyilae,Bharadwaj,,http://musicdata.baidu.com/data2/lrc/65429511/65429511.lrc,2
2,《Attagasam》,SONY MUSIC,2011-11-18,东南亚,语言&地域,Thala Pola Varuma,Bharadwaj,,http://musicdata.baidu.com/data2/lrc/65429511/65429511.lrc,2
3,《Attagasam》,SONY MUSIC,2011-11-18,东南亚,语言&地域,Pollachi Ilaneere,Bharadwaj,,http://musicdata.baidu.com/data2/lrc/65429511/65429511.lrc,3
3,《Attagasam》,SONY MUSIC,2011-11-18,东南亚,语言&地域,Nachendru Ichondru,Bharadwaj,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Attagasam》,SONY MUSIC,2011-11-18,东南亚,语言&地域,Attagasam,Bharadwaj,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Greatest Hits Compilation》,SONY MUSIC,2002-05-13,东南亚,语言&地域,Kung Sakaling Ikaw Ay Lalayo,J. Brothers Band,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Greatest Hits Compilation》,SONY MUSIC,2002-05-13,东南亚,语言&地域,Dear Ana(Multiplex Karaoke),J. Brothers Band,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Greatest Hits Compilation》,SONY MUSIC,2002-05-13,东南亚,语言&地域,Kay Sarap Isipin,J. Brothers Band,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Greatest Hits Compilation》,SONY MUSIC,2002-05-13,东南亚,语言&地域,Walang Ibang Mamahalin (Locura Sin Partitura),J. Brothers Band,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Greatest Hits Compilation》,SONY MUSIC,2002-05-13,东南亚,语言&地域,Inay,J. Brothers Band,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Greatest Hits Compilation》,SONY MUSIC,2002-05-13,东南亚,语言&地域,Di Mo Pansin(Siempre Me Aguerdo De Ti),J. Brothers Band,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Greatest Hits Compilation》,SONY MUSIC,2002-05-13,东南亚,语言&地域,Ayoko Ko Nang Isipin Pa,J. Brothers Band,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Greatest Hits Compilation》,SONY MUSIC,2002-05-13,东南亚,语言&地域,Sorry Na,J. Brothers Band,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Greatest Hits Compilation》,SONY MUSIC,2002-05-13,东南亚,语言&地域,Miss Kita (Kuwento),J. Brothers Band,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Greatest Hits Compilation》,SONY MUSIC,2002-05-13,东南亚,语言&地域,Tunay Na Nagmamahal,J. Brothers Band,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Mision S.O.S. (Aventura Y Amor)》,SONY MUSIC,2011-11-20,东南亚,语言&地域,Ven,Jonathan Becerra,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Mision S.O.S. (Aventura Y Amor)》,SONY MUSIC,2011-11-20,东南亚,语言&地域,Te Invito A Volar,Pandilla,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Mision S.O.S. (Aventura Y Amor)》,SONY MUSIC,2011-11-20,东南亚,语言&地域,Perdoname,Pandilla,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Mision S.O.S. (Aventura Y Amor)》,SONY MUSIC,2011-11-20,东南亚,语言&地域,Guerra De Los Sexos,Pandilla,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Mision S.O.S. (Aventura Y Amor)》,SONY MUSIC,2011-11-20,东南亚,语言&地域,Donde Estes,Jonathan Becerra,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Mision S.O.S. (Aventura Y Amor)》,SONY MUSIC,2011-11-20,东南亚,语言&地域,Busca Las Respuestas,Pandilla,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
3,《Mision S.O.S. (Aventura Y Amor)》,SONY MUSIC,2011-11-20,东南亚,语言&地域,Atado A Nada,Jonathan Becerra,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,3
4,《Badai Pasti Berlalu》,SONY MUSIC,2007-01-22,东南亚,语言&地域,Serasa,Nindy,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,4
4,《Shree Ram Stuti & Lakshmi Pooja》,EMI,2010-10-22,东南亚,语言&地域,Raghupati Raghav Rajaram (Dhun),Pt Jasraj,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,4
4,《Ram Upasana》,EMI,2009-04-20,东南亚,语言&地域,Shree Raamchandra Krupalubhajman,Pt Jasraj,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,4
4,《Passion for Perfection》,未知,2015-06-12,东南亚,语言&地域,"Yaar, 17",Teg Grewal,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,4
4,《Passion for Perfection》,未知,2015-06-12,东南亚,语言&地域,Vang,Teg Grewal,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,4
4,《Passion for Perfection》,未知,2015-06-12,东南亚,语言&地域,Purja,Teg Grewal,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,4
4,《Passion for Perfection》,未知,2015-06-12,东南亚,语言&地域,Khand Mishri,Teg Grewal,,http://musicdata.baidu.com/data2/lrc/1436597aefdf6941b14736029b550e2e/552552298/552552298.lrc,4
