,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《Magic Of Ashok Khosla》,环球唱片,2010-01-19,印度,语言&地域,Musalsal Bekali,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Jodi Bansi Dake Jomunate》,环球唱片,2010-01-18,印度,语言&地域,Kakhono Amar Mon,Anuradha Paudwal,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Ta- Aruf》,环球唱片,2010-01-19,印度,语言&地域,Jab Tere Seher Se Ghuzar Ta Hun,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《The Best Of Ashok Khosla》,环球唱片,2010-01-19,印度,语言&地域,Tum Itni Haseen Ho,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《The Great Ghazals》,环球唱片,2010-01-19,印度,语言&地域,Maikashon Maikashi Ke Liya,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Meri Papon Se Bhari Gagariya》,环球唱片,2010-01-18,印度,语言&地域,Tan Ke Tanbure Mein,Anup Jalota,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Krishna Kaho Ya Ram Kaho》,环球唱片,2010-01-15,印度,语言&地域,Tan Ke Tanbure Mein,Anup Jalota,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Tri Nayani Durga》,环球唱片,2010-01-18,印度,语言&地域,Amar Mayer Naamti Dayamoyee,Anup Jalota,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Maikhana》,环球唱片,2010-01-19,印度,语言&地域,Dekha Jo Husn- E- Y,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Tere Honthon Ko Salam》,环球唱片,2010-01-19,印度,语言&地域,Bechain Umangon Ko,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Mana Chalo Nija Niketane》,环球唱片,2010-01-18,印度,语言&地域,Man Re Krishi Kaj Janono,Anup Jalota,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Aftaab》,环球唱片,2010-01-19,印度,语言&地域,Yeh Haqeeqat Hai Apni,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Jago Jago Sai》,环球唱片,2010-01-19,印度,语言&地域,Bole Sai,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Magic Of Ashok Khosla》,环球唱片,2010-01-19,印度,语言&地域,Din Dhala Raat Phir Aa Gayee,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Ta- Aruf》,环球唱片,2010-01-19,印度,语言&地域,Jab Lage Zakhma To,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《The Best Of Ashok Khosla》,环球唱片,2010-01-19,印度,语言&地域,Itna Mayoos Na Ho,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《The Great Ghazals》,环球唱片,2010-01-19,印度,语言&地域,Kaun Jaane Ke,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Maikhana》,环球唱片,2010-01-19,印度,语言&地域,Maikashon Maikashi Ke Liya,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Tere Honthon Ko Salam》,环球唱片,2010-01-19,印度,语言&地域,Suna Hai Teri Aankhon Main,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
1,《Mana Chalo Nija Niketane》,环球唱片,2010-01-18,印度,语言&地域,Mana Chalo Nija Niketane,Anup Jalota,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,1
2,《Aftaab》,环球唱片,2010-01-19,印度,语言&地域,Koi Deewar Se,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,2
2,《Jago Jago Sai》,环球唱片,2010-01-19,印度,语言&地域,Bina Pairon Ke Ghungru,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,2
2,《Magic Of Ashok Khosla》,环球唱片,2010-01-19,印度,语言&地域,Jo Kehana Paya,Ashok Khosla,,http://musicdata.baidu.com/data2/lrc/849ee7276df028773dd6e58e9d10db9e/257170325/257170325.lrc,2
