,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,中国民歌,代亚（上海）文化,2014-03-28,国语,语言&地域,母亲,腾格尔,,http://musicdata.baidu.com/data2/lrc/34125351/34125351.lrc,1
1,《在树上唱歌》,福茂唱片,2009-05-26,国语,语言&地域,心墙,郭静,,http://musicdata.baidu.com/data2/lrc/64534968/64534968.lrc,1
1,《雨一直下》,福茂唱片,1999-09-01,国语,语言&地域,雨一直下,张宇,,http://musicdata.baidu.com/data2/lrc/122156151/122156151.lrc,1
1,《优の良曲 南搞小孩》,未知,2008-07-25,国语,语言&地域,下雨天,南拳妈妈,,http://musicdata.baidu.com/data2/lrc/14973262/14973262.lrc,1
1,《不想放手》,环球唱片,2008-06-30,国语,语言&地域,不要说话,陈奕迅,,http://musicdata.baidu.com/data2/lrc/246806556/246806556.lrc,1
1,《丝路 通往爱的路途》,环球唱片,2005-09-16,国语,语言&地域,可惜不是你,梁静茹,,http://musicdata.baidu.com/data2/lrc/43832799/43832799.lrc,1
1,《遇见快乐》,力行网际,2012-06-08,国语,语言&地域,遇见快乐,辛晓琪,,http://musicdata.baidu.com/data2/lrc/15266090/15266090.lrc,1
1,《理想人生》,亚神音乐,2012-06-06,国语,语言&地域,你敢不敢,徐佳莹,,http://musicdata.baidu.com/data2/lrc/15266324/15266324.lrc,1
1,"《爱, 在一起》",福茂唱片,2012-05-30,国语,语言&地域,最亲爱的你,范玮琪,,http://musicdata.baidu.com/data2/lrc/14876607/14876607.lrc,1
1,《一比一》,福茂唱片,2005-06-01,国语,语言&地域,一比一,范玮琪,,http://musicdata.baidu.com/data2/lrc/13906094/13906094.lrc,1
1,《丝路 通往爱的路途》,福茂唱片,2005-09-16,国语,语言&地域,瘦瘦的,梁静茹,,http://musicdata.baidu.com/data2/lrc/13769619/13769619.lrc,1
1,《挚爱》,潮水音乐,1997-03-31,国语,语言&地域,用情,张信哲,,http://musicdata.baidu.com/data2/lrc/240706695/240706695.lrc,1
1,《闪亮的星》,滚石唱片,2001-06-27,国语,语言&地域,无条件为你,梁静茹,,http://musicdata.baidu.com/data2/lrc/241655511/241655511.lrc,1
1,《12楼的莫文蔚》,滚石唱片,2000-10-26,国语,语言&地域,寂寞的恋人啊,莫文蔚,,http://musicdata.baidu.com/data2/lrc/13909932/13909932.lrc,1
1,《一比一》,福茂唱片,2005-06-01,国语,语言&地域,如果的事,"范玮琪,张韶涵",,http://musicdata.baidu.com/data2/lrc/64535337/64535337.lrc,1
1,《一比一》,福茂唱片,2005-06-01,国语,语言&地域,全世界失眠,范玮琪,,http://musicdata.baidu.com/data2/lrc/13874853/13874853.lrc,1
1,《丝路 通往爱的路途》,福茂唱片,2005-09-16,国语,语言&地域,丝路,梁静茹,,http://musicdata.baidu.com/data2/lrc/13800955/13800955.lrc,1
1,《Ed Is On》,英皇唱片,2001-10-01,国语,语言&地域,故意,陈冠希,,http://musicdata.baidu.com/data2/lrc/13836193/13836193.lrc,1
1,《理想人生》,亚神音乐,2012-06-06,国语,语言&地域,理想人生,徐佳莹,,http://musicdata.baidu.com/data2/lrc/23148144/23148144.lrc,1
1,《遇见快乐》,力行网际,2012-06-08,国语,语言&地域,悠游自在,辛晓琪,,http://musicdata.baidu.com/data2/lrc/14883265/14883265.lrc,1
2,《说到爱》,亚神音乐,2011-11-18,国语,语言&地域,旧行李,蔡健雅,,http://musicdata.baidu.com/data2/lrc/13766937/13766937.lrc,2
2,《我的爱我的梦我的家》,滚石唱片,1994-06-03,国语,语言&地域,最浪漫的事,赵咏华,,http://musicdata.baidu.com/data2/lrc/13856951/13856951.lrc,2
2,《绝对收藏》,SONY MUSIC,2008-07-24,国语,语言&地域,离人,林志炫,,http://musicdata.baidu.com/data2/lrc/240464942/240464942.lrc,2
2,《我很忙》,杰威尔JVR音乐有限公司,2007-11-02,国语,语言&地域,蒲公英的约定,周杰伦,,http://musicdata.baidu.com/data2/lrc/13798151/13798151.lrc,2
2,《流浪狗》,SONY MUSIC,2001-07-06,国语,语言&地域,下沙,游鸿明,,http://musicdata.baidu.com/data2/lrc/cc38b38ef7a291f86ddbf83169945801/272957792/272957792.lrc,2
2,《风雨无阻》,滚石唱片,1994-06-10,国语,语言&地域,刀剑如梦,周华健,,http://musicdata.baidu.com/data2/lrc/117202403/117202403.lrc,2
2,《江南》,海蝶音乐,2004-06-04,国语,语言&地域,江南,林俊杰,,http://musicdata.baidu.com/data2/lrc/240152243/240152243.lrc,2
2,《弦歌有你》,英皇唱片,2007-01-30,国语,语言&地域,从开始到现在,张信哲,,http://musicdata.baidu.com/data2/lrc/3886ff47cebe6681e4af62eb5aeb4b2a/540331645/540331645.lrc,2
2,《女人花》,SONY MUSIC,1997-08-01,国语,语言&地域,一生爱你千百回,梅艳芳,,http://musicdata.baidu.com/data2/lrc/109870773/109870773.lrc,2
2,《骆驼.飞鸟.鱼》,滚石唱片,1997-12-01,国语,语言&地域,飞鸟与鱼,齐豫,,http://musicdata.baidu.com/data2/lrc/13953961/13953961.lrc,2
2,《最初的梦想》,福茂唱片,2004-05-01,国语,语言&地域,启程,范玮琪,,http://musicdata.baidu.com/data2/lrc/14730661/14730661.lrc,2
2,《最初的梦想》,福茂唱片,2004-05-01,国语,语言&地域,到不了,范玮琪,,http://musicdata.baidu.com/data2/lrc/15363963/15363963.lrc,2
2,《阿岳正传》,滚石唱片,2004-06-24,国语,语言&地域,我会想念你,张震岳,,http://musicdata.baidu.com/data2/lrc/240113059/240113059.lrc,2
2,《一比一》,福茂唱片,2005-06-01,国语,语言&地域,一直到最后,范玮琪,,http://musicdata.baidu.com/data2/lrc/14973344/14973344.lrc,2
2,《自己》,福茂唱片,2010-05-28,国语,语言&地域,我的城,常石磊,,http://musicdata.baidu.com/data2/lrc/23534397/23534397.lrc,2
2,《P.S. I Love You》,环球唱片,2011-04-15,国语,语言&地域,吻得太逼真,张敬轩,,http://musicdata.baidu.com/data2/lrc/134440992/134440992.lrc,2
2,《寻找周杰伦》,杰威尔JVR音乐有限公司,2003-11-11,国语,语言&地域,轨迹,周杰伦,,http://musicdata.baidu.com/data2/lrc/24aaf0caa58a4c3b7208b6edc29da820/275327182/275327182.lrc,2
2,《编号89757》,海蝶音乐,2005-04-01,国语,语言&地域,一千年以后,林俊杰,,http://musicdata.baidu.com/data2/lrc/96b135851b94fabd9e354bc3e2b684e4/262349895/262349895.lrc,2
2,《爱不释手》,滚石唱片,1994-10-22,国语,语言&地域,得意的笑,李丽芬,,http://musicdata.baidu.com/data2/lrc/13798898/13798898.lrc,2
2,《The One 演唱会》,杰威尔JVR音乐有限公司,2002-10-01,国语,语言&地域,龙卷风,周杰伦,,http://musicdata.baidu.com/data2/lrc/14860112/14860112.lrc,2
3,《单身日志(演唱会live全记录)》,杰威尔JVR音乐有限公司,2003-03-14,国语,语言&地域,一辈子的孤单,刘若英,,http://musicdata.baidu.com/data2/lrc/13767637/13767637.lrc,3
3,《很羽泉》,杰威尔JVR音乐有限公司,2009-06-06,国语,语言&地域,亲爱的,羽泉,,http://musicdata.baidu.com/data2/lrc/071e7274761b0dc8c16aacf49c81ac0e/531662171/531662171.lrc,3
3,《叶惠美》,杰威尔JVR音乐有限公司,2003-07-31,国语,语言&地域,你听得到,周杰伦,,http://musicdata.baidu.com/data2/lrc/13859364/13859364.lrc,3
3,《回蔚 莫文蔚巡回演唱会@台北小巨蛋》,环球唱片,2012-03-30,国语,语言&地域,外面的世界,莫文蔚,,http://musicdata.baidu.com/data2/lrc/15323123/15323123.lrc,3
3,《Final Home当我们混在一起 五月天2005世界巡回演唱会Live全纪录》,滚石唱片,2005-05-01,国语,语言&地域,温柔,五月天,,http://musicdata.baidu.com/data2/lrc/13749339/13749339.lrc,3
3,《再爱一遍‧天后》,福茂唱片,2011-11-11,国语,语言&地域,天后,陈势安,,http://musicdata.baidu.com/data2/lrc/241279249/241279249.lrc,3
3,《痛并快乐着》,力行网际,1995-09-01,国语,语言&地域,往事随风,齐秦,,http://musicdata.baidu.com/data2/lrc/131707548/131707548.lrc,3
3,《？》,环球唱片,2011-11-11,国语,语言&地域,内疚,陈奕迅,,http://musicdata.baidu.com/data2/lrc/243133367/243133367.lrc,3
3,《一人一首成名曲 2》,环球唱片,2011-11-11,国语,语言&地域,鸭子,苏慧伦,,http://musicdata.baidu.com/data2/lrc/1085079/1085079.lrc,3
3,《2006韩剧超强情歌精选No.1》,SONY MUSIC,2006-12-18,国语,语言&地域,Kiss Goodbye,王力宏,,http://musicdata.baidu.com/data2/lrc/238994693/238994693.lrc,3
3,《张信哲Jeff情歌精选》,未知,2005-06-10,国语,语言&地域,从开始到现在,张信哲,,http://musicdata.baidu.com/data2/lrc/13765325/13765325.lrc,3
3,《只爱陌生人》,未知,2005-06-10,国语,语言&地域,开到荼靡,王菲,,http://musicdata.baidu.com/data2/lrc/239136416/239136416.lrc,3
3,《16未成年》,海蝶音乐,2008-07-23,国语,语言&地域,买买买,By2,,http://musicdata.baidu.com/data2/lrc/131700976/131700976.lrc,3
3,《Urban Emotions》,环球唱片,2008-07-11,国语,语言&地域,吻得太逼真,张敬轩,,http://musicdata.baidu.com/data2/lrc/251696955/251696955.lrc,3
3,《风云雄霸天下 电影原声大碟》,SONY MUSIC,1998-07-01,国语,语言&地域,虫儿飞,郑伊健,,http://musicdata.baidu.com/data2/lrc/238490889/238490889.lrc,3
3,《最初的梦想》,福茂唱片,2004-05-01,国语,语言&地域,那些花儿,范玮琪,,http://musicdata.baidu.com/data2/lrc/240110358/240110358.lrc,3
3,《手记》,JYP,2006-05-01,国语,语言&地域,手记,Rain,,http://musicdata.baidu.com/data2/lrc/240400754/240400754.lrc,3
3,《吻得太逼真》,环球唱片,2009-12-24,国语,语言&地域,吻得太逼真,张敬轩,,http://musicdata.baidu.com/data2/lrc/13822641/13822641.lrc,3
3,《别亦难》,环球唱片,2009-07-14,国语,语言&地域,心恋,徐小凤,,http://musicdata.baidu.com/data2/lrc/13765100/13765100.lrc,3
3,《绝对收藏彭佳慧》,SONY MUSIC,2011-04-04,国语,语言&地域,喜欢两个人,彭佳慧,,http://musicdata.baidu.com/data2/lrc/13766724/13766724.lrc,3
4,《调色盘》,阿尔发,2006-05-26,国语,语言&地域,人鱼的眼泪,南拳妈妈,,http://musicdata.baidu.com/data2/lrc/130892942/130892942.lrc,4
4,《Update》,华谊兄弟,2007-08-05,国语,语言&地域,我们说好的(Piano Version),张靓颖,,http://musicdata.baidu.com/data2/lrc/13765329/13765329.lrc,4
4,《彩虹天堂》,SONY MUSIC,2005-12-22,国语,语言&地域,彩虹天堂,刘畊宏,,http://musicdata.baidu.com/data2/lrc/13846236/13846236.lrc,4
4,《LaLa 首张创作专辑》,亚神音乐,2009-05-29,国语,语言&地域,身骑白马,徐佳莹,,http://musicdata.baidu.com/data2/lrc/13766249/13766249.lrc,4
4,《敲敲我的头》,BMG,1998-08-01,国语,语言&地域,相见恨晚,彭佳慧,,http://musicdata.baidu.com/data2/lrc/13765546/13765546.lrc,4
4,《伤痕》,滚石唱片,1995-01-25,国语,语言&地域,伤痕,林忆莲,,http://musicdata.baidu.com/data2/lrc/13762465/13762465.lrc,4
4,《一起吃苦的幸福》,滚石唱片,2003-07-30,国语,语言&地域,一起吃苦的幸福,周华健,,http://musicdata.baidu.com/data2/lrc/13995804/13995804.lrc,4
4,《格格Blue》,滚石唱片,2005-12-30,国语,语言&地域,世界唯一的你,曹格,,http://musicdata.baidu.com/data2/lrc/246897434/246897434.lrc,4
4,《理想人生》,亚神音乐,2012-06-06,国语,语言&地域,不难,徐佳莹,,http://musicdata.baidu.com/data2/lrc/14875110/14875110.lrc,4
