,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《Samedi Soir Sur La Terre》,Columbia,1995-01-01,欧美经典,语言&地域,La Cabane du Pêcheur,Francis Cabrel,,http://musicdata.baidu.com/data2/lrc/246661608/246661608.lrc,1
1,《Samedi Soir Sur La Terre》,Columbia,1995-01-01,欧美经典,语言&地域,L' Arbre Va Tomber,Francis Cabrel,,http://musicdata.baidu.com/data2/lrc/246661608/246661608.lrc,1
1,《Samedi Soir Sur La Terre》,Columbia,1995-01-01,欧美经典,语言&地域,La Corrida,Francis Cabrel,,http://musicdata.baidu.com/data2/lrc/246661608/246661608.lrc,1
1,《Beautiful Day In The Cold Cruel World》,Columbia,1998-10-27,欧美经典,语言&地域,Better Man,The Warren Brothers,,http://musicdata.baidu.com/data2/lrc/66265178/66265178.lrc,1
1,《Samedi Soir Sur La Terre》,Columbia,1995-01-01,欧美经典,语言&地域,Samedi Soir Sur la Terre,Francis Cabrel,,http://musicdata.baidu.com/data2/lrc/66265178/66265178.lrc,1
1,《Don'T Get Me Wrong》,SONY MUSIC,1998-09-20,欧美经典,语言&地域,Love Song,frances black,,http://musicdata.baidu.com/data2/lrc/12596613/12596613.lrc,1
1,《Our Love Is Here To Stay》,SONY MUSIC,1997-05-10,欧美经典,语言&地域,It'S Sunday,"Don Sebesky,John Pizzarelli",,http://musicdata.baidu.com/data2/lrc/12596613/12596613.lrc,1
1,《Paul Davis Greatest Hits》,SONY MUSIC,1995-05-15,欧美经典,语言&地域,I Go Crazy,PAUL DAVIS,,http://musicdata.baidu.com/data2/lrc/12597758/12597758.lrc,1
1,《Samedi Soir Sur La Terre》,Columbia,1995-01-01,欧美经典,语言&地域,Octobre,Francis Cabrel,,http://musicdata.baidu.com/data2/lrc/239644476/239644476.lrc,1
1,《The Gadd Gang》,SONY MUSIC,1993-07-16,欧美经典,语言&地域,Morning Love,"Steve Gadd,The Gadd Gang",,http://musicdata.baidu.com/data2/lrc/12599516/12599516.lrc,1
1,《Moonchild》,SONY MUSIC,1997-06-16,欧美经典,语言&地域,We Two Are One,Celtus,,http://musicdata.baidu.com/data2/lrc/65858250/65858250.lrc,1
1,《Our Love Is Here To Stay》,SONY MUSIC,1997-05-10,欧美经典,语言&地域,"Have Another One, Not Me","Don Sebesky,John Pizzarelli,Martin Pizzarelli",,http://musicdata.baidu.com/data2/lrc/65858250/65858250.lrc,1
1,《Elegant Gypsy》,SONY MUSIC,1984-08-20,欧美经典,语言&地域,"Lady Of Rome, Sister Of Brazil",al di meola,,http://musicdata.baidu.com/data2/lrc/65858250/65858250.lrc,1
1,《Our Love Is Here To Stay》,SONY MUSIC,1997-05-10,欧美经典,语言&地域,Dream,"Don Sebesky,John Pizzarelli,Martin Pizzarelli",,http://musicdata.baidu.com/data2/lrc/12604999/12604999.lrc,1
1,《Moonchild》,SONY MUSIC,1997-06-16,欧美经典,语言&地域,Moonchild,Celtus,,http://musicdata.baidu.com/data2/lrc/12604999/12604999.lrc,1
1,《Our Love Is Here To Stay》,SONY MUSIC,1997-05-10,欧美经典,语言&地域,Our Love Is Here To Stay,"Don Sebesky,John Pizzarelli,Martin Pizzarelli",,http://musicdata.baidu.com/data2/lrc/239716115/239716115.lrc,1
1,《Great Blues Guitarsists: String Dazzlers》,SONY MUSIC,1993-07-16,欧美经典,语言&地域,Black Snake Moan,Blind Lemon Jefferson,,http://musicdata.baidu.com/data2/lrc/239716115/239716115.lrc,1
1,《Heute Und Hier》,Hansa,1995-04-24,欧美经典,语言&地域,Alles Was Du willst,Roland Kaiser,,http://musicdata.baidu.com/data2/lrc/69469792/69469792.lrc,1
1,《Somewhere Else》,Mantra,1997-07-14,欧美经典,语言&地域,Somewhere Else,China Drum,,http://musicdata.baidu.com/data2/lrc/68302bd58091c929385c32359a412e4c/545061440/545061440.lrc,1
1,《Altered Ego》,"Orchard Enterprises NY,Inc.",1998-01-01,欧美经典,语言&地域,The Nightingale,Deborah Henson-Conant,,http://musicdata.baidu.com/data2/lrc/68302bd58091c929385c32359a412e4c/545061440/545061440.lrc,1
2,《Latin Gold》,"Orchard Enterprises NY,Inc.",1999-03-18,欧美经典,语言&地域,Lambada,Kaoma,,http://musicdata.baidu.com/data2/lrc/68302bd58091c929385c32359a412e4c/545061440/545061440.lrc,2
2,《Joan Sutherland》,"Orchard Enterprises NY,Inc.",1999-04-20,欧美经典,语言&地域,Handel: Alcina: Ma quando tornerai,"George Frideric Handel,Joan Sutherland",,http://musicdata.baidu.com/data2/lrc/68302bd58091c929385c32359a412e4c/545061440/545061440.lrc,2
2,《The Grand》,华纳唱片公司（Warner Music）,1924-03-09,欧美经典,语言&地域,Partouze,"Steve Angello,Sebastian Ingrosso",,http://musicdata.baidu.com/data2/lrc/68302bd58091c929385c32359a412e4c/545061440/545061440.lrc,2
2,《When I Fall In Love》,SONY MUSIC,1998-05-30,欧美经典,语言&地域,Cinema Paradiso,"Adam Ebert,bill douglas,dan kelly,Dave Samuels,Dennis Smylie,Eddie Gomez,Jeremy Wall,Jim Forgey,Kalmen Oppermann Clarinet Choir,Margo Mcgowan,Richard Stoltzman,Steve Hartman",,http://musicdata.baidu.com/data2/lrc/12599399/12599399.lrc,2
2,《Exodus (O.S.T - 1960)》,"Orchard Enterprises NY,Inc.",1960-12-01,欧美经典,语言&地域,Theme of Exodus,Ernest Gold,,http://musicdata.baidu.com/data2/lrc/12599399/12599399.lrc,2
2,《Big People Music Volume 5》,"Orchard Enterprises NY,Inc.",2000-01-01,欧美经典,语言&地域,Knock On Heavens Door,Ed Robinson,,http://musicdata.baidu.com/data2/lrc/12599399/12599399.lrc,2
2,《Groove Theory》,SONY MUSIC,1995-11-09,欧美经典,语言&地域,Didja Know,Groove Theory,,http://musicdata.baidu.com/data2/lrc/12599399/12599399.lrc,2
2,《Somewhere Else》,Mantra,1997-07-14,欧美经典,语言&地域,Somewhere Else (acoustic),China Drum,,http://musicdata.baidu.com/data2/lrc/12599399/12599399.lrc,2
2,《Don'T Get Me Wrong》,SONY MUSIC,1998-09-20,欧美经典,语言&地域,Will You Love Me Tomorrow?,frances black,,http://musicdata.baidu.com/data2/lrc/12595338/12595338.lrc,2
2,《The Ebonys》,Philadelphia International,1973-02-14,欧美经典,语言&地域,I Believe,The Ebonys,,http://musicdata.baidu.com/data2/lrc/65812814/65812814.lrc,2
2,《Don'T Get Me Wrong》,SONY MUSIC,1998-09-20,欧美经典,语言&地域,Let Me Down,frances black,,http://musicdata.baidu.com/data2/lrc/12595043/12595043.lrc,2
