,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,页数
1,《The A List》,SONY MUSIC,2000-11-29,慢摇,风格,One In Love,A1,http://musicdata.baidu.com/data2/lrc/8881301/8881301.lrc,1
1,《春风》,钛友文化,2003-10-01,慢摇,风格,糖纸,王筝,http://musicdata.baidu.com/data2/lrc/239773700/239773700.lrc,1
1,《Spin》,SONY MUSIC,2002-03-18,慢摇,风格,I Miss You,Darren Hayes,http://musicdata.baidu.com/data2/lrc/239779777/239779777.lrc,1
1,《Spin》,SONY MUSIC,2002-03-18,慢摇,风格,Creepin' Up On You,Darren Hayes,http://musicdata.baidu.com/data2/lrc/246661298/246661298.lrc,1
1,《Waking Up》,环球唱片,2010-01-01,慢摇,风格,Good Life,OneRepublic,http://musicdata.baidu.com/data2/lrc/239873177/239873177.lrc,1
1,《Chris Brown》,SONY MUSIC,2005-11-14,慢摇,风格,Gimme That,Chris Brown,http://musicdata.baidu.com/data2/lrc/8559654/8559654.lrc,1
1,《Another Earthquake!》,SONY MUSIC,2002-08-19,慢摇,风格,To All The Girls,Aaron Carter,http://musicdata.baidu.com/data2/lrc/13903067/13903067.lrc,1
1,《2001》,环球唱片,2000-10-18,慢摇,风格,The Next Episode,"Dr. Dre,Snoop Lion",http://musicdata.baidu.com/data2/lrc/8576b4fb860efc4719289918091d3bd6/274845358/274845358.lrc,1
1,《First Band On The Moon》,环球唱片,1996-09-09,慢摇,风格,Lovefool,The Cardigans,http://musicdata.baidu.com/data2/lrc/12547460/12547460.lrc,1
1,《爱情这杯酒谁喝都得醉》,闽艺文化,2011-08-10,慢摇,风格,爱情这杯酒谁喝都得醉,闫旭,http://musicdata.baidu.com/data2/lrc/13765307/13765307.lrc,1
1,《Monkey Business》,环球唱片,2014-03-22,慢摇,风格,My Humps,The Black Eyed Peas,http://musicdata.baidu.com/data2/lrc/12750406/12750406.lrc,1
1,《The Essential Leonard Cohen 3.0》,SONY MUSIC,2010-07-26,慢摇,风格,In My Secret Life,Leonard Cohen,http://musicdata.baidu.com/data2/lrc/240322784/240322784.lrc,1
1,《The Essential Leonard Cohen 3.0》,SONY MUSIC,2010-07-26,慢摇,风格,A Thousand Kisses Deep,Leonard Cohen,http://musicdata.baidu.com/data2/lrc/13905598/13905598.lrc,1
1,《活出生命Live演唱会》,环球唱片,2004-12-01,慢摇,风格,爱我别走,张学友,http://musicdata.baidu.com/data2/lrc/13890843/13890843.lrc,1
1,《活出生命Live演唱会》,环球唱片,2004-12-01,慢摇,风格,听海,张学友,http://musicdata.baidu.com/data2/lrc/240403323/240403323.lrc,1
1,《A Little Love》,SONY MUSIC,2008-05-26,慢摇,风格,幸运儿,冯曦妤,http://musicdata.baidu.com/data2/lrc/240464315/240464315.lrc,1
1,《青春纪念册》,SONY MUSIC,2004-01-30,慢摇,风格,红蜻蜓,可米小子,http://musicdata.baidu.com/data2/lrc/13914088/13914088.lrc,1
1,《Kellylicious》,环球唱片,2008-05-16,慢摇,风格,有时寂寞,陈慧琳,http://musicdata.baidu.com/data2/lrc/13906001/13906001.lrc,1
1,《Ed Is On》,英皇唱片,2001-10-01,慢摇,风格,超速游戏,陈冠希,http://musicdata.baidu.com/data2/lrc/240811108/240811108.lrc,1
1,《让我欢喜让我忧》,滚石唱片,1991-11-28,慢摇,风格,你现在还好吗,周华健,http://musicdata.baidu.com/data2/lrc/599065/599065.lrc,1
2,《One World One Love》,环球唱片,2009-12-10,慢摇,风格,Murder My Heart,Michael Bolton,http://musicdata.baidu.com/data2/lrc/241229865/241229865.lrc,2
2,《情歌没有告诉你》,环球唱片,2010-12-24,慢摇,风格,慢慢来比较快,梁静茹,http://musicdata.baidu.com/data2/lrc/241599813/241599813.lrc,2
2,《In Between Dreams》,环球唱片,2014-03-09,慢摇,风格,Do You Remember,Jack Johnson,http://musicdata.baidu.com/data2/lrc/241631804/241631804.lrc,2
2,《Call Off The Search》,环球唱片,2009-07-14,慢摇,风格,Faraway Voice,Katie Melua,http://musicdata.baidu.com/data2/lrc/241641125/241641125.lrc,2
2,《这个下午很无聊》,滚石唱片,1997-10-01,慢摇,风格,怎么办,张震岳,http://musicdata.baidu.com/data2/lrc/444280/444280.lrc,2
2,《The Woman In Me》,环球唱片,2000-03-06,慢摇,风格,Any Man Of Mine,Shania Twain,http://musicdata.baidu.com/data2/lrc/241654780/241654780.lrc,2
2,《Time To Kill》,SONY MUSIC,2000-02-02,慢摇,风格,Dreamer,Sophie Zelmani,http://musicdata.baidu.com/data2/lrc/13907357/13907357.lrc,2
2,《Exposed》,环球唱片,2009-08-14,慢摇,风格,Goodbye,Kristinia Debarge,http://musicdata.baidu.com/data2/lrc/15752621/15752621.lrc,2
2,《Exposed》,环球唱片,2009-08-14,慢摇,风格,Future Love,Kristinia DeBarge,http://musicdata.baidu.com/data2/lrc/245892607/245892607.lrc,2
2,《蓝色土耳其》,环球唱片,2007-10-24,慢摇,风格,寂寞边界,周传雄,http://musicdata.baidu.com/data2/lrc/345883/345883.lrc,2
2,《Blackout》,Jive,2007-10-26,慢摇,风格,Gimme More,Britney Spears,http://musicdata.baidu.com/qukulrc/xiami_lrc/9e739067005e643a2297555fbed5778c.lrc,2
2,《无所谓》,竹书,2002-04-01,慢摇,风格,两个人的世界,"陈琳,杨坤",http://musicdata.baidu.com/data2/lrc/23156170/23156170.lrc,2
2,《2号餐》,竹书,2002-04-01,慢摇,风格,What Can I Do,南拳妈妈,http://musicdata.baidu.com/data2/lrc/13894368/13894368.lrc,2
2,《她说 概念自选辑》,海蝶音乐,2010-12-08,慢摇,风格,完美新世界,林俊杰,http://musicdata.baidu.com/data2/lrc/13862708/13862708.lrc,2
2,《In My Own Words》,环球唱片,2006-02-28,慢摇,风格,Sexy Love,Ne-Yo,http://musicdata.baidu.com/data2/lrc/12480873/12480873.lrc,2
2,《Loose》,环球唱片,2007-03-05,慢摇,风格,Say It Right,Nelly Furtado,http://musicdata.baidu.com/data2/lrc/2196671/2196671.lrc,2
2,《伤心是一种说不出的痛》,龙乐文化,1993-07-07,慢摇,风格,伤心是一种说不出的痛,黄格选,http://musicdata.baidu.com/data2/lrc/246648771/246648771.lrc,2
2,慢摇,龙乐文化,1993-07-07,慢摇,风格,我曾经最爱的女人,刘尊,http://musicdata.baidu.com/data2/lrc/1990073/1990073.lrc,2
2,《Libra》,环球唱片,2009-07-14,慢摇,风格,Please,Toni Braxton,http://musicdata.baidu.com/data2/lrc/1716843/1716843.lrc,2
2,《God Is A Girl》,环球唱片,2002-11-11,慢摇,风格,Moonlight Shadow,Groove Coverage,http://musicdata.baidu.com/data2/lrc/1622633/1622633.lrc,2
3,《Tomorrow》,SONY MUSIC,2009-09-21,慢摇,风格,Fire Burning,Sean Kingston,http://musicdata.baidu.com/data2/lrc/15432435/15432435.lrc,3
3,《Circus》,Jive,2008-11-28,慢摇,风格,Out From Under,Britney Spears,http://musicdata.baidu.com/data2/lrc/14921313/14921313.lrc,3
3,《Cartoon Heroes-Mca》,环球唱片,2002-05-22,慢摇,风格,Lollipop,Aqua,http://musicdata.baidu.com/data2/lrc/1512952/1512952.lrc,3
3,《The Eminem Show》,环球唱片,2002-05-27,慢摇,风格,Business,Eminem,http://musicdata.baidu.com/data2/lrc/13996589/13996589.lrc,3
3,《Boys Like Girls》,SONY MUSIC,2008-06-16,慢摇,风格,The Great Escape,Boys Like Girls,http://musicdata.baidu.com/data2/lrc/1467110/1467110.lrc,3
3,《Safe Trip Home》,SONY MUSIC,2008-11-17,慢摇,风格,The Day Before The Day,Dido,http://musicdata.baidu.com/data2/lrc/14971294/14971294.lrc,3
3,《Party Queen》,SONY MUSIC,2012-03-21,慢摇,风格,how beautiful you are,滨崎步,http://musicdata.baidu.com/data2/lrc/14943696/14943696.lrc,3
3,《PCD》,环球唱片,2005-10-24,慢摇,风格,Buttons,The Pussycat Dolls,http://musicdata.baidu.com/data2/lrc/13914856/13914856.lrc,3
3,《Naughty But Nice》,环球唱片,2008-04-29,慢摇,风格,Change,Sarah Connor,http://musicdata.baidu.com/data2/lrc/14930105/14930105.lrc,3
3,《Heavy Rotation》,环球唱片,2015-01-14,慢摇,风格,Defeated,Anastacia,http://musicdata.baidu.com/data2/lrc/132464684/132464684.lrc,3
3,《Underclass Hero》,Island Records,2007-06-24,慢摇,风格,Best Of Me,Sum 41,http://musicdata.baidu.com/data2/lrc/4075351f3d32933e62b126f530c0315d/259309317/259309317.lrc,3
3,《I Am Me》,环球唱片,2014-01-07,慢摇,风格,L.O.V.E.,Ashlee Simpson,http://musicdata.baidu.com/data2/lrc/14887356/14887356.lrc,3
3,《Just My Luck》,环球唱片,2006-06-12,慢摇,风格,Obviously,McFly,http://musicdata.baidu.com/data2/lrc/1158124/1158124.lrc,3
3,《精选3-寂寞城市》,福茂唱片,2002-08-01,慢摇,风格,我很快乐,周蕙,http://musicdata.baidu.com/data2/lrc/13915169/13915169.lrc,3
3,《几个薛之谦》,福茂唱片,2012-08-15,慢摇,风格,我们爱过就好,"薛之谦,黄龄",http://musicdata.baidu.com/data2/lrc/13975041/13975041.lrc,3
3,"《B In The Mix, The Remixes Vol 2》",SONY MUSIC,2011-10-10,慢摇,风格,Gimme More,Britney Spears,http://musicdata.baidu.com/data2/lrc/28749825/28749825.lrc,3
3,《北京站》,SONY MUSIC,2005-12-15,慢摇,风格,爱天爱地,黎明,http://musicdata.baidu.com/data2/lrc/239130654/239130654.lrc,3
3,《The Things We Do For Love》,SONY MUSIC,2011-09-24,慢摇,风格,The Things We Do For Love,王若琳,http://musicdata.baidu.com/data2/lrc/239127600/239127600.lrc,3
3,《迷茫的爱》,华世唱片,2011-09-13,慢摇,风格,迷茫的爱,郭玲,http://musicdata.baidu.com/data2/lrc/13757017/13757017.lrc,3
3,《Long Gone Before Daylight》,环球唱片,2003-03-24,慢摇,风格,Live And Learn,The Cardigans,http://musicdata.baidu.com/data2/lrc/10250267/10250267.lrc,3
4,《Marc Anthony》,SONY MUSIC,2002-07-12,慢摇,风格,I Need To Know,Marc Anthony,http://musicdata.baidu.com/data2/lrc/10250048/10250048.lrc,4
4,《Back To Bedlam》,SONY MUSIC,2010-11-16,慢摇,风格,Cry,James Blunt,http://musicdata.baidu.com/data2/lrc/238666227/238666227.lrc,4
